gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.328585	15161	1.294472	11195
A1CF	1.241546	3136	1.241546	11708
A2M	1.651913	1369	2.702215	682
A2ML1	1.970765	683	1.970765	3643
A3GALT2	-	19008	-	19008
A4GALT	1.046369	4511	1.710794	6303
A4GNT	0.033424	16957	0.033424	16957
AAAS	0.555727	10738	1.931741	3968
AACS	0.500850	11842	1.551514	8238
AADAC	0.519828	11459	0.519828	15657
AADACL2	0.698101	8354	0.698101	15090
AADACL3	0.674861	8695	0.674861	15161
AADACL4	-	19007	-	19007
AADAT	0.553801	10785	1.076276	13118
AAED1	0.269834	15877	1.488189	9025
AAGAB	0.274969	15820	1.823670	5078
AAK1	0.741553	7780	1.636889	7178
AAMDC	0.403518	13924	1.553033	8225
AAMP	0.446085	12948	2.192651	2219
AANAT	0.000000	17239	0.000000	17239
AAR2	0.455966	12736	1.559584	8154
AARD	1.533265	1719	1.547717	8273
AARS	0.307568	15445	1.875212	4525
AARS2	0.229072	16185	1.439889	9606
AARSD1	0.904700	5788	1.824434	5069
AASDH	0.283328	15745	1.363612	10465
AASDHPPT	0.525573	11350	1.797683	5336
AASS	0.673943	8706	1.696444	6479
AATF	0.281340	15763	1.750200	5878
AATK	0.810233	6872	0.810233	14629
ABAT	0.830144	6624	1.559308	8156
ABCA1	0.507295	11705	1.900695	4246
ABCA10	1.022428	4714	1.022428	13500
ABCA12	0.996949	4942	0.996949	13647
ABCA13	0.416641	13696	0.416641	16055
ABCA2	0.562936	10626	1.341830	10700
ABCA3	0.967893	5201	1.695847	6486
ABCA4	0.273839	15830	0.273839	16307
ABCA5	0.723668	8011	1.756103	5811
ABCA6	0.974915	5130	1.434090	9667
ABCA7	0.437211	13108	1.272770	11443
ABCA8	1.133398	3871	2.074195	2888
ABCA9	1.088884	4189	1.390759	10174
ABCB1	1.260623	3051	1.858297	4702
ABCB10	0.413303	13745	1.273464	11399
ABCB11	0.613913	9752	0.613913	15428
ABCB4	0.661240	8896	0.810233	14628
ABCB5	1.584218	1572	1.584218	7794
ABCB6	0.718672	8078	1.100371	12890
ABCB7	0.176091	16489	1.374748	10326
ABCB8	0.479861	12222	1.538706	8391
ABCB9	0.338489	15016	0.801880	14657
ABCC1	0.805330	6942	1.679155	6698
ABCC10	0.399310	13989	1.066852	13163
ABCC11	0.491362	12007	0.491362	15725
ABCC12	0.632177	9383	0.632177	15308
ABCC2	1.640084	1404	1.640084	7157
ABCC3	1.264818	3015	1.809627	5217
ABCC4	1.045754	4516	1.528304	8508
ABCC5	0.643961	9198	1.632761	7246
ABCC6	-	19006	-	19006
ABCC8	1.282169	2908	1.282169	11319
ABCC9	0.987324	5021	1.257918	11580
ABCD1	0.648935	9123	1.481521	9100
ABCD2	1.080911	4240	1.242293	11698
ABCD3	0.533074	11198	1.543199	8318
ABCD4	0.616141	9720	1.437751	9641
ABCE1	0.399071	13992	1.918135	4098
