gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.021415	13368	1.012415	9535
A1CF	0.000000	16641	0.000000	17239
A2M	1.754533	236	2.723004	283
A2ML1	0.000000	16640	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	1.039124	1039	1.703549	3357
A4GNT	0.000000	16639	0.000000	17237
AAAS	0.346151	7047	1.390582	6122
AACS	0.193648	11022	1.120574	8555
AADAC	0.000000	16638	0.000000	17236
AADACL2	0.387390	6096	0.387390	12925
AADACL3	0.000000	16637	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	16636	0.385606	13212
AAED1	0.683593	2494	1.901948	2173
AAGAB	-0.035617	16836	1.513084	4968
AAK1	0.750508	2077	1.291813	7021
AAMDC	0.619787	3014	1.687261	3484
AAMP	0.235528	9637	1.929368	2048
AANAT	0.000000	16635	0.000000	17234
AAR2	0.414160	5551	1.118926	8634
AARD	0.000000	16634	0.000000	17233
AARS	-0.008246	16693	1.580697	4389
AARS2	0.049493	13126	1.260310	7291
AARSD1	1.176599	770	1.338855	6568
AASDH	0.000000	16633	1.014100	9430
AASDHPPT	0.234109	9654	1.616895	4050
AASS	0.389412	5969	1.451479	5522
AATF	0.388894	5977	1.857755	2425
AATK	0.705763	2360	0.723456	11510
ABAT	0.232996	10098	0.750508	11246
ABCA1	0.768836	1991	2.162236	1160
ABCA10	1.094820	905	1.094820	8868
ABCA12	0.000000	16632	0.000000	17232
ABCA13	0.659916	2705	0.659916	11851
ABCA2	0.479982	4554	1.258877	7353
ABCA3	0.299246	7982	1.012415	9534
ABCA4	0.000000	16631	0.000000	17231
ABCA5	0.291847	8153	1.324282	6696
ABCA6	1.198932	739	1.658107	3705
ABCA7	0.199556	10927	0.778151	11175
ABCA8	1.041787	1028	1.981184	1813
ABCA9	1.305366	597	1.607241	4141
ABCB1	0.575513	3412	1.173186	8082
ABCB10	0.168455	11527	0.951823	9862
ABCB11	0.000000	16630	0.000000	17230
ABCB4	0.969933	1226	1.118926	8633
ABCB5	0.232996	10097	0.232996	14225
ABCB6	0.349572	6975	0.586587	12178
ABCB7	0.437824	5178	1.687261	3483
ABCB8	0.094885	12647	0.981366	9810
ABCB9	0.314761	7661	0.778151	11174
ABCC1	0.334651	7271	1.591621	4265
ABCC10	0.115986	12340	0.587711	12015
ABCC11	0.000000	16629	0.000000	17229
ABCC12	0.232996	10096	0.232996	14224
ABCC2	0.000000	16628	0.000000	17228
ABCC3	0.000000	16627	0.587711	12014
ABCC4	0.855845	1591	1.558469	4545
ABCC5	0.303012	7907	1.291813	7020
ABCC6	-	19006	-	19006
ABCC8	0.496930	4362	0.496930	12639
ABCC9	1.385481	505	1.748421	3042
ABCD1	0.210534	10634	1.163758	8245
ABCD2	0.709607	2340	0.870989	10569
ABCD3	0.746975	2100	1.307496	6885
ABCD4	0.332052	7331	1.210319	7731
ABCE1	0.152478	11812	1.671543	3600
ABCF1	0.322902	7499	2.172836	1125
ABCF2	0.270162	8562	1.697404	3403
ABCF3	-0.047778	16900	1.426999	5795
ABCG1	0.525186	3964	1.658107	3704
ABCG2	0.235528	9636	0.235528	13791
ABCG4	0.369962	6516	0.385606	13211
ABCG5	0.000000	16626	0.000000	17227
ABCG8	0.000000	16625	0.000000	17226
ABHD1	0.664284	2629	0.723456	11509
ABHD10	0.516429	4035	1.787106	2810
ABHD11	0.562217	3564	1.118926	8632
ABHD12	0.232996	10095	1.520615	4907
ABHD12B	0.000000	16624	0.000000	17225
ABHD13	0.310774	7750	1.352954	6448
ABHD14A	0.575943	3405	1.693111	3425
ABHD14B	-0.009037	16696	1.748421	3041
ABHD15	0.409945	5607	0.750508	11245
ABHD16A	0.000222	13532	1.290925	7056
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	16623	0.828660	10739
ABHD17B	0.196895	10963	0.947434	10061
ABHD17C	-0.124347	17091	0.696356	11585
ABHD18	0.605199	3109	1.111263	8664
ABHD2	0.639844	2851	2.039929	1561
ABHD3	0.358842	6790	1.309204	6835
ABHD4	0.182014	11256	1.415140	5911
ABHD5	0.338733	7178	1.469380	5364
ABHD6	0.255533	8849	0.947434	10060
ABHD8	0.072809	12898	0.947434	10059
ABI1	0.264920	8668	1.513084	4967
ABI2	0.450530	4972	1.684666	3507
ABI3	1.142574	829	1.338855	6567
ABI3BP	1.447805	453	2.124145	1271
ABL1	0.676642	2542	1.678154	3560
ABL2	0.613465	3045	1.309204	6834
ABLIM1	2.078327	125	2.233402	991
ABLIM2	0.643098	2830	0.911158	10303
ABLIM3	0.718415	2289	1.983807	1801
ABO	0.535966	3825	0.661813	11706
ABR	0.764630	2013	1.622421	4009
ABRA	1.583539	342	1.583539	4340
ABRACL	0.187126	11150	1.223236	7704
ABT1	0.195655	10981	1.392521	6093
ABTB1	0.165098	11587	1.352954	6447
ABTB2	0.743468	2121	1.366423	6307
ACAA1	0.314351	7669	1.796366	2752
ACAA2	1.123095	857	2.415874	646
ACACA	0.479094	4563	1.622421	4008
ACACB	1.223236	704	1.223236	7703
ACAD10	0.214814	10551	1.204391	7855
ACAD11	0.453489	4939	1.118926	8631
ACAD8	0.260628	8752	1.469380	5363
ACAD9	0.141067	11991	1.541205	4689
ACADL	0.587711	3268	0.587711	12013
ACADM	0.917406	1402	2.291502	865
ACADS	1.068437	965	1.956072	1934
ACADSB	0.851152	1605	1.860398	2403
ACADVL	0.831538	1687	2.636167	358
ACAN	0.583735	3343	0.659916	11850
ACAP1	0.384828	6277	0.496930	12638
ACAP2	0.411336	5587	1.684666	3506
ACAP3	0.343328	7100	1.041787	9279
ACAT1	0.994194	1160	2.666331	329
ACAT2	-0.138752	17108	1.012415	9533
ACBD3	0.114028	12379	1.967969	1881
ACBD4	0.162143	11642	0.870989	10568
ACBD5	0.472073	4681	1.141763	8436
ACBD6	0.213508	10577	1.338855	6566
ACBD7	-0.004322	16668	0.232996	14223
ACCS	0.592783	3205	1.012415	9532
ACCSL	-	19004	-	19004
ACD	0.333038	7299	0.780317	11020
ACE	0.968623	1230	1.415140	5910
ACE2	1.346157	542	1.346157	6514
ACER1	0.000000	16622	0.000000	17224
ACER2	0.926749	1368	1.243286	7468
ACER3	0.364708	6666	1.483302	5219
ACHE	0.649978	2776	1.041787	9278
ACIN1	0.365488	6651	2.153571	1186
ACKR1	2.235150	95	2.235150	987
ACKR2	0.661813	2661	0.661813	11705
ACKR3	1.065092	970	2.409189	652
ACKR4	0.766354	2004	0.870989	10567
ACLY	0.132300	12125	1.426999	5794
ACMSD	0.000000	16621	0.000000	17223
ACO1	0.350772	6950	1.874714	2324
ACO2	0.936034	1349	2.697430	302
ACOD1	0.000000	16620	0.000000	17222
ACOT1	0.534950	3835	0.586587	12177
ACOT11	1.255128	659	1.346157	6513
ACOT12	0.000000	16619	0.000000	17221
ACOT13	0.752108	2057	2.026411	1617
ACOT2	0.692863	2442	1.732152	3158
ACOT4	0.357742	6819	0.496930	12637
ACOT6	-	19003	-	19003
ACOT7	0.457496	4883	1.153510	8275
ACOT8	0.140435	11997	1.541205	4688
ACOT9	0.334482	7274	1.883548	2267
ACOX1	0.664035	2631	1.974742	1838
ACOX2	0.474944	4648	0.982723	9730
ACOX3	0.206861	10731	1.184407	8048
ACOXL	0.000000	16618	0.000000	17220
ACP1	0.250226	8933	1.790637	2794
ACP2	0.385606	6264	1.855822	2439
ACP5	0.915505	1405	1.012415	9531
ACP6	0.338083	7186	1.011570	9578
ACP7	-	19002	-	19002
ACPP	0.730747	2195	0.911158	10302
ACPT	-	19001	-	19001
ACR	0.000000	16617	0.000000	17219
ACRBP	0.503927	4174	0.750508	11244
ACRC	0.000000	16616	0.000000	17218
ACRV1	0.000000	16615	0.000000	17217
ACSBG1	0.235528	9635	0.235528	13790
ACSBG2	0.000000	16614	0.000000	17216
ACSF2	0.468713	4728	1.094820	8867
ACSF3	0.149007	11871	1.014100	9429
ACSL1	1.644222	303	1.814381	2658
ACSL3	0.285825	8258	2.174089	1122
ACSL4	0.910673	1425	2.476600	547
ACSL5	0.966693	1236	1.844601	2491
ACSL6	0.496930	4361	0.496930	12636
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16613	0.000000	17215
ACSM2B	0.000000	16612	0.000000	17214
ACSM3	0.000000	16611	0.000000	17213
ACSM4	-	18999	-	18999
ACSM5	0.385606	6263	0.385606	13210
ACSM6	0.000000	16610	0.000000	17212
ACSS1	0.764562	2014	1.852358	2457
ACSS2	1.154821	815	1.995240	1733
ACSS3	0.610358	3070	1.184407	8047
ACTA1	3.214407	21	3.214407	77
ACTA2	1.428921	469	2.803218	235
ACTB	0.545277	3726	3.433009	43
ACTBL2	0.000000	16609	0.000000	17211
ACTC1	3.693873	10	3.801378	14
ACTG1	0.357523	6820	3.122091	108
ACTG2	1.437161	462	2.166726	1136
ACTL10	0.000000	16608	0.000000	17210
ACTL6A	0.384350	6290	1.651181	3758
ACTL6B	0.000000	16607	0.000000	17209
ACTL7A	0.000000	16606	0.000000	17208
ACTL7B	0.000000	16605	0.000000	17207
ACTL8	0.000000	16604	0.000000	17206
ACTL9	0.000000	16603	0.000000	17205
ACTN1	0.290376	8174	2.345158	779
ACTN2	3.099778	27	3.329382	52
ACTN3	0.232996	10094	0.232996	14222
ACTN4	0.034935	13244	1.691081	3451
ACTR10	0.385806	6111	2.086929	1386
ACTR1A	0.112898	12392	2.060244	1482
ACTR1B	0.258556	8803	1.549371	4645
ACTR2	0.226092	10190	1.658107	3703
ACTR3	0.110372	12433	2.279941	885
ACTR3B	0.192424	11048	1.120574	8554
ACTR3C	0.367366	6572	0.586587	12176
ACTR5	0.113890	12380	0.911158	10301
ACTR6	0.000000	16602	1.041787	9277
ACTR8	0.373944	6436	1.260310	7290
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16601	0.000000	17204
ACTRT3	-	18997	-	18997
ACVR1	0.530741	3887	1.538951	4755
ACVR1B	0.361939	6722	1.379668	6195
ACVR1C	0.461452	4829	0.496930	12635
ACVR2A	0.460460	4841	0.778151	11173
ACVR2B	0.487225	4472	0.780317	11019
ACVRL1	1.225574	701	1.591621	4264
ACY1	0.353198	6899	1.132900	8468
ACY3	0.232996	10093	0.232996	14221
ACYP1	0.749038	2083	1.143639	8362
ACYP2	0.793317	1859	1.713826	3288
ADA	0.947905	1302	1.622421	4007
ADAD1	0.000000	16600	0.000000	17203
