gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.503791	4280	1.187521	8312
A1CF	0.161368	10626	0.161368	14322
A2M	1.470328	482	2.501374	313
A2ML1	0.673942	2793	0.673942	11949
A3GALT2	-	19008	-	19008
A4GALT	0.355703	6413	1.051153	9513
A4GNT	0.000000	16627	0.000000	17239
AAAS	0.285094	7791	1.679064	3288
AACS	0.164830	10505	1.076640	9287
AADAC	0.232996	8863	0.232996	13887
AADACL2	0.117271	11722	0.117271	14645
AADACL3	0.025306	15011	0.025306	16093
AADACL4	-	19007	-	19007
AADAT	0.181666	10095	0.751279	11527
AAED1	0.165640	10488	1.383995	6291
AAGAB	0.125701	11440	1.674402	3318
AAK1	0.506214	4252	1.235528	7837
AAMDC	0.177249	10187	0.957607	10238
AAMP	0.121317	11537	1.703291	3059
AANAT	0.000000	16626	0.000000	17238
AAR2	0.149792	10877	1.217484	8034
AARD	0.092757	12398	0.107210	14692
AARS	-0.025432	16772	1.364926	6500
AARS2	0.041064	13968	1.251881	7676
AARSD1	0.140505	11112	1.257198	7609
AASDH	0.251750	8461	1.332034	6853
AASDHPPT	0.116010	11746	1.517328	4831
AASS	0.247074	8571	1.223496	7976
AATF	0.311385	7249	1.780245	2475
AATK	0.164151	10517	0.181844	14163
ABAT	0.263509	8232	0.910624	10590
ABCA1	0.528287	4021	1.921686	1650
ABCA10	0.361728	6305	0.361728	13293
ABCA12	0.117271	11721	0.117271	14644
ABCA13	0.980912	1444	0.980912	10076
ABCA2	0.161368	10625	0.875640	10824
ABCA3	0.604734	3268	1.327972	6889
ABCA4	0.025306	15010	0.025306	16092
ABCA5	0.271192	8076	1.303628	7142
ABCA6	0.307238	7352	0.766413	11427
ABCA7	1.019233	1327	1.854792	2016
ABCA8	0.633929	3054	1.574726	4287
ABCA9	0.536974	3924	0.838849	11038
ABCB1	0.287122	7738	0.884795	10761
ABCB10	0.550616	3772	1.410777	5990
ABCB11	0.025306	15009	0.025306	16091
ABCB4	0.781447	2206	0.930440	10435
ABCB5	0.000000	16625	0.000000	17237
ABCB6	0.496947	4357	0.875640	10823
ABCB7	0.257879	8332	1.507316	4942
ABCB8	0.195594	9739	1.087781	9214
ABCB9	0.382171	5951	0.492760	12759
ABCC1	0.427516	5258	1.684486	3233
ABCC10	0.221279	9120	0.854306	10953
ABCC11	0.025306	15008	0.025306	16090
ABCC12	0.000000	16624	0.000000	17236
ABCC2	0.037426	14207	0.037426	15591
ABCC3	0.279901	7885	1.072250	9331
ABCC4	0.521465	4075	1.215109	8058
ABCC5	0.462218	4793	1.451018	5541
ABCC6	-	19006	-	19006
ABCC8	0.155336	10776	0.155336	14369
ABCC9	0.269518	8100	0.632457	12174
ABCD1	0.212910	9340	1.166134	8535
ABCD2	0.420681	5350	0.582063	12369
ABCD3	0.777075	2227	1.620760	3807
ABCD4	0.513809	4158	1.492900	5096
ABCE1	0.141990	11085	1.661055	3433
ABCF1	0.048736	13851	1.898670	1775
ABCF2	0.115714	11755	1.399847	6121
ABCF3	-0.023452	16764	1.451326	5532
ABCG1	0.709751	2593	1.842672	2075
ABCG2	0.550035	3784	0.658011	12044
ABCG4	0.234776	8825	0.250420	13785
ABCG5	0.037426	14206	0.037426	15590
ABCG8	0.025306	15007	0.025306	16089
ABHD1	0.048038	13858	0.107210	14691
ABHD10	0.184168	10014	1.454845	5500
ABHD11	0.177218	10190	1.076640	9286
ABHD12	0.075547	13009	1.396199	6152
ABHD12B	0.075547	13008	0.075547	15155
ABHD13	0.365659	6222	1.392873	6190
ABHD14A	0.036486	14220	0.993436	9976
ABHD14B	0.073900	13035	1.831358	2144
ABHD15	0.195995	9730	0.536558	12555
ABHD16A	0.103124	12026	1.382917	6301
ABHD16B	-	19005	-	19005
ABHD17A	0.271842	8064	0.963316	10192
ABHD17B	0.946156	1538	1.782616	2462
ABHD17C	0.029015	14343	1.070407	9353
ABHD18	0.639510	3019	1.318063	6987
ABHD2	0.220670	9134	1.869408	1932
ABHD3	0.649521	2969	1.599883	4017
ABHD4	0.213515	9321	1.554004	4478
ABHD5	0.213223	9329	1.410102	6010
ABHD6	1.003448	1376	1.250908	7694
ABHD8	0.098448	12215	1.008174	9843
ABI1	0.507353	4240	1.787248	2433
ABI2	0.253111	8435	1.704665	3046
ABI3	1.471660	479	1.976808	1408
ABI3BP	0.086887	12506	1.026125	9708
ABL1	0.226444	8996	0.824126	11117
ABL2	0.417536	5380	1.113275	8989
ABLIM1	1.203322	913	1.905904	1728
ABLIM2	1.037507	1274	1.305566	7117
ABLIM3	0.084584	12552	1.266702	7516
ABO	0.445863	5017	0.571709	12400
ABR	0.201241	9582	1.250908	7693
ABRA	0.075547	13007	0.075547	15154
ABRACL	0.613603	3195	1.722634	2904
ABT1	0.185511	9977	1.382377	6316
ABTB1	0.494380	4386	1.682235	3255
ABTB2	0.679616	2766	1.440437	5662
ACAA1	0.307543	7320	1.476397	5256
ACAA2	0.188145	9928	1.264582	7538
ACACA	-0.009788	16700	1.133539	8811
ACACB	0.604650	3270	0.924796	10485
ACAD10	0.265936	8170	1.255514	7637
ACAD11	0.525075	4046	0.861534	10913
ACAD8	0.226774	8993	1.435526	5730
ACAD9	0.217484	9241	1.419295	5897
ACADL	0.375189	6068	0.396199	13154
ACADM	0.260382	8289	1.634477	3684
ACADS	0.251614	8464	1.139249	8768
ACADSB	0.215287	9271	1.224533	7968
ACADVL	0.345619	6617	1.878981	1882
ACAN	0.452735	4922	0.528917	12590
ACAP1	1.788047	204	1.900149	1770
ACAP2	1.244936	826	1.928088	1618
ACAP3	0.151574	10850	0.850033	10971
