gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.644086	789	1.581780	2854
A1CF	0.000000	15894	0.000000	17239
A2M	0.387991	1952	1.219832	5502
A2ML1	0.000000	15893	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.532333	1103	1.196759	5697
A4GNT	0.000000	15892	0.000000	17237
AAAS	0.090826	7591	1.364074	4365
AACS	-0.013994	16064	0.764892	8979
AADAC	0.149193	5706	0.149193	12185
AADACL2	0.000000	15891	0.000000	17236
AADACL3	0.000000	15890	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.095608	7389	0.665221	9648
AAED1	0.175747	5016	1.383279	4196
AAGAB	0.134247	6172	1.682948	2310
AAK1	0.113461	6798	1.008797	7250
AAMDC	0.216863	4153	1.387523	4158
AAMP	0.055679	9053	1.693769	2264
AANAT	0.018432	11170	0.018432	13712
AAR2	0.077729	8101	1.198964	5684
AARD	0.103370	7149	0.117823	12373
AARS	0.222022	4056	1.834098	1682
AARS2	0.052532	9314	1.263349	5129
AARSD1	0.006216	11473	1.419049	3916
AASDH	0.081296	7996	1.151433	6061
AASDHPPT	0.097112	7338	1.541003	3089
AASS	0.155202	5540	0.921032	7896
AATF	-0.073653	16621	1.395207	4090
AATK	0.000000	15889	0.000000	17234
ABAT	0.000000	15888	0.255644	11696
ABCA1	0.332253	2497	1.725653	2129
ABCA10	0.413041	1743	0.413041	10987
ABCA12	0.051271	9511	0.051271	13191
ABCA13	0.224264	4013	0.224264	11853
ABCA2	0.078663	8079	0.743251	9125
ABCA3	0.000000	15887	0.207102	11913
ABCA4	0.000000	15886	0.000000	17233
ABCA5	0.086588	7797	0.988423	7400
ABCA6	0.726136	615	1.185311	5792
ABCA7	0.162314	5344	0.431131	10904
ABCA8	0.559116	1022	1.499912	3340
ABCA9	0.783407	527	1.085281	6622
ABCB1	0.260148	3423	0.857821	8350
ABCB10	0.041262	9886	0.901423	8044
ABCB11	0.000000	15885	0.000000	17232
ABCB4	0.243915	3656	0.392908	11086
ABCB5	0.305965	2803	0.305965	11472
ABCB6	0.293909	2946	0.530925	10424
ABCB7	0.000000	15884	1.122365	6299
ABCB8	0.139916	5988	1.200919	5665
ABCB9	0.073674	8235	0.472645	10696
ABCC1	0.529265	1115	1.685120	2303
ABCC10	0.178466	4950	0.846009	8433
ABCC11	0.000000	15883	0.000000	17231
ABCC12	0.000000	15882	0.000000	17230
ABCC2	0.000000	15881	0.000000	17229
ABCC3	0.372842	2070	1.185170	5795
ABCC4	0.529048	1117	1.326081	4627
ABCC5	0.000000	15880	0.968360	7549
ABCC6	-	19006	-	19006
ABCC8	0.000000	15879	0.000000	17228
ABCC9	0.283448	3076	0.471966	10701
ABCD1	0.172493	5103	1.125717	6270
ABCD2	0.000000	15878	0.089566	12583
ABCD3	0.037831	9977	1.202470	5654
ABCD4	0.042347	9854	1.199211	5677
ABCE1	0.102212	7182	1.621276	2621
ABCF1	0.134495	6168	1.969478	1219
ABCF2	0.118983	6614	1.546225	3050
ABCF3	0.026319	10730	1.501096	3333
ABCG1	0.054371	9220	0.195356	11977
ABCG2	0.184975	4801	0.299924	11497
ABCG4	0.071816	8316	0.087460	12625
ABCG5	0.000000	15877	0.000000	17227
ABCG8	0.000000	15876	0.000000	17226
ABHD1	0.000000	15875	0.043813	13245
ABHD10	0.182705	4854	1.165772	5953
ABHD11	0.084972	7862	0.897155	8069
ABHD12	0.073778	8228	1.592664	2788
ABHD12B	0.000000	15874	0.000000	17225
ABHD13	0.043568	9818	1.070782	6742
ABHD14A	0.071052	8352	1.188219	5766
ABHD14B	0.004294	11512	1.761751	1964
ABHD15	0.027886	10593	0.262477	11661
ABHD16A	0.040507	9907	1.180495	5836
ABHD16B	-	19005	-	19005
ABHD17A	0.142226	5916	1.068826	6757
ABHD17B	0.004943	11495	0.987729	7404
ABHD17C	0.359210	2207	1.400603	4050
ABHD18	0.041089	9892	0.847114	8422
ABHD2	0.073320	8250	1.608981	2706
ABHD3	-0.200851	17064	0.749511	9075
ABHD4	0.447568	1521	1.788057	1848
ABHD5	0.495343	1264	1.692222	2270
ABHD6	0.000000	15873	0.508969	10536
ABHD8	0.098753	7281	0.998714	7317
ABI1	0.133436	6196	1.444226	3764
ABI2	0.119187	6605	1.336612	4556
ABI3	0.000000	15872	0.027886	13480
ABI3BP	0.530911	1107	1.487471	3430
ABL1	0.334669	2468	1.336180	4558
ABL2	0.610064	862	1.278131	5013
ABLIM1	0.090125	7622	0.449180	10823
ABLIM2	0.000000	15871	0.027886	13479
ABLIM3	0.515188	1171	1.538577	3114
ABO	0.000000	15870	0.000000	17224
ABR	0.352768	2263	1.304650	4810
ABRA	0.025381	10920	0.025381	13651
ABRACL	0.140520	5967	1.637059	2536
ABT1	-0.009262	16005	1.187604	5774
ABTB1	0.046839	9669	1.190546	5749
ABTB2	0.019926	11061	0.631684	9839
ACAA1	0.030667	10434	1.512683	3265
ACAA2	0.199370	4490	1.492149	3401
ACACA	0.071130	8346	0.990387	7384
ACACB	0.055679	9052	0.240096	11766
ACAD10	-0.000723	15905	0.988855	7395
ACAD11	0.614886	847	1.280322	5000
ACAD8	0.101805	7192	1.310557	4759
ACAD9	0.052412	9318	1.452550	3695
ACADL	0.169991	5174	0.169991	12102
ACADM	0.015510	11235	1.268290	5095
ACADS	0.350935	2283	1.238570	5331
ACADSB	0.092652	7490	1.051415	6916
ACADVL	0.389120	1943	2.215539	713
