gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	925	1.851746	2608
A1CF	0.000000	17139	0.000000	17239
A2M	1.596265	248	2.579521	511
A2ML1	0.146128	13095	0.146128	14887
A3GALT2	-	19008	-	19008
A4GALT	0.586266	3473	1.281715	7417
A4GNT	0.000000	17138	0.000000	17238
AAAS	0.403102	6084	1.797072	2928
AACS	0.297588	8553	1.348252	6763
AADAC	0.643449	2947	0.643449	12185
AADACL2	0.000000	17137	0.000000	17237
AADACL3	0.000000	17136	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.235208	10251	0.804821	11269
AAED1	0.257171	9553	1.475526	5519
AAGAB	0.152297	12619	1.700998	3595
AAK1	0.461072	5045	1.356408	6679
AAMDC	0.431752	5525	1.615547	4274
AAMP	0.324415	7840	2.012459	1842
AANAT	0.000000	17135	0.000000	17235
AAR2	0.367915	6816	1.328000	6940
AARD	0.189667	11718	0.204120	14438
AARS	0.147012	12730	1.698268	3619
AARS2	0.081403	14348	1.292221	7308
AARSD1	0.389435	6317	1.577450	4605
AASDH	0.026394	15472	0.932981	10436
AASDHPPT	0.305445	8271	1.521983	5100
AASS	0.389719	6310	1.451786	5740
AATF	0.092841	14165	1.561701	4735
AATK	0.624772	3122	0.642465	12259
ABAT	0.092431	14174	0.818226	11185
ABCA1	0.540045	3956	1.933444	2182
ABCA10	0.790988	1984	0.790988	11355
ABCA12	0.000000	17134	0.000000	17234
ABCA13	1.460748	376	1.460748	5664
ABCA2	0.465135	4992	1.244030	7796
ABCA3	0.815081	1870	1.543036	4891
ABCA4	0.532338	4053	0.532338	12747
ABCA5	0.346144	7235	1.378580	6453
ABCA6	0.549054	3873	0.980912	10124
ABCA7	0.234848	10259	1.070407	9369
ABCA8	0.670396	2748	1.611192	4329
ABCA9	0.798812	1944	1.100687	9100
ABCB1	0.233557	10299	0.831230	11094
ABCB10	0.390227	6298	1.119126	8930
ABCB11	0.079181	14793	0.079181	15460
ABCB4	0.612935	3235	0.761928	11533
ABCB5	0.079181	14792	0.079181	15459
ABCB6	0.412317	5901	0.649333	12169
ABCB7	0.052787	15232	1.228913	7958
ABCB8	0.295504	8603	1.450963	5744
ABCB9	0.429417	5556	0.892807	10676
ABCC1	0.397392	6171	1.654362	3959
ABCC10	0.244320	10019	0.879669	10799
ABCC11	0.000000	17133	0.000000	17233
ABCC12	0.000000	17132	0.000000	17232
ABCC2	0.060287	15144	0.060287	15581
ABCC3	0.504271	4401	1.316599	7072
ABCC4	0.273528	9110	1.164559	8540
ABCC5	0.179992	11926	1.168792	8521
ABCC6	-	19006	-	19006
ABCC8	0.204120	11306	0.204120	14437
ABCC9	0.811702	1888	1.174641	8463
ABCD1	0.562447	3706	1.515671	5161
ABCD2	0.181040	11911	0.342423	13717
ABCD3	0.032365	15392	1.197005	8252
ABCD4	0.411419	5922	1.277151	7467
ABCE1	0.233927	10292	1.752992	3225
ABCF1	0.149686	12680	1.911525	2288
ABCF2	0.479526	4781	1.897675	2365
ABCF3	0.158122	12451	1.632899	4141
ABCG1	0.221475	10625	1.354396	6694
ABCG2	0.302252	8346	0.417201	13245
ABCG4	0.141332	13202	0.156977	14518
ABCG5	0.057612	15171	0.057612	15587
ABCG8	0.000000	17131	0.000000	17231
ABHD1	0.196101	11536	0.255273	14123
ABHD10	0.201746	11376	1.244030	7795
ABHD11	0.261939	9424	1.197088	8228
ABHD12	0.179582	11937	1.698469	3616
ABHD12B	0.146128	13094	0.146128	14886
ABHD13	0.063671	15089	1.105851	9090
ABHD14A	0.186367	11801	1.303535	7191
ABHD14B	0.173748	12078	1.931205	2192
