gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	3819	1.642860	4962
A1CF	0.000000	17203	0.000000	17239
A2M	0.711192	3253	1.701482	4397
A2ML1	1.417254	624	1.417254	7152
A3GALT2	-	19008	-	19008
A4GALT	0.641141	3955	1.305566	8234
A4GNT	0.000000	17202	0.000000	17238
AAAS	0.591843	4570	1.985813	2338
AACS	0.429316	7443	1.479980	6511
AADAC	0.741939	2985	0.741939	12080
AADACL2	0.117271	14187	0.117271	14790
AADACL3	0.025306	15903	0.025306	16008
AADACL4	-	19007	-	19007
AADAT	0.160300	13489	0.580566	12738
AAED1	0.369624	8819	1.403453	7300
AAGAB	0.163864	13405	1.712566	4299
AAK1	0.506214	5887	1.235528	8845
AAMDC	0.480847	6368	1.664642	4746
AAMP	0.351681	9197	2.156446	1611
AANAT	0.000000	17201	0.000000	17237
AAR2	0.361808	8979	1.413212	7179
AARD	0.000000	17200	0.000000	17236
AARS	0.263542	11487	1.875619	3002
AARS2	0.305916	10458	1.516733	6114
AARSD1	0.216920	12466	1.610259	5246
AASDH	0.251750	11726	1.332034	7962
AASDHPPT	0.570556	4860	1.736715	4072
AASS	0.193436	12878	0.965129	10808
AATF	0.311385	10329	1.780245	3721
AATK	0.048455	15295	0.049218	15463
ABAT	0.263509	11489	0.912574	11109
ABCA1	0.594786	4525	1.988185	2324
ABCA10	0.361728	8993	0.361728	13586
ABCA12	0.789735	2612	0.789735	11789
ABCA13	0.879669	2088	0.879669	11335
ABCA2	0.436573	7286	0.741939	12079
ABCA3	0.604734	4391	1.327972	8025
ABCA4	0.115224	14260	0.115224	14853
ABCA5	0.271192	11313	1.303628	8260
ABCA6	0.572638	4828	1.031812	10388
ABCA7	1.019233	1504	1.854792	3167
ABCA8	0.410807	7832	1.351603	7806
ABCA9	0.893748	2017	1.195623	9206
ABCB1	0.216575	12470	0.814248	11693
ABCB10	0.255006	11654	1.115167	9802
ABCB11	0.000000	17199	0.000000	17235
ABCB4	0.179387	13166	0.328380	13868
ABCB5	0.000000	17198	0.000000	17234
ABCB6	0.573815	4814	0.952507	10867
ABCB7	0.257879	11591	1.507316	6212
ABCB8	0.461026	6774	1.463044	6684
ABCB9	0.382171	8490	0.808166	11716
ABCC1	0.427516	7488	1.684486	4566
ABCC10	0.497186	6034	1.051536	10234
ABCC11	0.025306	15902	0.025306	16007
ABCC12	0.000000	17197	0.000000	17233
ABCC2	0.071464	14905	0.071464	15219
ABCC3	0.647420	3869	1.459748	6712
ABCC4	0.159817	13498	0.962299	10816
ABCC5	0.462218	6746	1.451018	6783
ABCC6	-	19006	-	19006
ABCC8	0.155336	13613	0.155336	14571
ABCC9	0.488652	6201	0.642465	12520
ABCD1	0.398380	8106	1.351603	7805
ABCD2	0.400911	8044	0.562293	12797
ABCD3	0.777075	2690	1.620760	5163
ABCD4	0.513809	5719	1.492900	6357
ABCE1	0.435949	7298	1.955014	2541
ABCF1	0.099163	14435	1.881672	2962
ABCF2	0.413557	7767	1.840799	3274
ABCF3	0.111576	14297	1.586354	5473
ABCG1	0.502060	5959	1.634981	5036
ABCG2	0.491174	6156	0.491174	13145
ABCG4	0.234776	12077	0.250420	14136
ABCG5	0.000000	17196	0.000000	17232
ABCG8	0.025306	15901	0.025306	16006
ABHD1	0.000000	17195	0.048455	15496
ABHD10	0.186284	13040	1.454845	6758
ABHD11	0.671499	3604	1.641460	4975
ABHD12	0.381328	8511	1.900214	2852
ABHD12B	0.075547	14882	0.075547	15218
ABHD13	0.365659	8889	1.392873	7416
ABHD14A	0.356579	9091	1.412629	7206
ABHD14B	0.316371	10205	2.073828	1950
ABHD15	0.473319	6514	0.813883	11694
ABHD16A	0.092215	14577	1.382917	7515
ABHD16B	-	19005	-	19005
ABHD17A	0.271842	11299	1.181983	9305
ABHD17B	0.946156	1771	1.782616	3709
ABHD17C	0.441195	7173	1.482588	6480
ABHD18	0.639510	3975	1.318063	8093
ABHD2	0.280718	11083	1.792532	3628
ABHD3	0.649521	3847	1.599883	5342
ABHD4	0.384878	8420	1.725367	4170
ABHD5	0.213223	12516	1.410102	7240
ABHD6	0.257977	11589	0.949878	10934
ABHD8	0.370852	8771	1.280578	8465
ABI1	0.507353	5870	1.787248	3670
ABI2	0.281980	11053	1.704665	4375
ABI3	0.809141	2481	1.314289	8133
ABI3BP	1.116192	1202	1.792532	3627
ABL1	0.545116	5257	1.513750	6158
ABL2	0.797049	2570	1.465115	6660
ABLIM1	1.203322	992	1.905904	2810
ABLIM2	0.554762	5116	0.822822	11658
ABLIM3	0.412981	7780	1.513750	6157
ABO	0.280694	11085	0.406540	13436
ABR	0.642465	3941	1.560947	5715
ABRA	0.075547	14881	0.075547	15217
ABRACL	0.613603	4274	2.013475	2207
ABT1	0.444542	7116	1.641408	4976
ABTB1	0.494380	6084	1.682235	4588
