gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.453488	3835	1.186743	7658
A1CF	0.000000	16939	0.000000	17239
A2M	0.555270	2817	1.403534	5583
A2ML1	2.027111	74	2.027111	1522
A3GALT2	-	19008	-	19008
A4GALT	0.567808	2717	1.232234	7274
A4GNT	0.000000	16938	0.000000	17238
AAAS	0.352531	5617	1.746501	2867
AACS	0.549186	2867	1.599850	3927
AADAC	0.416641	4520	0.416641	12397
AADACL2	0.069122	12380	0.069122	13862
AADACL3	0.154631	10351	0.154631	13293
AADACL4	-	19007	-	19007
AADAT	0.310651	6552	0.880263	9907
AAED1	0.115543	11280	1.333898	6282
AAGAB	0.143352	10591	1.692053	3241
AAK1	0.416641	4519	1.022814	9042
AAMDC	0.292166	6937	1.475962	4990
AAMP	0.182646	9606	1.849915	2265
AANAT	0.000000	16937	0.000000	17237
AAR2	0.239492	8167	1.360727	6009
AARD	0.156122	10252	0.170574	13147
AARS	0.289133	6997	1.901210	2017
AARS2	0.174215	9807	1.385032	5771
AARSD1	0.165379	10031	1.491337	4845
AASDH	0.100083	11614	1.057117	8711
AASDHPPT	0.123823	11092	1.626744	3737
AASS	0.281697	7164	1.342618	6144
AATF	0.019120	13897	1.487980	4860
AATK	0.000000	16936	0.000000	17236
ABAT	0.486167	3463	1.215331	7390
ABCA1	0.067132	12510	1.452093	5197
ABCA10	0.000000	16935	0.000000	17235
ABCA12	0.878130	1208	0.878130	9916
ABCA13	0.092346	11875	0.092346	13693
ABCA2	0.141073	10637	0.916364	9724
ABCA3	0.000000	16934	0.624282	11454
ABCA4	0.043180	13157	0.043180	14297
ABCA5	0.220403	8596	1.026019	9024
ABCA6	0.628962	2265	1.088136	8517
ABCA7	0.213720	8751	0.781495	10482
ABCA8	0.535165	2995	1.475962	4989
ABCA9	0.887335	1170	1.189209	7650
ABCB1	0.000000	16933	0.037981	14584
ABCB10	0.227975	8437	1.088136	8516
ABCB11	0.000000	16932	0.000000	17234
ABCB4	0.000000	16931	0.127636	13435
ABCB5	0.051902	12908	0.051902	14163
ABCB6	0.718672	1786	0.955688	9548
ABCB7	0.000000	16930	1.242267	7105
ABCB8	0.303746	6704	1.415813	5502
ABCB9	0.306051	6660	0.695346	10991
ABCC1	0.557456	2796	1.129075	8105
ABCC10	0.385410	5019	1.052953	8732
ABCC11	0.000000	16929	0.000000	17233
ABCC12	0.000000	16928	0.000000	17232
ABCC2	0.835846	1349	0.835846	10254
ABCC3	0.842103	1324	1.654431	3509
ABCC4	0.396711	4789	1.287743	6692
ABCC5	0.236571	8225	0.955688	9547
ABCC6	-	19006	-	19006
ABCC8	0.000000	16927	0.000000	17231
ABCC9	0.289329	6994	0.416641	12396
ABCD1	0.100712	11598	1.053935	8729
ABCD2	0.000000	16926	0.000000	17230
ABCD3	0.129421	10936	1.294061	6651
ABCD4	0.040312	13188	1.135076	8068
ABCE1	0.078192	12173	1.597256	3968
ABCF1	0.142869	10604	1.928363	1874
ABCF2	0.192897	9317	1.620139	3765
ABCF3	0.090669	11943	1.565447	4230
ABCG1	0.059075	12629	1.077151	8584
ABCG2	0.110054	11403	0.129367	13409
ABCG4	0.036257	13567	0.051902	14162
ABCG5	0.000000	16925	0.000000	17229
ABCG8	0.000000	16924	0.000000	17228
ABHD1	0.009950	13991	0.069122	13861
ABHD10	0.233838	8295	1.307068	6563
ABHD11	0.581117	2615	1.551078	4361
ABHD12	0.852646	1298	1.835157	2356
ABHD12B	0.000000	16923	0.000000	17227
ABHD13	0.118936	11203	1.153996	7846
ABHD14A	0.467644	3662	1.307068	6562
ABHD14B	0.095264	11740	1.852721	2252
ABHD15	0.205883	8975	0.546446	11690
ABHD16A	0.272428	7385	1.349854	6084
ABHD16B	-	19005	-	19005
ABHD17A	0.254133	7810	1.180732	7697
ABHD17B	0.376779	5167	0.959067	9389
ABHD17C	0.265675	7545	1.307068	6561
ABHD18	0.236266	8234	1.088136	8515
ABHD2	0.253223	7832	1.533717	4507
ABHD3	-0.055929	17100	0.894433	9831
ABHD4	0.365659	5378	1.656122	3495
ABHD5	0.322433	6281	1.353261	6056
ABHD6	0.194323	9281	0.662193	11118
ABHD8	0.231724	8346	1.141450	8033
ABI1	0.183871	9569	1.662507	3458
ABI2	0.325229	6227	1.470820	5026
ABI3	0.000000	16922	0.092154	13755
ABI3BP	2.026039	77	2.702379	318
ABL1	0.474450	3589	1.475962	4988
ABL2	0.549827	2859	1.217894	7365
ABLIM1	0.364862	5397	0.870989	10113
ABLIM2	0.000000	16921	0.142170	13336
ABLIM3	0.824985	1388	1.895434	2040
ABO	0.159919	10168	0.285765	12737
ABR	0.416641	4518	1.448772	5216
ABRA	0.000000	16920	0.000000	17226
ABRACL	0.553553	2831	1.827285	2393
ABT1	0.312196	6520	1.509062	4682
ABTB1	0.162177	10110	1.350033	6083
ABTB2	0.196911	9220	0.957732	9397
ACAA1	0.540385	2955	1.670080	3374
ACAA2	0.419663	4242	1.677607	3331
ACACA	0.229421	8403	1.269790	6932
ACACB	0.031141	13751	0.308714	12665
ACAD10	-0.138982	17190	0.850596	10203
ACAD11	0.566960	2723	0.981872	9279
ACAD8	-0.056307	17102	1.152445	7857
ACAD9	0.113971	11310	1.514109	4648
ACADL	0.073423	12261	0.094434	13611
ACADM	0.101866	11576	1.475962	4987
ACADS	0.000000	16919	0.693296	11006
ACADSB	0.310911	6545	1.026942	9019
ACADVL	0.549276	2865	2.039361	1480
ACAN	0.101164	11591	0.151462	13300
ACAP1	0.000000	16918	0.051902	14161
ACAP2	0.316791	6409	1.564942	4236
ACAP3	0.218867	8644	0.917326	9719
ACAT1	0.154176	10364	1.790088	2606
ACAT2	0.551182	2847	1.984332	1675
ACBD3	0.310988	6542	2.164929	1115
ACBD4	-0.011069	16984	0.624282	11453
ACBD5	0.360588	5474	0.967569	9352
ACBD6	0.316791	6408	1.287245	6694
ACBD7	0.058859	12633	0.296177	12698
ACCS	0.291090	6954	0.589189	11560
ACCSL	-	19004	-	19004
ACD	0.186174	9509	1.099062	8308
ACE	0.000000	16917	0.419915	12079
ACE2	0.069122	12379	0.069122	13860
ACER1	0.000000	16916	0.000000	17225
ACER2	0.218654	8648	0.535192	11720
ACER3	-0.038208	17069	1.080387	8567
ACHE	0.883292	1187	1.275101	6789
ACIN1	0.416641	4517	1.837709	2333
ACKR1	0.000000	16915	0.000000	17224
ACKR2	1.747745	147	1.747745	2862
ACKR3	1.022322	833	2.318297	766
ACKR4	0.519647	3128	0.624282	11452
ACLY	0.572055	2686	1.866754	2176
ACMSD	0.000000	16914	0.000000	17223
ACO1	0.478743	3538	2.002684	1602
ACO2	0.096678	11696	1.668411	3382
ACOD1	0.039090	13260	0.039090	14339
ACOT1	0.031141	13750	0.056754	14018
ACOT11	0.236779	8217	0.482758	11902
ACOT12	0.000000	16913	0.000000	17222
ACOT13	0.227113	8456	1.536142	4493
ACOT2	0.393914	4841	1.165762	7779
ACOT4	0.341687	5852	0.480875	11907
ACOT6	-	19003	-	19003
ACOT7	0.794227	1477	1.632986	3663
ACOT8	0.033159	13602	1.433929	5313
ACOT9	0.416641	4516	1.724562	3009
ACOX1	0.663261	2068	1.921436	1913
ACOX2	0.219309	8632	0.733167	10846
ACOX3	0.329521	6140	1.307068	6560
ACOXL	0.000000	16912	0.000000	17221
ACP1	0.285131	7091	2.066834	1388
ACP2	0.227691	8441	1.780554	2662
ACP5	1.068852	751	1.165762	7778
ACP6	0.126446	11020	0.618556	11473
ACP7	-	19002	-	19002
ACPP	0.067132	12509	0.131484	13398
ACPT	-	19001	-	19001
ACR	0.000000	16911	0.000000	17220
ACRBP	0.050185	12998	0.136074	13349
ACRC	0.000000	16910	0.000000	17219
ACRV1	0.000000	16909	0.000000	17218
ACSBG1	0.043180	13156	0.043180	14296
ACSBG2	0.000000	16908	0.000000	17217
ACSF2	0.885960	1175	1.512067	4660
ACSF3	0.161849	10115	1.026942	9018
ACSL1	1.614136	208	1.732035	2970
ACSL3	0.580588	2623	2.509389	477
ACSL4	0.240717	8129	1.719497	3056
ACSL5	0.311301	6540	1.189209	7649
ACSL6	0.000000	16907	0.000000	17216
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16906	0.000000	17215
ACSM2B	0.000000	16905	0.000000	17214
ACSM3	0.144622	10563	0.183234	13104
ACSM4	-	18999	-	18999
ACSM5	0.000000	16904	0.000000	17213
ACSM6	0.000000	16903	0.000000	17212
ACSS1	0.338230	5929	0.928367	9670
ACSS2	0.345116	5776	1.210160	7417
ACSS3	0.339990	5898	0.878649	9914
ACTA1	0.156934	10236	0.156934	13234
ACTA2	1.866274	109	3.240571	69
ACTB	0.593310	2527	3.968559	2
ACTBL2	0.409228	4611	0.409228	12410
ACTC1	0.706573	1842	0.814078	10339
ACTG1	0.565479	2730	4.044903	1
ACTG2	1.748820	145	2.478385	512
ACTL10	0.250761	7893	0.250761	12845
ACTL6A	0.280878	7188	1.796894	2573
ACTL6B	0.199597	9143	0.199597	13055
ACTL7A	0.000000	16902	0.000000	17211
ACTL7B	0.000000	16901	0.000000	17210
ACTL8	0.000000	16900	0.000000	17209
