gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	12427	1.259491	8835
A1CF	0.311754	11350	0.311754	14776
A2M	1.238763	1193	2.185712	1466
A2ML1	0.775246	3366	0.775246	12723
A3GALT2	-	19008	-	19008
A4GALT	1.046369	1802	1.710794	4138
A4GNT	0.000000	17218	0.000000	17239
AAAS	0.546596	5944	1.928799	2546
AACS	0.500850	6737	1.551514	5665
AADAC	0.416641	8636	0.416641	14423
AADACL2	0.696356	4107	0.696356	13178
AADACL3	0.396199	9179	0.396199	14582
AADACL4	-	19007	-	19007
AADAT	0.506664	6637	1.076276	10653
AAED1	0.252605	12791	1.421734	7050
AAGAB	0.143352	14948	1.692053	4312
AAK1	0.741553	3674	1.636889	4817
AAMDC	0.369238	9836	1.553033	5647
AAMP	0.305879	11483	2.023220	2068
AANAT	0.000000	17217	0.000000	17238
AAR2	0.455966	7633	1.431177	6926
AARD	0.215996	13541	0.230449	15114
AARS	0.121692	15271	1.701808	4222
AARS2	0.229072	13312	1.439889	6851
AARSD1	0.904700	2490	1.528274	5901
AASDH	0.134030	15039	1.214314	9321
AASDHPPT	-0.003664	17224	1.475962	6459
AASS	0.522151	6393	1.584218	5292
AATF	0.062874	15910	1.531734	5878
AATK	0.810233	3143	0.810233	12559
ABAT	0.635484	4742	1.032619	10947
ABCA1	0.246587	12910	1.627468	4925
ABCA10	0.929930	2371	0.929930	11743
ABCA12	0.996949	2029	0.996949	11256
ABCA13	0.000000	17216	0.000000	17237
ABCA2	0.375834	9696	1.154728	9890
ABCA3	0.819256	3058	1.547210	5702
ABCA4	0.273839	12265	0.273839	14913
ABCA5	0.641046	4675	1.673482	4488
ABCA6	0.632844	4771	1.092018	10480
ABCA7	0.258912	12666	1.094471	10436
ABCA8	0.800277	3205	1.741073	3903
ABCA9	0.926012	2392	1.227887	9166
ABCB1	0.710891	3942	1.308564	8270
ABCB10	0.227975	13335	1.088136	10553
ABCB11	0.000000	17215	0.000000	17236
ABCB4	0.661240	4419	0.810233	12558
ABCB5	1.584218	553	1.584218	5291
ABCB6	0.718672	3869	0.955688	11607
ABCB7	0.176091	14453	1.362105	7737
ABCB8	0.366739	9901	1.538706	5809
ABCB9	0.338489	10625	0.801880	12584
ABCC1	0.557456	5785	1.453777	6669
ABCC10	0.399310	9013	1.066852	10685
ABCC11	0.491362	6940	0.491362	14035
ABCC12	0.000000	17214	0.000000	17235
ABCC2	0.181844	14143	0.181844	15255
ABCC3	0.997299	2018	1.809627	3376
ABCC4	0.380345	9552	1.271377	8720
ABCC5	0.294146	11825	1.252125	8916
ABCC6	-	19006	-	19006
ABCC8	1.263873	1121	1.263873	8813
ABCC9	0.864433	2775	1.227372	9203
ABCD1	0.279373	12144	1.232597	9079
ABCD2	0.932389	2357	1.093772	10472
ABCD3	0.533074	6206	1.442009	6832
ABCD4	0.327421	10933	1.362105	7736
ABCE1	0.078192	15571	1.597256	5177
ABCF1	0.139204	14989	1.989138	2219
ABCF2	0.313733	11248	1.740975	3904
ABCF3	0.357092	10117	1.831870	3199
ABCG1	0.216162	13536	1.349083	7857
ABCG2	1.793755	351	1.901731	2715
ABCG4	0.350769	10292	0.366414	14632
ABCG5	0.068186	15889	0.068186	16050
ABCG8	0.068186	15888	0.068186	16049
ABHD1	0.455376	7641	0.514548	13963
ABHD10	0.284292	12042	1.551450	5672
ABHD11	0.545355	5962	1.515315	6049
ABHD12	1.511215	646	1.919288	2616
ABHD12B	0.298853	11741	0.298853	14897
ABHD13	0.334891	10730	1.362105	7735
ABHD14A	0.467644	7400	1.416840	7116
ABHD14B	0.327104	10945	2.084561	1805
ABHD15	0.438924	7993	0.779488	12665
ABHD16A	0.144056	14939	1.434758	6900
ABHD16B	-	19005	-	19005
ABHD17A	0.247322	12898	1.173922	9717
ABHD17B	0.376779	9675	1.066058	10697
ABHD17C	0.265675	12549	1.307068	8337
ABHD18	0.432028	8133	1.232742	9076
ABHD2	1.293056	1056	2.142577	1597
ABHD3	0.020913	16051	0.971276	11446
ABHD4	0.433210	8108	1.773699	3626
ABHD5	0.322433	11053	1.358506	7776
ABHD6	0.688047	4166	1.243286	8972
ABHD8	0.492937	6905	1.317182	8172
ABI1	0.353530	10231	1.593397	5217
ABI2	0.325229	10985	1.595937	5193
ABI3	1.068476	1712	1.314047	8189
ABI3BP	2.026039	218	2.702379	426
ABL1	0.474450	7220	1.475962	6458
ABL2	0.530302	6248	1.198369	9470
ABLIM1	1.057666	1766	1.526339	5923
ABLIM2	1.239800	1189	1.239800	9025
ABLIM3	0.363512	9980	1.583722	5295
ABO	0.912376	2447	1.038223	10927
ABR	0.867190	2751	1.515800	6031
ABRA	1.865992	312	1.865992	2944
ABRACL	0.650065	4574	1.974010	2312
ABT1	0.332998	10785	1.529864	5886
ABTB1	0.180803	14162	1.368659	7662
ABTB2	1.255707	1138	1.582745	5305
ACAA1	0.540385	6079	1.685023	4376
ACAA2	0.454270	7663	1.677607	4451
ACACA	0.591873	5339	1.735200	3947
ACACB	1.741073	388	1.741073	3902
ACAD10	0.260110	12643	1.249687	8930
ACAD11	0.566960	5642	0.892651	11981
ACAD8	0.102578	15415	1.311330	8228
ACAD9	0.175379	14463	1.575517	5417
ACADL	0.652246	4517	0.652246	13317
ACADM	0.549511	5893	1.923607	2592
ACADS	0.556410	5802	1.444045	6806
ACADSB	0.394155	9212	1.311330	8227
ACADVL	0.549276	5898	2.085943	1795
ACAN	0.734051	3748	0.810233	12557
ACAP1	0.327231	10939	0.439333	14250
ACAP2	0.316791	11181	1.729165	4000
ACAP3	0.249706	12855	0.948165	11662
ACAT1	0.461307	7539	2.133443	1620
ACAT2	0.192161	13895	1.625311	4927
ACBD3	0.127605	15222	1.981547	2261
ACBD4	0.478675	7144	1.187521	9599
ACBD5	0.446712	7801	1.013259	11167
ACBD6	0.316791	11180	1.349723	7831
ACBD7	0.757878	3524	0.995196	11292
ACCS	0.916264	2427	1.320562	8133
ACCSL	-	19004	-	19004
ACD	0.443116	7888	1.359933	7742
ACE	1.421656	776	1.868174	2933
ACE2	0.684845	4204	0.684845	13215
ACER1	0.298853	11740	0.298853	14896
ACER2	0.678659	4268	0.995196	11291
ACER3	-0.002651	17222	1.115943	10261
ACHE	1.173212	1362	1.565021	5509
ACIN1	0.416641	8635	2.030478	2035
ACKR1	1.967548	251	1.967548	2340
ACKR2	0.795185	3229	0.795185	12615
ACKR3	0.830166	2983	2.174263	1497
ACKR4	1.135165	1478	1.239800	9024
ACLY	1.036146	1848	2.330845	1047
ACMSD	0.068186	15887	0.068186	16048
ACO1	0.478743	7142	2.002684	2158
ACO2	0.422842	8355	2.184237	1472
ACOD1	0.068186	15886	0.068186	16047
ACOT1	0.328574	10898	0.380211	14622
ACOT11	0.835313	2954	0.926342	11798
ACOT12	0.021590	16050	0.021590	16103
ACOT13	0.217760	13508	1.475962	6457
ACOT2	0.358543	10081	1.367915	7691
ACOT4	0.290564	11905	0.429752	14318
ACOT6	-	19003	-	19003
ACOT7	0.769043	3418	1.908830	2672
ACOT8	0.256218	12722	1.656987	4626
ACOT9	0.416641	8634	1.662663	4587
ACOX1	0.504172	6676	1.559068	5593
ACOX2	0.474944	7213	0.956168	11539
ACOX3	0.329521	10873	1.307068	8336
ACOXL	1.313234	1001	1.313234	8199
ACP1	0.119833	15286	1.927165	2567
ACP2	0.245808	12922	1.798671	3451
ACP5	0.710625	3948	0.807535	12579
ACP6	0.483358	7065	1.031004	10977
ACP7	-	19002	-	19002
ACPP	1.983712	239	2.212880	1377
ACPT	-	19001	-	19001
ACR	0.130334	15187	0.130334	15727
ACRBP	0.845437	2864	1.092018	10479
ACRC	0.000000	17213	0.000000	17234
ACRV1	0.130334	15186	0.130334	15726
ACSBG1	0.783189	3309	0.783189	12663
ACSBG2	0.579784	5498	0.579784	13738
ACSF2	0.993508	2045	1.619615	4976
ACSF3	0.194056	13871	1.047664	10838
ACSL1	0.986051	2076	1.737113	3930
ACSL3	0.289421	11928	2.086680	1791
ACSL4	0.240717	13036	1.719497	4082
ACSL5	1.544936	594	1.544936	5723
ACSL6	1.503927	652	1.503927	6149
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17212	0.000000	17233
ACSM2B	0.000000	17211	0.000000	17232
ACSM3	0.817964	3070	0.890421	12013
ACSM4	-	18999	-	18999
ACSM5	0.541579	6064	0.541579	13884
ACSM6	0.000000	17210	0.000000	17231
ACSS1	0.373702	9749	1.461499	6594
ACSS2	0.488776	6979	1.329194	8076
ACSS3	0.757175	3536	1.331225	8046
ACTA1	4.382624	3	4.382624	3
ACTA2	2.045238	211	3.419534	66
ACTB	0.731450	3775	4.150286	6
ACTBL2	0.507562	6619	0.507562	13970
ACTC1	2.076732	196	2.184237	1471
ACTG1	0.684448	4209	4.163873	5
ACTG2	2.823791	53	3.553356	46
ACTL10	0.409933	8790	0.409933	14464
ACTL6A	0.184892	13996	1.579326	5365
ACTL6B	0.000000	17209	0.000000	17230
ACTL7A	0.068186	15885	0.068186	16046
ACTL7B	0.130334	15185	0.130334	15725
ACTL8	0.000000	17208	0.000000	17229
ACTL9	0.000000	17207	0.000000	17228
ACTN1	0.635876	4721	2.791546	350
ACTN2	2.587955	71	2.817559	324
ACTN3	2.350829	116	2.350829	990
ACTN4	0.618947	4927	2.349318	991
ACTR10	0.390874	9289	1.769746	3669
ACTR1A	0.387599	9372	2.368620	946
ACTR1B	0.433668	8100	1.724483	4043
ACTR2	0.197656	13810	1.910304	2668
ACTR3	0.398323	9039	2.474610	742
ACTR3B	0.234713	13154	1.162863	9805
ACTR3C	0.762528	3485	1.108903	10342
ACTR5	0.221017	13451	1.018284	11132
ACTR6	0.094093	15460	1.141450	10056
ACTR8	0.286307	12001	1.313234	8198
ACTRT1	-	18998	-	18998
ACTRT2	0.130334	15184	0.130334	15724
ACTRT3	-	18997	-	18997
ACVR1	0.223485	13405	1.297979	8418
ACVR1B	0.671046	4322	1.688776	4342
ACVR1C	0.614829	4991	0.650308	13382
ACVR2A	0.264755	12568	1.094471	10435
ACVR2B	0.368888	9842	0.549003	13805
ACVRL1	1.577278	566	1.943325	2472
ACY1	0.443114	7889	1.574292	5423
ACY3	0.684845	4203	0.684845	13214
ACYP1	0.573145	5570	1.260719	8830
ACYP2	0.743923	3644	1.789157	3527
ADA	0.484770	7038	1.159287	9832
ADAD1	0.068186	15884	0.068186	16045
ADAD2	0.000000	17206	0.000000	17227
ADAL	0.144223	14934	0.872156	12124
ADAM10	0.656518	4465	2.143608	1595
ADAM11	0.293597	11843	0.293597	14904
ADAM12	0.929854	2372	1.189209	9574
ADAM15	0.862935	2780	2.542771	634
ADAM17	0.305077	11501	1.340246	7956
ADAM18	0.000000	17205	0.000000	17226
ADAM19	0.643934	4638	1.579326	5364
ADAM2	0.000000	17204	0.000000	17225
ADAM20	0.000000	17203	0.000000	17224
ADAM21	0.000000	17202	0.000000	17223
ADAM22	0.890040	2598	1.338257	7991
ADAM23	0.235763	13137	0.541579	13883
ADAM28	1.376612	861	1.601625	5124
ADAM29	0.068186	15883	0.068186	16044
ADAM30	0.000000	17201	0.000000	17222
ADAM32	0.152288	14850	0.152288	15588
ADAM33	0.984427	2082	1.461499	6593
ADAM7	2.880122	49	2.880122	288
ADAM8	0.276084	12216	0.396199	14581
ADAM9	0.882405	2640	2.565092	596
ADAMDEC1	0.130334	15183	0.130334	15723
ADAMTS1	0.523812	6364	2.328583	1054
ADAMTS10	0.442932	7892	1.141450	10055
ADAMTS12	1.034590	1854	1.271377	8719
ADAMTS13	0.000000	17200	0.000000	17221
ADAMTS14	0.189951	13921	0.424817	14321
ADAMTS15	0.815766	3080	1.340246	7955
ADAMTS16	0.830589	2980	0.830589	12415
ADAMTS17	0.517631	6453	0.642465	13416
ADAMTS18	1.073043	1695	1.073043	10660
ADAMTS19	0.176091	14452	0.176091	15463
ADAMTS2	0.391396	9267	1.088136	10552
ADAMTS20	0.000000	17199	0.000000	17220
ADAMTS3	0.438384	8011	0.715167	13078
ADAMTS4	0.409742	8797	1.011147	11175
ADAMTS5	0.902046	2508	1.622110	4950
ADAMTS6	0.712977	3933	0.955688	11606
ADAMTS7	0.850929	2844	1.441389	6835
ADAMTS8	0.181844	14142	0.181844	15254
ADAMTS9	0.756799	3540	1.209515	9369
ADAMTSL1	1.338700	948	1.835627	3173
ADAMTSL2	0.505860	6652	0.541579	13882
ADAMTSL3	0.698647	4058	0.737987	12990
ADAMTSL4	0.634960	4744	1.515344	6047
ADAMTSL5	0.509481	6589	0.870989	12203
ADAP1	0.840733	2918	0.840733	12397
ADAP2	0.597395	5277	0.841359	12376
ADAR	0.330720	10842	1.663512	4559
ADARB1	0.689631	4154	1.349083	7856
ADARB2	0.890421	2594	0.890421	12012
ADAT1	0.213949	13563	1.079543	10615
ADAT2	0.217745	13509	1.093772	10471
ADAT3	0.416605	8642	2.090000	1779
ADCK1	0.285417	12019	0.925536	11803
ADCK2	0.147512	14895	1.190514	9505
ADCK5	0.159498	14646	0.956425	11493
ADCY1	0.150005	14876	0.230449	15113
ADCY10	0.000000	17198	0.000000	17219
ADCY2	1.132858	1490	1.187239	9627
ADCY3	0.533956	6193	1.331225	8045
ADCY4	1.064423	1736	1.466571	6561
ADCY5	0.746627	3632	0.775246	12722
ADCY6	0.167425	14562	0.977844	11340
ADCY7	0.399082	9016	0.633721	13457
ADCY8	1.175512	1356	1.175512	9695
ADCY9	0.329277	10881	0.621607	13530
ADCYAP1	0.491362	6939	0.491362	14034
ADCYAP1R1	0.684845	4202	0.684845	13213
ADD1	0.516596	6466	1.870123	2917
ADD2	0.268438	12430	0.474216	14154
ADD3	0.887488	2608	1.883775	2833
ADGB	0.902547	2505	0.902547	11908
ADGRA1	0.000000	17197	0.000000	17218
ADGRA2	0.608771	5049	1.593397	5216
ADGRA3	0.354552	10212	1.136721	10107
ADGRB1	0.152288	14849	0.152288	15587
ADGRB2	0.714720	3916	1.237317	9034
ADGRB3	0.770177	3403	1.011147	11174
ADGRD1	1.361980	888	1.855519	3031
ADGRD2	-	18996	-	18996
ADGRE1	0.181844	14141	0.181844	15253
ADGRE2	0.446223	7811	1.275542	8621
ADGRE3	0.176091	14451	0.176091	15462
ADGRE5	0.647649	4597	1.559068	5592
ADGRF1	0.810233	3142	0.810233	12556
ADGRF2	0.176091	14450	0.176091	15461
ADGRF3	0.207590	13660	0.416641	14422
ADGRF4	0.416641	8633	0.416641	14421
ADGRF5	1.550169	585	1.684201	4378
ADGRG1	1.474071	694	2.047100	1955
ADGRG2	2.414589	101	2.414589	847
ADGRG3	0.439333	7985	0.439333	14249
ADGRG4	0.000000	17196	0.000000	17217
ADGRG5	0.267172	12517	0.267172	15023
ADGRG6	0.847144	2857	1.503058	6150
ADGRG7	0.000000	17195	0.000000	17216
ADGRL1	0.499315	6765	0.737987	12989
ADGRL2	0.870989	2732	0.870989	12202
ADGRL3	0.788551	3272	0.841985	12359
ADGRL4	0.814383	3087	1.716921	4100
ADGRV1	0.840733	2917	0.840733	12396
ADH1A	0.000000	17194	0.000000	17215
ADH1B	2.148760	170	2.395519	888
ADH1C	0.900367	2530	0.900367	11960
ADH4	0.152288	14848	0.152288	15586
ADH5	0.440101	7946	2.023005	2075
ADH6	0.346353	10458	0.346353	14721
ADH7	0.396199	9178	0.396199	14580
ADHFE1	0.789403	3265	1.531734	5877
ADI1	0.510379	6578	2.094157	1760
ADIG	0.130334	15182	0.130334	15722
ADIPOQ	2.177132	159	2.177132	1490
ADIPOR1	0.335493	10716	1.796519	3463
ADIPOR2	0.465526	7436	1.890030	2794
ADIRF	1.179778	1350	2.949492	231
ADK	0.319334	11117	1.340246	7954
ADM	0.793700	3238	2.512658	688
ADM2	0.922247	2409	1.026942	11048
ADM5	0.675661	4289	0.675661	13243
ADNP	0.502660	6703	1.858116	3007
ADNP2	0.372455	9770	1.038223	10926
ADO	0.450052	7749	1.010925	11177
ADORA1	0.901016	2514	1.011338	11168
ADORA2A	0.593759	5316	0.813199	12451
ADORA2B	0.437148	8032	0.870989	12201
ADORA3	0.491362	6938	0.491362	14033
ADPGK	0.298756	11743	1.436465	6866
ADPRH	0.495570	6834	0.752816	12897
ADPRHL1	1.367915	876	1.367915	7690
ADPRHL2	0.365505	9932	1.517240	6019
ADPRM	0.225763	13369	1.127429	10186
ADRA1A	0.429752	8216	0.429752	14317
ADRA1B	0.586097	5406	0.955688	11605
ADRA1D	0.787647	3276	0.872156	12123
ADRA2A	1.278623	1087	1.737113	3929
ADRA2B	0.541579	6063	0.541579	13881
ADRA2C	1.082861	1665	1.127429	10185
ADRB1	0.485198	7025	0.541579	13880
ADRB2	0.413310	8696	1.385964	7475
ADRB3	0.130334	15181	0.130334	15721
ADRM1	0.466222	7425	2.133020	1623
ADSL	0.267172	12516	1.329194	8075
ADSS	0.245328	12932	1.540830	5799
ADSSL1	1.743313	386	2.011655	2118
ADTRP	1.908592	284	1.908592	2676
AEBP1	0.661705	4415	2.439964	796
AEBP2	0.490013	6957	1.540830	5798
AEN	0.489406	6969	1.301948	8374
AES	0.609226	5045	2.399829	880
AFAP1	0.644343	4634	1.732635	3977
AFAP1L1	1.080474	1668	1.900910	2731
AFAP1L2	1.151949	1422	1.818094	3303
AFDN	1.039811	1826	1.399847	7315
AFF1	0.721388	3851	1.606059	5093
AFF2	0.936665	2337	0.964260	11480
AFF3	0.562058	5711	0.650308	13381
AFF4	0.388564	9352	1.572988	5437
AFG3L2	0.483100	7068	1.587486	5272
AFM	0.000000	17193	0.000000	17214
AFMID	0.326592	10967	1.778071	3599
AFP	0.017046	16075	0.017046	16120
AFTPH	0.482474	7081	0.976350	11367
AGA	0.548647	5913	1.307068	8335
AGAP1	0.851075	2843	1.187521	9598
AGAP2	0.268108	12440	0.298853	14895
AGAP3	0.873363	2683	1.611754	5052
AGAP4	-	18995	-	18995
AGAP5	0.460914	7550	1.320146	8144
AGAP6	-	18994	-	18994
