gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.303471	12426	1.294472	9358
A1CF	1.241546	1436	1.241546	9874
A2M	2.021830	237	3.072132	203
A2ML1	0.902832	3141	0.902832	12409
A3GALT2	-	19008	-	19008
A4GALT	0.686027	5149	1.381476	8458
A4GNT	0.000000	17237	0.000000	17239
AAAS	0.591843	6396	1.985813	2738
AACS	0.429316	9545	1.479980	7432
AADAC	1.269746	1350	1.269746	9630
AADACL2	0.093422	15649	0.093422	15739
AADACL3	0.000000	17236	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.464213	8772	1.033826	11547
AAED1	0.243595	13703	1.447468	7771
AAGAB	0.274969	13022	1.823670	3983
AAK1	0.581785	6606	1.477121	7457
AAMDC	0.299078	12506	1.482874	7401
AAMP	0.351681	11294	2.156446	1813
AANAT	0.000000	17235	0.000000	17237
AAR2	0.361808	11052	1.470116	7526
AARD	0.951219	2781	0.965672	11989
AARS	0.263542	13292	1.875619	3544
AARS2	0.305916	12368	1.516733	6986
AARSD1	0.222876	14040	1.610259	5997
AASDH	0.400298	10194	1.480582	7425
AASDHPPT	0.525573	7575	1.797683	4220
AASS	0.698280	4986	1.760347	4559
AATF	0.207010	14330	1.675870	5352
AATK	0.634477	5841	0.634477	13764
ABAT	0.823474	3749	0.994317	11782
ABCA1	0.404006	10117	1.797406	4223
ABCA10	1.254790	1398	1.254790	9773
ABCA12	1.140384	1800	1.140384	10751
ABCA13	1.116276	1902	1.116276	10942
ABCA2	0.207878	14322	0.986772	11846
ABCA3	2.558637	81	2.558637	709
ABCA4	0.212188	14265	0.212188	15196
ABCA5	0.535766	7384	1.568202	6449
ABCA6	1.366057	1072	1.825231	3972
ABCA7	0.356869	11168	1.192428	10300
ABCA8	1.052508	2187	1.993304	2689
ABCA9	0.936924	2898	1.238799	9900
ABCB1	1.113290	1920	1.710963	5020
ABCB10	0.413303	9895	1.273464	9586
ABCB11	0.000000	17234	0.000000	17236
ABCB4	0.145474	15160	0.294466	14840
ABCB5	0.494155	8150	0.494155	14235
ABCB6	0.591654	6398	0.970347	11942
ABCB7	0.112290	15482	1.361728	8686
ABCB8	0.461026	8840	1.463044	7609
ABCB9	0.344776	11482	0.808166	12944
ABCC1	0.420312	9750	1.521198	6949
ABCC10	0.497186	8080	1.051536	11448
ABCC11	0.000000	17233	0.000000	17235
ABCC12	0.000000	17232	0.000000	17234
ABCC2	1.640084	562	1.640084	5711
ABCC3	1.264818	1362	1.677332	5337
ABCC4	1.045754	2229	1.528304	6857
ABCC5	0.473298	8565	1.462098	7623
ABCC6	-	19006	-	19006
ABCC8	0.671173	5331	0.671173	13605
ABCC9	0.947591	2816	1.128076	10842
ABCD1	0.161054	14935	1.114277	10978
ABCD2	0.364957	10983	0.526339	14146
ABCD3	0.439247	9321	1.291147	9410
ABCD4	0.405159	10097	1.340642	8885
ABCE1	0.399071	10223	1.918135	3226
ABCF1	0.229907	13944	2.059412	2321
ABCF2	0.413557	9888	1.840799	3840
ABCF3	0.111576	15487	1.586354	6270
ABCG1	0.619204	6032	1.752125	4630
ABCG2	1.584166	619	1.692142	5207
ABCG4	0.093422	15648	0.094434	15648
ABCG5	0.000000	17231	0.000000	17233
ABCG8	0.000000	17230	0.000000	17232
ABHD1	0.210341	14286	0.269513	14935
ABHD10	0.169470	14807	1.439491	7863
ABHD11	0.671499	5326	1.641460	5694
ABHD12	0.448706	9125	1.900214	3351
ABHD12B	0.155336	14993	0.155336	15353
ABHD13	0.289045	12711	1.331225	8980
ABHD14A	0.229446	13950	1.317646	9136
ABHD14B	0.231770	13916	1.989227	2717
ABHD15	0.473319	8563	0.813883	12907
ABHD16A	0.273016	13066	1.563718	6492
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	13499	1.181983	10392
ABHD17B	0.286935	12781	1.287578	9441
ABHD17C	0.781102	4144	1.822495	3994
ABHD18	0.412948	9904	1.264818	9685
ABHD2	0.457149	8940	2.100715	2097
ABHD3	0.448098	9136	1.398461	8283
ABHD4	0.384878	10536	1.725367	4887
ABHD5	0.366839	10939	1.563718	6491
ABHD6	0.866817	3381	1.114277	10977
ABHD8	0.311736	12244	1.189746	10339
ABI1	0.547415	7157	2.062958	2301
ABI2	0.416444	9822	1.867998	3603
ABI3	0.793705	4026	1.298853	9322
ABI3BP	1.391687	1004	2.348246	1169
ABL1	0.491496	8195	1.341632	8868
ABL2	0.682335	5186	1.350402	8783
ABLIM1	1.364641	1076	1.999479	2659
ABLIM2	0.416786	9812	0.684845	13526
ABLIM3	0.648317	5650	1.647285	5653
ABO	1.220898	1500	1.346744	8820
ABR	0.694657	5031	1.560947	6518
ABRA	0.305351	12386	0.305351	14822
ABRACL	0.516936	7729	2.013475	2559
ABT1	0.444542	9208	1.641408	5695
ABTB1	0.274243	13039	1.462098	7622
ABTB2	0.453524	9003	1.214345	10105
ACAA1	0.362193	11044	1.798933	4205
ACAA2	0.663822	5428	1.803525	4154
ACACA	0.603852	6222	1.747179	4676
ACACB	0.704339	4924	1.024486	11603
ACAD10	0.151558	15020	1.141136	10749
ACAD11	0.602204	6248	1.267641	9645
ACAD8	0.167460	14834	1.376212	8522
ACAD9	0.156462	14974	1.556600	6558
ACADL	1.458638	857	1.458638	7657
ACADM	0.217414	14122	1.591510	6217
ACADS	0.278795	12950	1.166430	10559
ACADSB	0.248379	13628	1.236789	9909
ACADVL	0.271612	13093	2.014004	2555
ACAN	0.773175	4233	0.823474	12878
ACAP1	0.799056	3984	0.911158	12334
ACAP2	0.584520	6549	1.820070	4017
ACAP3	0.193282	14512	0.885780	12499
ACAT1	0.195577	14486	1.843669	3811
ACAT2	0.771442	4249	2.204592	1612
ACBD3	0.298867	12513	2.152808	1827
ACBD4	0.425941	9608	1.081707	11231
ACBD5	0.485377	8351	1.051924	11447
ACBD6	0.344903	11474	1.556465	6559
ACBD7	0.595191	6349	0.832509	12833
ACCS	1.117466	1890	1.368659	8611
ACCSL	-	19004	-	19004
ACD	0.827108	3706	1.743925	4705
ACE	1.493750	771	1.940267	3073
ACE2	0.424882	9666	0.424882	14484
ACER1	0.000000	17229	0.000000	17231
ACER2	0.856357	3457	1.172895	10494
ACER3	0.452649	9029	1.571243	6414
ACHE	0.837361	3622	1.229170	9974
ACIN1	0.428197	9563	2.271772	1378
ACKR1	1.812178	371	1.812178	4083
ACKR2	0.905831	3112	0.905831	12366
ACKR3	0.736240	4589	2.080338	2201
