gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	6686	1.642860	6346
A1CF	1.241546	1899	1.241546	10536
A2M	2.021830	364	3.072132	270
A2ML1	1.158523	2241	1.158523	11239
A3GALT2	-	19008	-	19008
A4GALT	1.039124	2903	1.703549	5715
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.591843	7591	1.985813	3183
AACS	0.439001	10714	1.479980	8162
AADAC	1.269746	1802	1.269746	10281
AADACL2	0.387390	11899	0.387390	14918
AADACL3	0.000000	17238	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.464213	10139	1.033826	12142
AAED1	0.369624	12301	1.512131	7764
AAGAB	0.274969	14233	1.823670	4539
AAK1	0.895975	3969	1.477121	8188
AAMDC	0.501409	9343	1.685204	5904
AAMP	0.351681	12686	2.156446	2176
AANAT	0.000000	17237	0.000000	17237
AAR2	0.361808	12466	1.470116	8243
AARD	0.951219	3521	0.965672	12573
AARS	0.556924	8233	2.169000	2109
AARS2	0.305916	13694	1.516733	7707
AARSD1	0.861848	4243	1.610259	6687
AASDH	0.400298	11582	1.480582	8154
AASDHPPT	0.570556	8011	1.797683	4777
AASS	0.698280	6030	1.760347	5135
AATF	0.388894	11846	1.857755	4223
AATK	0.634477	6956	0.634477	14170
ABAT	0.823474	4635	0.994317	12386
ABCA1	0.768836	5243	2.162236	2155
ABCA10	1.254790	1851	1.254790	10415
ABCA12	1.140384	2339	1.140384	11374
ABCA13	1.116276	2452	1.116276	11562
ABCA2	0.436573	10762	1.158664	11238
ABCA3	2.558637	131	2.558637	871
ABCA4	0.212188	15174	0.212188	15525
ABCA5	0.535766	8635	1.568202	7163
ABCA6	1.366057	1465	1.825231	4532
ABCA7	0.356869	12556	1.192428	10936
ABCA8	1.393400	1377	2.251249	1747
ABCA9	1.305366	1676	1.607241	6733
ABCB1	1.113290	2472	1.710963	5639
ABCB10	0.413303	11298	1.273464	10241
ABCB11	0.000000	17236	0.000000	17236
ABCB4	0.737498	5598	0.886491	13061
ABCB5	0.494155	9493	0.494155	14633
ABCB6	0.591654	7597	0.970347	12537
ABCB7	0.284970	14068	1.534407	7540
ABCB8	0.461026	10202	1.463044	8331
ABCB9	0.393061	11748	0.862115	13179
ABCC1	0.420312	11138	1.591621	6911
ABCC10	0.497186	9418	1.051536	12037
ABCC11	0.000000	17235	0.000000	17235
ABCC12	0.107210	15909	0.107210	15931
ABCC2	1.640084	801	1.640084	6373
ABCC3	1.264818	1814	1.677332	5980
ABCC4	1.045754	2864	1.558469	7274
ABCC5	0.473298	9928	1.462098	8351
ABCC6	-	19006	-	19006
ABCC8	0.671173	6408	0.671173	14026
ABCC9	1.195529	2088	1.558469	7273
ABCD1	0.398380	11621	1.351603	9496
ABCD2	0.892848	3989	1.054230	12015
ABCD3	0.746975	5487	1.323871	9758
ABCD4	0.405159	11491	1.340642	9583
ABCE1	0.435949	10788	1.955014	3425
ABCF1	0.322902	13364	2.172836	2092
ABCF2	0.413557	11290	1.840799	4391
ABCF3	0.111576	15836	1.586354	6963
ABCG1	0.619204	7176	1.752125	5209
ABCG2	1.584166	880	1.692142	5834
ABCG4	0.201096	15265	0.216741	15497
ABCG5	0.000000	17234	0.000000	17234
ABCG8	0.000000	17233	0.000000	17233
ABHD1	0.368963	12313	0.428135	14797
ABHD10	0.186284	15376	1.439491	8584
ABHD11	0.671499	6405	1.641460	6358
ABHD12	0.448706	10497	1.900214	3848
ABHD12B	0.155336	15574	0.155336	15679
ABHD13	0.310774	13609	1.352954	9477
ABHD14A	0.356579	12559	1.412629	8851
ABHD14B	0.411283	11334	2.168740	2112
ABHD15	0.473319	9926	0.813883	13420
ABHD16A	0.273016	14264	1.563718	7218
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	14595	1.181983	11026
ABHD17B	0.286935	14041	1.287578	10091
ABHD17C	0.781102	5083	1.822495	4555
ABHD18	0.550770	8330	1.264818	10324
ABHD2	0.583569	7778	2.100715	2493
ABHD3	0.448098	10508	1.398461	9000
ABHD4	0.384878	11952	1.725367	5500
ABHD5	0.366839	12374	1.563718	7217
ABHD6	0.866817	4204	1.114277	11590
ABHD8	0.370852	12261	1.280578	10178
