gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.494773	8511	1.485774	7680
A1CF	0.167317	15165	0.167317	15570
A2M	2.021830	430	3.072132	287
A2ML1	2.561256	167	2.561256	842
A3GALT2	-	19008	-	19008
A4GALT	0.809429	4358	1.504878	7470
A4GNT	0.000000	17238	0.000000	17239
AAAS	0.591843	6837	1.985813	2997
AACS	0.572172	7143	1.622835	6204
AADAC	1.269746	1718	1.269746	9961
AADACL2	0.075547	15938	0.075547	15979
AADACL3	0.000000	17237	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.428647	9935	0.998259	12066
AAED1	0.290847	13101	1.509203	7422
AAGAB	0.101412	15816	1.650113	5939
AAK1	0.581785	7003	1.477121	7766
AAMDC	0.299078	12922	1.482874	7724
AAMP	0.403651	10570	2.156446	2057
AANAT	0.000000	17236	0.000000	17237
AAR2	0.361808	11559	1.459392	7974
AARD	0.942196	3327	0.956649	12291
AARS	0.408196	10471	2.020273	2778
AARS2	0.333499	12190	1.544316	7036
AARSD1	1.462565	1174	1.647383	5965
AASDH	0.400298	10637	1.480582	7742
AASDHPPT	0.390247	10868	1.748343	4993
AASS	0.698280	5445	1.760347	4884
AATF	0.115923	15709	1.584783	6606
AATK	0.725912	5150	0.725912	13595
ABAT	0.823474	4209	0.902003	12705
ABCA1	0.404006	10563	1.797406	4555
ABCA10	1.254790	1769	1.254790	10097
ABCA12	0.809560	4355	0.809560	13202
ABCA13	2.091913	364	2.091913	2400
ABCA2	0.412958	10379	1.134814	11091
ABCA3	2.558637	169	2.558637	849
ABCA4	0.255273	13960	0.255273	15360
ABCA5	0.535766	7762	1.568202	6809
ABCA6	1.366057	1434	1.825231	4269
ABCA7	0.363922	11511	1.199481	10604
ABCA8	1.155640	2119	1.993304	2950
ABCA9	1.184981	1999	1.486855	7676
ABCB1	0.802089	4423	1.117271	11190
ABCB10	0.358899	11616	1.219060	10415
ABCB11	0.029384	16247	0.029384	16257
ABCB4	0.671865	5746	0.820858	13161
ABCB5	0.143015	15442	0.143015	15706
ABCB6	0.573815	7123	0.952507	12358
ABCB7	0.270391	13502	1.519828	7326
ABCB8	0.461026	9219	1.574841	6719
ABCB9	0.424708	10053	0.893762	12742
ABCC1	0.568001	7212	1.824971	4276
ABCC10	0.497186	8471	1.051536	11725
ABCC11	0.000000	17235	0.000000	17236
ABCC12	0.000000	17234	0.000000	17235
ABCC2	0.507856	8280	0.507856	14459
ABCC3	0.707893	5319	1.520221	7309
ABCC4	0.951794	3267	1.412461	8483
ABCC5	0.473298	8960	1.462098	7947
ABCC6	-	19006	-	19006
ABCC8	0.624282	6392	0.624282	14053
ABCC9	1.394305	1343	1.757244	4917
ABCD1	0.235705	14275	1.188928	10699
ABCD2	0.364957	11481	0.526339	14413
ABCD3	0.439247	9691	1.291147	9744
ABCD4	0.405159	10544	1.348110	9184
ABCE1	0.089354	15863	1.608419	6342
ABCF1	0.209477	14681	2.059412	2569
ABCF2	0.413557	10364	1.840799	4149
ABCF3	0.147748	15414	1.622525	6218
ABCG1	0.619204	6450	1.752125	4952
ABCG2	0.602987	6674	0.710963	13656
ABCG4	0.142718	15443	0.158362	15606
ABCG5	0.000000	17233	0.000000	17234
ABCG8	0.000000	17232	0.000000	17233
ABHD1	0.357469	11646	0.416641	14790
ABHD10	0.169470	15135	1.439491	8183
ABHD11	0.671499	5750	1.641460	6020
ABHD12	0.434148	9819	1.953034	3246
ABHD12B	0.562293	7309	0.562293	14246
ABHD13	0.289045	13134	1.331225	9356
ABHD14A	0.236261	14265	1.289143	9772
ABHD14B	0.300876	12886	2.058333	2575
ABHD15	0.473319	8957	0.813883	13185
ABHD16A	0.273016	13440	1.563718	6849
ABHD16B	-	19005	-	19005
ABHD17A	0.364103	11503	1.290702	9747
ABHD17B	0.371128	11313	1.287578	9786
ABHD17C	0.781102	4577	1.822495	4301
ABHD18	0.455785	9340	1.264818	10011
ABHD2	0.690287	5542	2.100715	2346
ABHD3	0.448098	9503	1.398461	8629
ABHD4	0.384878	11008	1.725367	5242
ABHD5	0.366839	11429	1.563718	6848
ABHD6	0.866817	3875	1.114277	11249
ABHD8	0.311736	12641	1.189746	10666
ABI1	0.547415	7537	2.062958	2551
ABI2	0.416444	10300	1.867998	3907
ABI3	0.793705	4485	1.298853	9679
ABI3BP	1.391687	1352	2.348246	1333
ABL1	0.491496	8564	1.387498	8735
ABL2	0.338488	12071	1.034227	11820
ABLIM1	1.370062	1421	2.259785	1635
ABLIM2	1.115278	2313	1.115278	11229
ABLIM3	1.008763	2886	1.767013	4822
ABO	1.220898	1881	1.346744	9192
ABR	0.932981	3384	1.560947	6867
ABRA	2.002252	449	2.002252	2889
ABRACL	0.516936	8136	2.013475	2817
ABT1	0.444542	9581	1.641408	6021
ABTB1	0.274243	13421	1.462098	7946
ABTB2	0.455279	9352	1.214345	10444
ACAA1	0.362193	11548	1.798933	4533
ACAA2	0.757336	4851	1.403939	8559
ACACA	0.378721	11151	1.522048	7289
ACACB	1.587935	894	1.587935	6576
ACAD10	0.262633	13642	1.252211	10111
ACAD11	0.522031	8063	0.915400	12583
ACAD8	0.266774	13583	1.475526	7796
ACAD9	0.256631	13790	1.656769	5875
ACADL	1.458638	1184	1.458638	7985
ACADM	0.729708	5112	2.103804	2328
ACADS	0.910325	3567	1.797960	4551
ACADSB	0.518553	8112	1.487138	7674
ACADVL	0.480588	8800	2.400365	1199
ACAN	2.244762	279	2.295061	1515
ACAP1	0.799056	4448	0.911158	12639
ACAP2	0.584520	6957	1.820070	4322
ACAP3	0.328074	12304	1.026533	11906
ACAT1	0.899303	3656	2.559859	847
ACAT2	0.665317	5822	2.098467	2356
ACBD3	0.298867	12927	2.152808	2074
ACBD4	0.316460	12533	1.025306	11915
ACBD5	0.319501	12472	0.844477	13009
ACBD6	0.418669	10186	1.467608	7866
ACBD7	0.542999	7615	0.780317	13318
ACCS	1.117466	2299	1.368659	8973
ACCSL	-	19004	-	19004
ACD	0.827108	4176	1.743925	5037
ACE	1.493750	1084	1.940267	3334
ACE2	0.424882	10047	0.424882	14703
ACER1	0.688420	5568	0.688420	13781
ACER2	0.278959	13347	0.595496	14139
ACER3	0.358527	11624	1.477121	7765
ACHE	1.522323	1023	1.914132	3522
ACIN1	0.442375	9622	2.271772	1588
ACKR1	2.070998	377	2.070998	2496
ACKR2	0.905831	3600	0.905831	12658
ACKR3	0.904317	3625	2.248415	1675
ACKR4	1.014951	2844	1.119586	11172
ACLY	0.907986	3586	2.202685	1846
ACMSD	0.056905	16057	0.056905	16078
ACO1	0.247371	14088	1.771312	4780
ACO2	0.899157	3658	2.660552	679
ACOD1	0.086360	15889	0.086360	15943
ACOT1	0.555818	7410	0.607455	14089
ACOT11	1.050107	2648	1.141136	11046
ACOT12	0.050185	16070	0.050185	16086
ACOT13	0.275429	13403	1.605628	6381
ACOT2	0.795185	4471	1.475526	7795
ACOT4	0.403638	10571	0.542825	14317
ACOT6	-	19003	-	19003
ACOT7	1.390955	1355	1.824501	4282
ACOT8	0.367532	11392	1.768301	4808
ACOT9	0.318809	12483	1.867875	3908
ACOX1	0.367028	11419	1.656290	5893
ACOX2	0.809007	4361	0.937531	12450
ACOX3	0.373863	11253	1.351410	9156
ACOXL	1.244772	1807	1.244772	10211
ACP1	0.307944	12728	1.937919	3353
ACP2	0.322011	12422	1.874874	3852
ACP5	2.386349	217	2.412729	1174
ACP6	0.424568	10055	1.098055	11376
ACP7	-	19002	-	19002
ACPP	1.551581	955	1.780749	4697
ACPT	-	19001	-	19001
ACR	0.000000	17231	0.000000	17232
ACRBP	0.398840	10667	0.645422	13921
ACRC	0.000000	17230	0.000000	17231
ACRV1	0.000000	17229	0.000000	17230
ACSBG1	0.170262	15126	0.170262	15556
ACSBG2	0.000000	17228	0.000000	17229
ACSF2	0.834941	4118	1.461048	7956
ACSF3	0.325239	12348	1.190332	10665
ACSL1	1.093926	2402	1.857393	3986
ACSL3	0.368619	11357	2.255200	1648
ACSL4	0.533388	7797	1.927165	3420
ACSL5	0.939519	3347	1.724358	5250
ACSL6	0.780317	4587	0.780317	13317
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17227	0.000000	17228
ACSM2B	0.000000	17226	0.000000	17227
ACSM3	0.887538	3728	0.959995	12281
ACSM4	-	18999	-	18999
ACSM5	0.487138	8673	0.487138	14521
ACSM6	0.000000	17225	0.000000	17226
ACSS1	0.479583	8820	1.567379	6814
ACSS2	0.742372	5000	1.582791	6623
ACSS3	0.910961	3565	1.485011	7693
ACTA1	4.614810	2	4.614810	2
ACTA2	1.933285	495	3.307582	160
