gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	9226	1.171086	8593
A1CF	0.000000	16824	0.000000	17239
A2M	0.965574	1931	1.804616	2687
A2ML1	1.267641	1049	1.267641	7650
A3GALT2	-	19008	-	19008
A4GALT	-0.158480	17120	0.536969	12955
A4GNT	0.000000	16823	0.000000	17238
AAAS	0.378775	7693	1.212986	8197
AACS	0.391015	7284	0.911927	10892
AADAC	0.000000	16822	0.000000	17237
AADACL2	0.000000	16821	0.000000	17236
AADACL3	0.000000	16820	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.380674	7659	0.867428	11241
AAED1	0.036838	14379	1.031232	9892
AAGAB	0.142999	12656	1.691700	3545
AAK1	0.906829	2165	1.250176	7817
AAMDC	0.083846	13657	1.267641	7649
AAMP	0.555515	4857	1.837157	2461
AANAT	0.000000	16819	0.000000	17234
AAR2	0.331363	8601	1.212986	8196
AARD	0.489338	5714	0.503791	13200
AARS	0.331525	8598	1.913019	2040
AARS2	0.111576	13130	1.322394	7054
AARSD1	0.730782	3197	1.671913	3721
AASDH	0.493631	5650	1.573915	4583
AASDHPPT	0.945577	2003	2.089481	1223
AASS	0.438307	6504	1.500374	5280
AATF	0.045688	14123	1.514548	5121
AATK	1.698199	432	1.698199	3474
ABAT	1.751818	381	1.936715	1895
ABCA1	0.284295	9490	1.677694	3668
ABCA10	0.667453	3708	0.667453	12462
ABCA12	0.000000	16818	0.000000	17233
ABCA13	0.238046	10862	0.238046	14488
ABCA2	1.350837	889	1.748051	3094
ABCA3	0.674015	3600	1.401969	6222
ABCA4	0.092154	13432	0.092154	14881
ABCA5	0.423323	6743	1.455758	5717
ABCA6	0.292819	9338	0.526434	12974
ABCA7	0.697342	3416	1.023235	9953
ABCA8	1.231979	1126	1.660522	3805
ABCA9	0.338890	8426	0.593286	12805
ABCB1	1.275706	1021	1.873379	2245
ABCB10	0.230602	10995	0.648360	12520
ABCB11	0.043445	14330	0.043445	15259
ABCB4	0.134119	12797	0.283111	13989
ABCB5	0.000000	16817	0.000000	17232
ABCB6	0.355272	8122	0.786199	11694
ABCB7	0.332853	8564	1.582291	4495
ABCB8	0.293215	9327	1.399328	6296
ABCB9	0.790807	2764	1.036629	9871
ABCC1	0.324109	8738	0.941483	10648
ABCC10	0.211553	11395	0.879096	11176
ABCC11	0.000000	16816	0.000000	17231
ABCC12	0.390935	7495	0.390935	13712
ABCC2	0.000000	16815	0.000000	17230
ABCC3	0.000000	16814	0.238046	14487
ABCC4	0.261449	9921	0.736787	11974
ABCC5	0.853809	2412	1.842609	2435
ABCC6	-	19006	-	19006
ABCC8	0.813671	2624	0.813671	11556
ABCC9	0.751784	3030	0.879096	11175
ABCD1	0.000000	16813	0.667453	12461
ABCD2	1.437189	738	1.598572	4350
ABCD3	0.184651	11971	1.324407	7047
ABCD4	0.277922	9654	1.423757	6032
ABCE1	0.409996	6996	1.929061	1941
ABCF1	0.294199	9303	2.131266	1094
ABCF2	0.155637	12455	1.565376	4660
ABCF3	0.190334	11874	1.665112	3776
ABCG1	0.542766	5007	1.675687	3679
ABCG2	1.077368	1542	1.077368	9537
ABCG4	0.782315	2851	0.797960	11652
ABCG5	0.000000	16812	0.000000	17229
ABCG8	0.000000	16811	0.000000	17228
ABHD1	0.357469	8090	0.416641	13412
ABHD10	0.454744	6250	1.725422	3260
ABHD11	0.064764	13915	0.921686	10763
ABHD12	0.351018	8197	1.869904	2250
ABHD12B	1.176381	1263	1.176381	8512
ABHD13	0.247204	10198	1.289384	7390
ABHD14A	0.570985	4678	1.688153	3559
ABHD14B	-0.450175	17228	1.307282	7202
ABHD15	0.000000	16810	0.283301	13987
ABHD16A	0.238728	10334	1.529430	4991
ABHD16B	-	19005	-	19005
ABHD17A	0.469425	6038	1.396025	6322
ABHD17B	0.482763	5825	1.358342	6698
ABHD17C	0.775131	2892	1.153069	8725
ABHD18	0.695430	3434	1.001389	10125
ABHD2	0.430449	6631	2.010512	1535
ABHD3	0.212220	11378	1.162582	8659
ABHD4	0.339953	8404	1.621903	4155
ABHD5	0.227022	11090	1.423901	6030
ABHD6	0.671618	3620	1.358316	6711
ABHD8	0.586096	4520	1.495822	5313
ABI1	0.472600	5997	1.881784	2200
ABI2	0.811206	2643	2.262759	781
ABI3	0.522744	5220	1.027892	9906
ABI3BP	0.484878	5794	1.159640	8674
ABL1	0.253114	10080	0.952782	10596
ABL2	0.728413	3220	1.228216	8041
ABLIM1	1.025799	1709	1.587374	4439
ABLIM2	1.653446	480	1.653446	3862
ABLIM3	0.384028	7610	1.704408	3434
ABO	0.227887	11072	0.321010	13894
ABR	1.043527	1656	2.104897	1169
ABRA	0.043445	14329	0.043445	15258
ABRACL	0.433061	6589	1.651181	3899
ABT1	0.047163	14107	1.244030	7883
ABTB1	0.552270	4890	1.740126	3171
ABTB2	0.392824	7257	0.885510	11027
ACAA1	0.172139	12168	1.528559	4992
ACAA2	0.334482	8525	1.357924	6714
ACACA	0.637163	4007	1.226457	8059
ACACB	0.669076	3651	0.989223	10271
ACAD10	0.137851	12732	1.127429	9004
ACAD11	0.489584	5706	0.823030	11518
ACAD8	0.234516	10922	1.443267	5822
ACAD9	0.126331	12930	1.526469	5014
ACADL	0.224156	11161	0.238046	14486
ACADM	0.797785	2724	1.633771	4032
ACADS	0.032344	14421	0.919979	10769
ACADSB	0.641683	3959	1.461358	5638
ACADVL	0.319107	8836	1.931394	1923
ACAN	0.879506	2286	0.955688	10585
ACAP1	0.000000	16809	0.058636	15102
ACAP2	0.718101	3281	1.573915	4582
ACAP3	0.556813	4844	1.255273	7740
ACAT1	0.176607	12097	1.848743	2382
ACAT2	0.256742	10002	1.598572	4349
ACBD3	-0.018124	16875	1.835817	2471
ACBD4	0.685543	3514	1.097821	9279
ACBD5	0.650539	3855	1.181259	8464
ACBD6	0.327306	8680	1.160098	8669
ACBD7	1.798374	343	2.035692	1428
ACCS	0.378240	7712	0.786041	11790
ACCSL	-	19004	-	19004
ACD	0.646988	3904	0.904978	10940
ACE	0.840612	2475	1.287130	7409
ACE2	0.000000	16808	0.000000	17227
ACER1	0.000000	16807	0.000000	17226
ACER2	0.672913	3610	0.989450	10268
ACER3	0.187709	11924	1.306303	7205
ACHE	1.220631	1145	1.576917	4531
ACIN1	0.641675	3960	2.102194	1186
ACKR1	1.331225	918	1.331225	6994
ACKR2	0.553391	4875	0.786041	11789
ACKR3	1.022064	1722	2.366161	562
ACKR4	0.413879	6923	0.518514	13020
ACLY	0.036526	14381	1.331225	6993
ACMSD	0.000000	16806	0.000000	17225
ACO1	-0.105047	17064	1.418895	6071
ACO2	0.518514	5280	2.223470	865
ACOD1	0.000000	16805	0.000000	17224
ACOT1	0.180703	12024	0.232340	14497
ACOT11	0.673893	3601	0.764923	11889
ACOT12	0.016406	14709	0.016406	15430
ACOT13	0.239765	10320	1.664155	3780
ACOT2	0.390935	7494	1.172311	8586
ACOT4	0.347353	8260	0.486541	13254
ACOT6	-	19003	-	19003
ACOT7	0.614019	4208	1.622007	4127
ACOT8	0.342975	8342	1.743745	3136
ACOT9	0.000000	16804	1.359646	6689
ACOX1	0.409340	7006	1.490239	5377
ACOX2	0.169523	12211	0.595031	12682
ACOX3	0.119041	13043	1.016259	10060
ACOXL	0.000000	16803	0.000000	17223
ACP1	0.244438	10263	2.051770	1366
ACP2	0.169126	12222	1.587374	4438
ACP5	0.067443	13882	0.164353	14705
ACP6	0.519701	5260	0.818277	11532
ACP7	-	19002	-	19002
ACPP	0.425032	6713	0.503791	13199
ACPT	-	19001	-	19001
ACR	0.000000	16802	0.000000	17222
ACRBP	0.238046	10861	0.238046	14485
ACRC	0.238046	10860	0.238046	14484
ACRV1	0.000000	16801	0.000000	17221
ACSBG1	2.006894	215	2.006894	1551
ACSBG2	0.043445	14328	0.043445	15257
ACSF2	0.000000	16800	0.781755	11823
ACSF3	0.121207	13010	0.848827	11315
ACSL1	0.569549	4697	1.331225	6992
ACSL3	0.682760	3536	2.383277	527
ACSL4	0.459579	6178	1.913867	2038
ACSL5	0.424259	6730	1.300595	7302
ACSL6	1.292256	985	1.292256	7375
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16799	0.000000	17220
ACSM2B	0.000000	16798	0.000000	17219
ACSM3	0.017448	14592	0.089905	14996
ACSM4	-	18999	-	18999
ACSM5	0.390935	7493	0.390935	13711
ACSM6	0.000000	16797	0.000000	17218
ACSS1	0.676916	3580	1.764713	2955
ACSS2	0.246249	10221	1.119586	9072
ACSS3	0.628166	4067	1.202216	8277
ACTA1	0.786041	2827	0.786041	11788
ACTA2	0.084455	13647	1.020775	10026
ACTB	0.287708	9426	3.416422	24
ACTBL2	0.390935	7492	0.390935	13710
ACTC1	0.130541	12844	0.238046	14483
ACTG1	0.267033	9834	3.507008	16
ACTG2	0.000000	16796	0.440987	13352
ACTL10	0.120987	13013	0.238046	14482
ACTL6A	0.389830	7513	1.547775	4817
ACTL6B	1.684037	446	1.684037	3610
ACTL7A	0.000000	16795	0.000000	17217
ACTL7B	0.000000	16794	0.000000	17216
ACTL8	0.089905	13587	0.089905	14995
ACTL9	0.000000	16793	0.000000	17215
ACTN1	0.457627	6206	2.181115	959
ACTN2	1.962964	232	2.192567	929
ACTN3	0.076816	13781	0.076816	15055
ACTN4	0.100782	13290	1.700271	3465
ACTR10	0.495862	5625	1.925312	1962
ACTR1A	0.240968	10306	2.270399	758
ACTR1B	0.211339	11396	1.502154	5238
ACTR2	0.668572	3655	1.946183	1846
ACTR3	0.621829	4139	2.116973	1137
ACTR3B	1.127878	1386	2.056028	1342
ACTR3C	0.390935	7491	0.709182	12195
ACTR5	0.128108	12888	0.925375	10734
ACTR6	0.399801	7151	1.447158	5793
ACTR8	0.522624	5224	1.464354	5617
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16792	0.000000	17214
ACTRT3	-	18997	-	18997
ACVR1	0.238046	10859	1.212986	8195
ACVR1B	0.294448	9295	1.312177	7177
ACVR1C	1.079904	1524	1.079904	9429
ACVR2A	0.252635	10088	0.861504	11257
ACVR2B	0.288905	9402	0.690196	12262
ACVRL1	0.408269	7020	0.503791	13198
ACY1	0.043445	14327	0.909556	10925
ACY3	0.547775	4952	0.547775	12932
ACYP1	0.625644	4095	1.500374	5279
ACYP2	1.218615	1148	2.263849	776
ADA	0.230461	11001	0.904978	10939
ADAD1	0.000000	16791	0.000000	17213
ADAD2	0.000000	16790	0.000000	17212
ADAL	0.504046	5450	1.231979	8022
ADAM10	0.253219	10076	1.366983	6609
ADAM11	0.690150	3476	0.690150	12263
ADAM12	0.556561	4847	0.835056	11467
ADAM15	-0.330364	17209	1.349472	6772
ADAM17	0.429662	6638	1.193125	8386
ADAM18	0.000000	16789	0.000000	17211
ADAM19	0.238046	10858	0.593286	12804
ADAM2	0.000000	16788	0.000000	17210
ADAM20	0.000000	16787	0.000000	17209
ADAM21	0.000000	16786	0.000000	17208
ADAM22	1.406149	791	1.854367	2354
ADAM23	1.351432	887	1.834357	2474
ADAM28	0.948264	1995	1.014720	10066
ADAM29	0.000000	16785	0.000000	17207
ADAM30	0.000000	16784	0.000000	17206
ADAM32	0.000000	16783	0.000000	17205
ADAM33	0.238046	10857	0.586456	12812
ADAM7	0.000000	16782	0.000000	17204
ADAM8	0.129235	12868	0.180111	14661
ADAM9	0.333037	8558	1.538699	4903
ADAMDEC1	0.016406	14708	0.016406	15429
ADAMTS1	0.194583	11802	1.667656	3748
ADAMTS10	0.120257	13030	0.818775	11528
ADAMTS12	0.276965	9663	0.390935	13709
ADAMTS13	0.000000	16781	0.000000	17203
ADAMTS14	0.390446	7501	0.625312	12604
ADAMTS15	0.431208	6620	0.955688	10584
ADAMTS16	0.121329	13006	0.121329	14774
