gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.303471	9815	1.294472	7929
A1CF	1.241546	842	1.241546	8483
A2M	1.651913	334	2.702215	327
A2ML1	0.902832	1871	0.902832	11390
A3GALT2	-	19008	-	19008
A4GALT	1.046369	1304	1.710794	3730
A4GNT	0.000000	17216	0.000000	17239
AAAS	0.546596	4763	1.655427	4197
AACS	0.278123	10441	1.328787	7570
AADAC	0.429752	6777	0.429752	13824
AADACL2	0.093422	14973	0.093422	15416
AADACL3	0.000000	17215	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.464213	6062	1.033826	10404
AAED1	0.141101	14132	1.359456	7263
AAGAB	0.274969	10529	1.823670	2882
AAK1	0.741553	2855	1.636889	4372
AAMDC	0.271332	10619	1.355960	7289
AAMP	0.226923	11954	1.882866	2475
AANAT	0.000000	17214	0.000000	17237
AAR2	0.348881	8637	1.470116	6058
AARD	0.951219	1657	0.965672	10912
AARS	0.246400	11423	1.858477	2632
AARS2	0.117970	14518	1.328787	7569
AARSD1	0.222876	12042	1.375617	7068
AASDH	0.208636	12400	1.288920	8010
AASDHPPT	0.525573	5047	1.797683	3082
AASS	0.458809	6163	1.520876	5538
AATF	0.207010	12437	1.675870	4020
AATK	0.549003	4739	0.549003	13317
ABAT	0.265153	10959	0.994317	10731
ABCA1	0.389166	7638	1.626471	4474
ABCA10	0.663701	3484	0.663701	12808
ABCA12	0.828509	2279	0.828509	11878
ABCA13	0.209813	12363	0.209813	14675
ABCA2	0.201564	12571	0.980458	10825
ABCA3	0.441561	6487	1.123198	9661
ABCA4	0.049218	15500	0.049218	15649
ABCA5	0.641046	3713	1.673482	4057
ABCA6	0.729473	2925	1.188647	9020
ABCA7	0.320146	9400	1.094471	9911
ABCA8	0.720259	2986	1.661055	4150
ABCA9	0.936924	1720	1.238799	8502
ABCB1	1.113290	1116	1.710963	3723
ABCB10	0.413303	7102	1.273464	8179
ABCB11	0.000000	17213	0.000000	17236
ABCB4	0.145474	14033	0.294466	14298
ABCB5	0.494155	5557	0.494155	13521
ABCB6	0.591654	4204	0.970347	10897
ABCB7	0.152288	13922	1.362105	7229
ABCB8	0.229173	11902	1.230566	8605
ABCB9	0.245436	11443	0.570678	13193
ABCC1	0.264228	10976	1.521198	5518
ABCC10	0.300158	9884	0.935507	11148
ABCC11	0.000000	17212	0.000000	17235
ABCC12	0.000000	17211	0.000000	17234
ABCC2	1.640084	344	1.640084	4344
ABCC3	1.264818	805	1.809627	2996
ABCC4	1.045754	1307	1.528304	5445
ABCC5	0.221518	12080	1.210319	8835
ABCC6	-	19006	-	19006
ABCC8	1.263873	809	1.263873	8275
ABCC9	0.613869	3972	0.976808	10834
ABCD1	0.133539	14294	1.013259	10588
ABCD2	0.248551	11364	0.409933	13899
ABCD3	0.533074	4950	1.442009	6372
ABCD4	0.395033	7514	1.302114	7870
ABCE1	0.399071	7425	1.918135	2266
ABCF1	0.229907	11877	1.989138	1896
ABCF2	0.179898	13052	1.607140	4648
ABCF3	0.357092	8381	1.831870	2819
ABCG1	0.121143	14472	1.254064	8322
ABCG2	1.793755	242	1.901731	2361
ABCG4	0.093422	14972	0.093422	15415
ABCG5	0.000000	17210	0.000000	17233
ABCG8	0.000000	17209	0.000000	17232
ABHD1	0.210341	12346	0.269513	14389
ABHD10	0.284292	10294	1.344589	7410
ABHD11	0.624542	3869	1.594503	4767
ABHD12	0.597695	4145	1.665581	4120
ABHD12B	0.000000	17208	0.000000	17231
ABHD13	0.334891	8985	1.362105	7228
ABHD14A	0.200478	12594	1.317646	7687
ABHD14B	0.257315	11146	2.014772	1788
ABHD15	0.397424	7461	0.737987	12422
ABHD16A	0.126139	14401	1.350893	7338
ABHD16B	-	19005	-	19005
ABHD17A	0.117142	14570	1.024486	10485
ABHD17B	0.113485	14616	1.014521	10540
ABHD17C	0.538526	4872	1.579919	4915
ABHD18	0.380872	7837	1.232742	8586
ABHD2	0.374175	7970	1.881042	2485
ABHD3	0.269484	10696	1.219846	8723
ABHD4	0.378770	7878	1.703635	3780
ABHD5	0.292088	10078	1.488967	5873
ABHD6	0.688047	3272	1.243286	8462
ABHD8	0.193306	12730	1.061452	10217
ABI1	0.230529	11856	1.602545	4702
ABI2	0.234098	11739	1.685652	3923
ABI3	0.347332	8671	0.852480	11731
ABI3BP	0.897200	1909	1.853759	2661
ABL1	0.340121	8865	1.341632	7434
ABL2	0.609490	4014	1.277556	8121
ABLIM1	0.845986	2180	1.526339	5485
ABLIM2	0.277248	10466	0.545307	13332
ABLIM3	0.282943	10318	1.531734	5424
ABO	0.696975	3194	0.822822	11919
ABR	0.429752	6776	1.220792	8703
ABRA	0.682145	3330	0.682145	12741
ABRACL	0.482964	5724	1.979503	1948
ABT1	0.189276	12855	1.386142	6956
ABTB1	0.229118	11906	1.416973	6631
ABTB2	1.255707	820	1.582745	4901
ACAA1	0.208003	12416	1.690019	3886
ACAA2	0.663822	3480	1.803525	3037
ACACA	0.603852	4058	1.747179	3441
ACACB	1.079543	1199	1.221936	8698
ACAD10	0.041427	15526	1.031004	10446
ACAD11	0.602204	4072	1.267641	8220
ACAD8	0.127107	14390	1.335859	7504
ACAD9	0.152288	13921	1.385428	6979
ACADL	0.723282	2964	0.744293	12398
ACADM	0.266982	10908	1.641077	4340
ACADS	0.107561	14687	0.995196	10721
ACADSB	0.394155	7527	1.311330	7761
ACADVL	0.541629	4832	2.021809	1753
ACAN	0.523635	5082	0.573934	13190
ACAP1	0.393048	7554	0.505150	13437
ACAP2	0.187322	12901	1.696269	3837
ACAP3	0.098094	14791	0.718502	12554
ACAT1	0.303617	9808	1.975753	1969
ACAT2	0.673313	3402	2.106463	1430
ACBD3	0.140519	14144	1.994461	1863
ACBD4	0.478675	5792	1.187521	9051
ACBD5	0.485377	5680	1.051924	10278
ACBD6	0.344903	8733	1.400883	6805
ACBD7	0.757878	2741	0.995196	10720
ACCS	0.575564	4397	0.995196	10719
ACCSL	-	19004	-	19004
ACD	0.266738	10919	1.183555	9091
ACE	1.421656	548	1.868174	2571
ACE2	0.429752	6775	0.429752	13823
