gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.833735	680	1.643847	2857
A1CF	0.000000	15849	0.000000	17239
A2M	0.679121	1131	1.405346	4323
A2ML1	0.000000	15848	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.492729	2349	1.157154	6252
A4GNT	0.000000	15847	0.000000	17237
AAAS	0.133158	8597	1.526985	3514
AACS	0.008900	10103	1.059563	6919
AADAC	0.271842	6144	0.271842	12191
AADACL2	0.000000	15846	0.000000	17236
AADACL3	0.000000	15845	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.181840	7863	0.598791	10359
AAED1	0.128248	8655	1.199481	5947
AAGAB	0.133534	8590	1.682235	2686
AAK1	0.231650	6917	0.394452	11648
AAMDC	0.490423	2379	1.674218	2697
AAMP	0.429606	3028	1.901240	1676
AANAT	0.000000	15844	0.000000	17234
AAR2	0.298720	5377	1.419956	4191
AARD	1.935474	39	1.949926	1497
AARS	0.246701	6573	1.858778	1868
AARS2	-0.053663	16311	1.157154	6251
AARSD1	0.225204	7036	1.507451	3644
AASDH	0.011031	10077	1.091315	6794
AASDHPPT	0.245448	6596	1.657916	2803
AASS	0.463847	2620	1.323458	4919
AATF	-0.182853	16878	1.286007	5194
AATK	0.000000	15843	0.000000	17233
ABAT	0.545093	1924	0.736397	9380
ABCA1	0.000000	15842	1.238799	5622
ABCA10	0.271842	6143	0.271842	12190
ABCA12	0.000000	15841	0.000000	17232
ABCA13	0.000000	15840	0.000000	17231
ABCA2	0.564990	1730	1.056524	7122
ABCA3	0.000000	15839	0.394452	11647
ABCA4	0.000000	15838	0.000000	17230
ABCA5	0.000000	15837	0.437751	10997
ABCA6	0.487769	2406	0.946943	7815
ABCA7	0.238401	6769	0.271842	12189
ABCA8	0.281920	5675	1.222716	5712
ABCA9	0.645069	1271	0.946943	7814
ABCB1	0.000000	15836	0.394452	11646
ABCB10	0.327378	4832	0.925312	8076
ABCB11	0.000000	15835	0.000000	17229
ABCB4	0.000000	15834	0.000000	17228
ABCB5	0.000000	15833	0.000000	17227
ABCB6	0.872563	605	1.109579	6674
ABCB7	0.000000	15832	0.794488	8982
ABCB8	0.105965	8962	1.199755	5868
ABCB9	0.372306	4063	0.841359	8785
ABCC1	0.224809	7047	1.366610	4633
ABCC10	0.325218	4888	0.736397	9379
ABCC11	0.000000	15831	0.000000	17226
ABCC12	0.000000	15830	0.000000	17225
ABCC2	0.000000	15829	0.000000	17224
ABCC3	0.923510	526	1.735838	2409
ABCC4	0.179520	7894	0.996074	7521
ABCC5	0.257681	6370	0.925312	8075
ABCC6	-	19006	-	19006
ABCC8	0.000000	15828	0.000000	17223
ABCC9	0.662366	1202	1.025306	7272
ABCD1	0.269493	6176	1.222716	5711
ABCD2	0.276368	5776	0.437751	10996
ABCD3	0.034841	9846	1.199481	5946
