gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	81	3.183790	287
A1CF	2.101919	533	2.101919	2961
A2M	2.206353	449	3.256655	246
A2ML1	1.417254	2002	1.417254	9785
A3GALT2	-	19008	-	19008
A4GALT	0.686027	7598	1.381476	10164
A4GNT	1.225309	2866	1.225309	11604
AAAS	0.591843	9118	1.985813	3802
AACS	0.521760	10431	1.572424	8029
AADAC	1.956168	718	1.956168	4047
AADACL2	0.117271	16118	0.117271	16124
AADACL3	0.025306	16656	0.025306	16656
AADACL4	-	19007	-	19007
AADAT	1.013472	4139	1.226084	11590
AAED1	0.369624	13509	1.447468	9443
AAGAB	0.274969	15075	1.823670	5280
AAK1	0.984219	4384	1.879555	4737
AAMDC	0.480847	11290	1.664642	6932
AAMP	0.351681	13905	2.156446	2640
AANAT	0.000000	17239	0.000000	17239
AAR2	0.431217	12313	1.552452	8246
AARD	0.951219	4654	0.965672	13296
AARS	0.341782	14099	1.953859	4067
AARS2	0.305916	14680	1.516733	8665
AARSD1	0.349562	13957	1.610259	7592
AASDH	0.400298	12940	1.480582	9088
AASDHPPT	0.570556	9482	1.797683	5538
AASS	0.857829	5511	1.850956	5020
AATF	0.311385	14612	1.780245	5719
AATK	0.818631	5922	0.836324	13932
ABAT	1.966422	707	2.695586	809
ABCA1	1.417970	2000	2.290881	1972
ABCA10	1.254790	2730	1.254790	11370
ABCA12	0.828509	5813	0.828509	13962
ABCA13	1.116276	3442	1.116276	12386
ABCA2	0.912187	5005	1.691081	6651
ABCA3	2.558637	240	2.558637	1087
ABCA4	0.344392	14058	0.344392	15525
ABCA5	1.222196	2884	1.787704	5649
ABCA6	1.366057	2214	1.825231	5271
ABCA7	1.019233	4102	1.854792	4970
ABCA8	1.052508	3863	1.993304	3742
ABCA9	0.936924	4775	1.238799	11503
ABCB1	1.321562	2395	1.919235	4356
ABCB10	1.141486	3310	2.001647	3684
ABCB11	1.753506	1049	1.753506	6007
ABCB4	2.095754	542	2.244747	2187
ABCB5	0.494155	11003	0.494155	15124
ABCB6	1.217134	2905	1.595827	7771
ABCB7	0.316174	14537	1.565612	8113
ABCB8	0.461026	11670	1.502154	8837
ABCB9	0.382171	13258	0.808166	14038
ABCC1	0.463893	11612	1.684486	6708
ABCC10	0.497186	10921	1.051536	12806
ABCC11	0.025306	16655	0.025306	16655
