gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.579459	1690	1.441894	4913
A1CF	0.000000	16780	0.000000	17239
A2M	0.000000	16779	0.632733	10740
A2ML1	0.000000	16778	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.876539	685	1.540964	4143
A4GNT	0.000000	16777	0.000000	17237
AAAS	0.659108	1304	2.053078	1396
AACS	0.408754	3177	1.459418	4777
AADAC	0.000000	16776	0.000000	17236
AADACL2	0.000000	16775	0.000000	17235
AADACL3	0.000000	16774	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.524581	2066	0.737193	10226
AAED1	0.258319	5883	1.476675	4675
AAGAB	0.169340	8360	1.718041	2912
AAK1	0.351152	4013	0.902274	9214
AAMDC	0.299623	4965	1.483418	4615
AAMP	0.280431	5380	2.026146	1474
AANAT	0.045574	12569	0.045574	14005
AAR2	0.357930	3905	1.479166	4651
AARD	0.015896	13279	0.030349	14169
AARS	0.292254	5121	1.904331	1957
AARS2	0.349064	4047	1.559882	4001
AARSD1	0.092977	10793	1.505811	4424
AASDH	0.040191	12760	0.976368	8700
AASDHPPT	0.111992	10147	1.628593	3491
AASS	0.120928	9874	1.180806	7098
AATF	0.089335	10895	1.558195	4014
AATK	0.000000	16773	0.000000	17233
ABAT	0.039914	12764	0.486401	11360
ABCA1	0.119757	9913	1.513156	4363
ABCA10	0.099329	10621	0.099329	13310
ABCA12	0.178977	8077	0.178977	12788
ABCA13	0.323153	4501	0.323153	12068
ABCA2	0.126096	9709	0.657973	10637
ABCA3	0.009239	13359	0.737193	10225
ABCA4	0.647970	1351	0.647970	10676
ABCA5	0.156934	8713	0.963478	8807
ABCA6	0.797394	857	1.256569	6438
ABCA7	0.227654	6692	1.063212	8020
ABCA8	0.627134	1453	1.567930	3953
ABCA9	1.112759	350	1.414634	5156
ABCB1	0.081838	11119	0.611723	10859
ABCB10	0.182127	7934	1.042288	8196
ABCB11	0.000000	16772	0.000000	17232
ABCB4	0.127105	9687	0.227887	12513
ABCB5	0.127105	9686	0.127105	13137
ABCB6	0.372807	3699	0.751500	10132
ABCB7	0.067162	11914	1.316599	5916
ABCB8	0.203165	7367	1.375132	5473
ABCB9	0.275015	5489	0.708137	10395
ABCC1	0.607156	1548	1.864126	2162
ABCC10	0.413567	3123	0.835070	9617
ABCC11	0.000000	16771	0.000000	17231
ABCC12	0.080183	11175	0.080183	13387
ABCC2	0.000000	16770	0.000000	17230
ABCC3	0.857669	713	1.669997	3213
ABCC4	0.246224	6176	1.107672	7685
ABCC5	0.109576	10223	0.994922	8571
ABCC6	-	19006	-	19006
ABCC8	0.068186	11892	0.068186	13815
ABCC9	0.000000	16769	0.103413	13243
ABCD1	0.234782	6468	1.188005	7024
ABCD2	0.040830	12674	0.202212	12598
ABCD3	0.202716	7379	1.367356	5541
ABCD4	0.170811	8321	1.189372	7017
ABCE1	0.345624	4104	1.864689	2159
ABCF1	0.058710	12202	1.908644	1937
ABCF2	0.393527	3366	1.820769	2365
ABCF3	0.067314	11911	1.542091	4132
ABCG1	0.418716	3063	1.551637	4071
ABCG2	0.117356	9982	0.179508	12709
ABCG4	0.129677	9514	0.129677	13000
ABCG5	0.000000	16768	0.000000	17229
ABCG8	0.000000	16767	0.000000	17228
ABHD1	0.005995	13392	0.065167	13897
ABHD10	0.218075	6995	1.383097	5402
ABHD11	0.222164	6850	1.192125	6996
ABHD12	0.283764	5317	1.802650	2443
ABHD12B	0.081838	11118	0.081838	13361
ABHD13	0.152040	8870	1.194220	6968
ABHD14A	0.185784	7845	1.132645	7485
ABHD14B	0.135243	9327	1.892700	2010
ABHD15	0.358189	3901	0.698753	10427
ABHD16A	0.058606	12205	1.349308	5663
ABHD16B	-	19005	-	19005
ABHD17A	0.329516	4385	1.256115	6440
ABHD17B	0.162180	8564	0.909500	9174
ABHD17C	0.302182	4914	1.286721	6176
ABHD18	0.053733	12320	0.866088	9455
ABHD2	0.462816	2572	1.869259	2134
ABHD3	-0.064809	17054	0.885553	9327
ABHD4	0.225708	6758	1.566197	3966
ABHD5	0.139715	9215	1.166513	7216
ABHD6	0.058783	12201	0.709270	10385
ABHD8	0.173768	8229	1.083495	7867
ABI1	0.105130	10351	1.404417	5230
ABI2	0.264445	5754	1.635129	3446
ABI3	0.073233	11350	0.269513	12334
ABI3BP	0.168608	8385	1.033797	8245
ABL1	0.522050	2087	1.523562	4286
ABL2	0.648532	1347	1.316599	5915
ABLIM1	0.878093	677	1.347720	5688
ABLIM2	0.000000	16766	0.251256	12369
ABLIM3	0.415168	3096	1.506044	4420
ABO	0.068186	11891	0.068186	13814
ABR	0.207079	7269	1.268448	6342
ABRA	0.000000	16765	0.000000	17227
ABRACL	0.347317	4072	1.843855	2255
ABT1	0.249684	6092	1.446550	4879
ABTB1	0.135106	9358	1.237826	6597
ABTB2	0.084680	11042	0.763428	10084
ACAA1	0.122042	9840	1.547699	4096
ACAA2	0.440987	2794	1.345820	5698
ACACA	0.393849	3356	1.537176	4182
ACACB	0.063734	12092	0.289606	12197
ACAD10	0.092500	10808	1.082078	7886
ACAD11	0.320417	4556	0.985854	8632
ACAD8	0.056945	12251	1.265697	6367
ACAD9	0.151508	8889	1.551646	4070
ACADL	0.047175	12454	0.068186	13813
ACADM	0.147696	8989	1.521792	4302
ACADS	0.103844	10395	0.991479	8593
ACADSB	0.091507	10834	0.800717	9850
ACADVL	0.154558	8798	1.988648	1606
ACAN	0.000000	16764	0.045574	14004
ACAP1	0.015003	13285	0.127105	13136
ACAP2	0.085447	11023	1.644980	3371
ACAP3	0.158927	8653	0.679025	10528
ACAT1	0.205491	7310	1.751659	2713
ACAT2	0.953527	537	2.386677	620
ACBD3	0.133327	9402	1.987268	1610
ACBD4	0.218596	6979	0.927441	9057
ACBD5	0.212089	7158	0.845098	9570
ACBD6	0.323016	4505	1.393623	5316
ACBD7	0.374405	3679	0.611723	10858
ACCS	0.100095	10508	0.519727	11250
ACCSL	-	19004	-	19004
ACD	0.589861	1635	1.506678	4417
ACE	0.927261	588	1.373779	5486
ACE2	0.030349	13005	0.030349	14168
ACER1	0.000000	16763	0.000000	17226
ACER2	0.057175	12231	0.307496	12159
ACER3	0.036523	12826	1.155117	7289
ACHE	0.000000	16762	0.269513	12333
ACIN1	0.430456	2919	1.890974	2018
ACKR1	0.000000	16761	0.000000	17225
ACKR2	0.068186	11890	0.246903	12387
ACKR3	1.044412	427	2.388510	617
ACKR4	0.000000	16760	0.068186	13812
ACLY	0.891472	646	2.186171	1003
ACMSD	0.000000	16759	0.000000	17224
ACO1	0.799102	854	2.323044	720
ACO2	0.120618	9877	1.882013	2062
ACOD1	0.000000	16758	0.000000	17223
ACOT1	0.501031	2233	0.552668	11130
ACOT11	0.106509	10303	0.197539	12611
ACOT12	0.069940	11551	0.069940	13516
ACOT13	0.343503	4137	1.622337	3531
ACOT2	0.275207	5482	1.314497	5934
ACOT4	0.086629	10973	0.225816	12530
ACOT6	-	19003	-	19003
ACOT7	0.680332	1214	1.776489	2585
ACOT8	0.137102	9279	1.537872	4171
ACOT9	0.139070	9232	1.688136	3108
ACOX1	0.097174	10674	1.477547	4658
ACOX2	0.839733	757	0.870832	9414
ACOX3	0.190088	7719	1.089673	7805
ACOXL	0.000000	16757	0.000000	17222
ACP1	0.230453	6570	2.037785	1444
ACP2	0.228042	6639	1.780905	2560
ACP5	0.326230	4439	0.423140	11650
ACP6	0.447296	2733	1.120783	7580
ACP7	-	19002	-	19002
