gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.246071	9426	1.193780	8031
A1CF	0.026394	14488	0.026394	15042
A2M	0.555270	3772	1.307068	7125
A2ML1	0.000000	17030	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	1849	1.495668	5431
A4GNT	0.000000	17029	0.000000	17238
AAAS	0.591843	3349	1.985813	2113
AACS	0.343568	7328	1.394232	6352
AADAC	0.419425	5630	0.419425	12360
AADACL2	0.000000	17028	0.000000	17237
AADACL3	0.000000	17027	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.077337	13063	0.580566	11853
AAED1	0.456166	5051	1.674521	3985
AAGAB	0.143352	11603	1.692053	3854
AAK1	0.416641	5877	1.063226	9112
AAMDC	0.428475	5499	1.612271	4484
AAMP	0.351681	7152	2.156446	1457
AANAT	0.000000	17026	0.000000	17235
AAR2	0.367915	6840	1.413212	6140
AARD	0.036310	13980	0.050763	14391
AARS	0.163645	11218	1.775722	3275
AARS2	0.305916	8171	1.516733	5261
AARSD1	0.216920	10066	1.610259	4503
AASDH	0.027595	14373	0.959667	9769
AASDHPPT	0.305445	8181	1.545840	5004
AASS	0.334983	7520	1.397050	6335
AATF	0.092841	12764	1.561701	4854
AATK	0.111146	12412	0.128839	13726
ABAT	0.362943	6940	0.764923	11017
ABCA1	0.058694	13417	1.452093	5807
ABCA10	0.026394	14487	0.026394	15041
ABCA12	0.048455	13756	0.048455	14532
ABCA13	0.000000	17025	0.000000	17234
ABCA2	0.228605	9821	1.007499	9527
ABCA3	0.912124	1377	1.640079	4254
ABCA4	1.382427	416	1.382427	6441
ABCA5	0.220403	9995	1.075794	9038
ABCA6	0.628962	2999	1.088136	8975
ABCA7	0.356869	7037	1.192428	8041
ABCA8	0.535165	4007	1.475962	5599
ABCA9	0.887335	1469	1.189209	8154
ABCB1	0.394741	6263	0.721838	11203
ABCB10	0.289332	8511	1.149493	8424
ABCB11	0.000000	17024	0.000000	17233
ABCB4	0.048975	13611	0.144099	13598
ABCB5	0.000000	17023	0.000000	17232
ABCB6	0.718672	2319	0.955688	9917
ABCB7	0.081838	12994	1.320246	6972
ABCB8	0.461026	4989	1.463044	5683
ABCB9	0.347076	7234	0.808166	10683
ABCC1	0.738438	2194	1.619271	4410
ABCC10	0.497186	4485	1.051536	9170
ABCC11	0.000000	17022	0.000000	17231
ABCC12	0.027595	14372	0.027595	14939
ABCC2	0.039068	13958	0.039068	14646
ABCC3	0.647420	2838	1.459748	5709
ABCC4	0.380345	6588	1.271377	7458
ABCC5	0.239765	9580	0.987408	9635
ABCC6	-	19006	-	19006
ABCC8	0.000000	17021	0.000000	17230
ABCC9	0.289329	8513	0.416641	12602
ABCD1	0.379926	6598	1.333150	6894
ABCD2	0.000000	17020	0.000000	17229
ABCD3	0.018359	14606	1.182999	8194
ABCD4	0.411419	5954	1.305854	7134
ABCE1	0.272117	8860	1.791182	3179
ABCF1	0.196848	10492	1.942956	2326
ABCF2	0.470433	4863	1.897675	2537
ABCF3	0.111576	12406	1.586354	4669
ABCG1	0.690622	2500	1.823543	2959
ABCG2	0.292249	8438	0.407198	12634
ABCG4	0.141332	11639	0.156977	13538
ABCG5	0.000000	17019	0.000000	17228
ABCG8	0.000000	17018	0.000000	17227
ABHD1	0.000000	17017	0.057729	14315
ABHD10	0.143120	11611	1.413797	6136
ABHD11	0.671499	2658	1.641460	4243
ABHD12	0.381328	6569	1.900214	2524
ABHD12B	0.048709	13650	0.048709	14426
ABHD13	0.121985	12079	1.149199	8426
ABHD14A	0.467644	4902	1.307068	7124
ABHD14B	0.163434	11222	1.920891	2420
ABHD15	0.473319	4822	0.813883	10663
ABHD16A	0.113900	12359	1.376847	6481
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	9229	1.181983	8203
ABHD17B	0.376779	6651	1.264093	7510
