gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.328585	7133	1.253822	7260
A1CF	0.311754	7545	0.311754	14120
A2M	1.187611	791	2.185712	712
A2ML1	0.068186	14222	0.068186	15771
A3GALT2	-	19008	-	19008
A4GALT	1.046369	1107	1.710794	2667
A4GNT	0.000000	16628	0.000000	17239
AAAS	0.555727	3585	1.316809	6510
AACS	0.278123	8202	1.328787	6382
AADAC	0.252853	9043	0.252853	14440
AADACL2	0.143015	12242	0.143015	15158
AADACL3	0.000000	16627	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.148889	11966	0.718502	12008
AAED1	0.072125	13670	1.290480	6845
AAGAB	0.124965	12804	1.673666	2933
AAK1	0.741553	2271	1.636889	3226
AAMDC	0.271332	8441	1.340642	6241
AAMP	0.446085	4943	1.941561	1374
AANAT	0.000000	16626	0.000000	17237
AAR2	0.139327	12308	1.072985	9218
AARD	0.215996	10014	0.230449	14569
AARS	0.135312	12388	1.635685	3242
AARS2	0.117970	12935	1.328787	6381
AARSD1	0.333574	7045	1.385249	5741
AASDH	0.283328	8103	1.363612	5944
AASDHPPT	-0.020711	16743	1.467016	4829
AASS	0.522151	3920	1.584218	3689
AATF	0.062874	14287	1.531734	4192
AATK	0.635484	2973	0.635484	12506
ABAT	0.635484	2972	1.032619	9580
ABCA1	0.234069	9492	1.627468	3326
ABCA10	0.929930	1481	0.929930	10443
ABCA12	0.465383	4692	0.465383	13388
ABCA13	0.000000	16625	0.000000	17236
ABCA2	0.375834	6190	1.154728	8367
ABCA3	0.472075	4574	1.200029	7837
ABCA4	0.271842	8428	0.271842	14247
ABCA5	0.723668	2357	1.756103	2342
ABCA6	0.632844	2988	1.092018	9047
ABCA7	0.258912	8828	1.094471	9019
ABCA8	0.693782	2549	1.634578	3255
ABCA9	0.926012	1493	1.227887	7501
ABCB1	0.618048	3106	1.200029	7836
ABCB10	0.114770	12991	0.783189	11598
ABCB11	0.000000	16624	0.000000	17235
ABCB4	0.122849	12839	0.271842	14246
ABCB5	1.584218	300	1.584218	3688
ABCB6	0.439333	5061	0.669317	12308
ABCB7	0.152288	11917	1.362105	5988
ABCB8	0.027240	14676	1.199206	7873
ABCB9	0.245436	9223	0.598791	12662
ABCC1	0.439333	5060	1.533391	4165
ABCC10	0.300158	7754	0.935507	10414
ABCC11	0.491362	4323	0.491362	13239
ABCC12	0.000000	16623	0.000000	17234
ABCC2	0.181844	10940	0.181844	14777
ABCC3	0.997299	1243	1.809627	2015
ABCC4	0.358656	6465	1.249687	7279
ABCC5	0.461911	4738	1.450711	4988
ABCC6	-	19006	-	19006
ABCC8	1.282169	639	1.282169	6943
ABCC9	0.566990	3486	0.929930	10442
ABCD1	0.281800	8138	1.235023	7440
ABCD2	0.277950	8208	0.439333	13463
ABCD3	0.533074	3813	1.543199	4046
ABCD4	0.327421	7163	1.362105	5987
ABCE1	-0.107277	17063	1.411788	5443
ABCF1	0.241720	9310	1.989138	1219
ABCF2	-0.039622	16837	1.332842	6341
