gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	1590	1.851746	3485
A1CF	0.089905	15543	0.089905	15640
A2M	1.754533	407	2.723004	496
A2ML1	0.079181	15764	0.079181	15836
A3GALT2	-	19008	-	19008
A4GALT	1.039124	1755	1.703549	4666
A4GNT	0.000000	17236	0.000000	17239
AAAS	0.551794	6009	1.677059	4913
AACS	0.301910	11838	1.348252	8170
AADAC	0.921208	2357	0.921208	11579
AADACL2	0.387390	9545	0.387390	14039
AADACL3	0.000000	17235	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.362861	10258	0.932474	11546
AAED1	0.683593	4263	1.901948	3151
AAGAB	0.163864	14674	1.712566	4587
AAK1	1.325721	940	1.339451	8232
AAMDC	0.619787	5026	1.782902	3982
AAMP	0.235528	13410	2.030316	2409
AANAT	0.000000	17234	0.000000	17237
AAR2	0.414160	8905	1.254548	9058
AARD	0.146128	14987	0.146128	15341
AARS	0.181015	14453	1.793092	3890
AARS2	0.114904	15174	1.325721	8366
AARSD1	1.232802	1139	1.577450	5898
AASDH	0.110608	15202	1.190892	9658
AASDHPPT	0.570556	5705	1.736715	4385
AASS	0.959412	2143	2.021479	2453
AATF	0.388894	9469	1.857755	3450
AATK	0.705763	4033	0.723456	12731
ABAT	0.665581	4445	1.105851	10359
ABCA1	0.768836	3429	2.162236	1781
ABCA10	1.213783	1195	1.213783	9438
ABCA12	0.079181	15763	0.079181	15835
ABCA13	0.659916	4544	0.659916	12977
ABCA2	0.479982	7349	1.258877	9042
ABCA3	0.404626	9127	1.132580	10141
ABCA4	0.204120	14130	0.204120	15059
ABCA5	0.437345	8313	1.383456	7788
ABCA6	1.198932	1231	1.658107	5098
ABCA7	0.233739	13435	1.069298	10631
ABCA8	1.393400	815	2.251249	1463
ABCA9	1.447552	739	1.749427	4257
ABCB1	0.575513	5634	1.173186	9789
ABCB10	0.259095	12806	1.119256	10257
ABCB11	0.086360	15588	0.086360	15675
ABCB4	0.969933	2091	1.118926	10289
ABCB5	0.232996	13611	0.232996	14938
ABCB6	0.449621	8009	0.741939	12624
ABCB7	0.437824	8303	1.687261	4816
ABCB8	0.241174	13121	1.336394	8270
ABCB9	0.314761	11528	0.778151	12454
ABCC1	0.334651	10958	1.591621	5771
ABCC10	0.409095	9016	0.799165	12330
ABCC11	0.000000	17233	0.000000	17236
ABCC12	0.232996	13610	0.232996	14937
ABCC2	0.301030	11880	0.301030	14456
ABCC3	0.341181	10798	1.153509	9969
ABCC4	0.855845	2763	1.558469	6091
ABCC5	0.705980	4028	1.694781	4755
ABCC6	-	19006	-	19006
ABCC8	0.818226	3028	0.818226	12270
ABCC9	1.385481	829	1.748421	4269
ABCD1	0.398380	9259	1.351603	8128
