gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	55	3.183790	204
A1CF	2.101919	284	2.101919	2024
A2M	2.206353	239	3.256655	181
A2ML1	0.000000	17049	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.225673	11474	0.890098	11033
A4GNT	0.060698	14756	0.060698	15440
AAAS	0.591843	4759	1.985813	2543
AACS	0.521760	5739	1.572424	5459
AADAC	1.956168	363	1.956168	2707
AADACL2	0.000000	17048	0.000000	17238
AADACL3	0.000000	17047	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	1.013472	1842	1.226084	8595
AAED1	0.142043	13095	1.360398	7396
AAGAB	0.023754	15111	1.572455	5458
AAK1	0.332551	9271	1.227887	8571
AAMDC	0.357779	8750	1.541575	5736
AAMP	0.351681	8872	2.156446	1817
AANAT	0.000000	17046	0.000000	17236
AAR2	0.431217	7131	1.552452	5611
AARD	0.115583	13548	0.130036	14757
AARS	0.341782	9078	1.953859	2716
AARS2	0.305916	9861	1.516733	5935
AARSD1	0.248554	11018	1.610259	5138
AASDH	0.081376	14171	1.123667	9405
AASDHPPT	0.212778	11697	1.567943	5492
AASS	0.857829	2544	1.850956	3319
AATF	0.037239	15023	1.506099	6048
AATK	0.367356	8571	0.367356	13906
ABAT	1.966422	360	2.695586	558
ABCA1	1.417970	888	2.290881	1368
ABCA10	0.791715	2997	0.791715	11710
ABCA12	0.048455	14906	0.048455	15489
ABCA13	0.951823	2081	0.951823	10727
ABCA2	0.225609	11475	0.862549	11291
ABCA3	0.620680	4427	1.348634	7468
ABCA4	0.190106	12263	0.190106	14568
ABCA5	1.222196	1258	1.787704	3748
ABCA6	1.258738	1175	1.717912	4273
ABCA7	0.730053	3415	1.565612	5537
ABCA8	0.731487	3395	1.672283	4631
ABCA9	0.274158	10510	0.562293	12957
ABCB1	1.320513	1046	1.918186	2904
ABCB10	1.141486	1460	2.001647	2476
ABCB11	1.753506	496	1.753506	3983
ABCB4	2.095754	287	2.244747	1508
ABCB5	0.000000	17045	0.000000	17235
ABCB6	1.217134	1268	1.595827	5279
ABCB7	0.316174	9610	1.565612	5536
ABCB8	0.461026	6630	1.502154	6076
ABCB9	0.344776	9016	0.808166	11515
ABCC1	0.336044	9204	1.593014	5296
ABCC10	0.497186	6083	1.051536	9993
ABCC11	0.000000	17044	0.000000	17234
ABCC12	0.000000	17043	0.000000	17233
ABCC2	1.933487	378	1.933487	2819
ABCC3	1.402242	911	2.214571	1605
ABCC4	0.849526	2591	1.127680	9378
ABCC5	0.367356	8570	1.064458	9914
ABCC6	-	19006	-	19006
ABCC8	0.196348	12099	0.196348	14514
ABCC9	0.854874	2561	1.154820	9161
ABCD1	0.562293	5188	1.296117	7920
ABCD2	0.060698	14755	0.155331	14692
ABCD3	0.815718	2799	1.617525	5092
ABCD4	0.531209	5597	1.319730	7747
ABCE1	0.179471	12436	1.698535	4437
ABCF1	0.123470	13380	1.973405	2608
ABCF2	0.358746	8736	1.785988	3755
ABCF3	0.147333	13011	1.622110	5064
ABCG1	0.213432	11687	1.346353	7521
ABCG2	0.594393	4727	0.697229	12254
ABCG4	0.255314	10900	0.270958	14217
ABCG5	1.401056	914	1.401056	7005
ABCG8	2.011613	338	2.011613	2419
ABHD1	0.371188	8199	0.430360	13358
ABHD10	0.168655	12601	1.439333	6692
ABHD11	0.671499	3904	1.641460	4881
ABHD12	0.562293	5187	1.900214	3001
ABHD12B	0.189791	12270	0.189791	14571
ABHD13	0.258241	10826	1.285455	8052
ABHD14A	0.454022	6742	1.356736	7415
ABHD14B	0.519073	5767	2.276531	1418
ABHD15	0.675634	3876	1.016197	10191
ABHD16A	0.396827	7752	1.687529	4522
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	10897	1.181983	8982
ABHD17B	0.308141	9803	1.227473	8576
ABHD17C	0.267217	10665	1.302420	7874
ABHD18	0.467861	6529	1.319730	7746
ABHD2	1.469279	818	2.392802	1092
ABHD3	0.812916	2824	1.763278	3929
ABHD4	0.438018	7042	1.778507	3821
ABHD5	0.513662	5846	1.710540	4344
ABHD6	0.938931	2145	1.364176	7371
ABHD8	0.557440	5261	1.279439	8086
ABI1	0.000331	15300	1.515874	5970
ABI2	0.285721	10278	1.468608	6368
ABI3	0.909168	2291	1.131871	9351
ABI3BP	0.410576	7516	1.367135	7345
ABL1	0.491496	6179	1.379173	7208
ABL2	0.345843	8994	1.013910	10208
ABLIM1	1.237292	1215	1.237292	8439
ABLIM2	0.183648	12369	0.451707	13288
ABLIM3	1.103116	1555	1.914644	2919
ABO	0.242631	11138	0.368477	13583
ABR	0.511280	5881	1.560947	5569
ABRA	0.018968	15216	0.018968	15579
ABRACL	0.528695	5635	2.013475	2410
ABT1	0.444542	6912	1.641408	4882
ABTB1	0.190106	12262	1.127261	9382
ABTB2	0.611981	4505	1.372801	7256
ACAA1	0.991442	1925	2.473458	921
ACAA2	1.734856	516	3.027635	267
