gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.068230	10773	0.812245	9556
A1CF	0.000000	16584	0.000000	17239
A2M	0.000000	16583	0.166681	12903
A2ML1	0.012475	13637	0.012475	14909
A3GALT2	-	19008	-	19008
A4GALT	-0.102163	17079	0.593286	10872
A4GNT	0.000000	16582	0.000000	17238
AAAS	0.303560	3849	1.697530	2481
AACS	0.324358	3523	1.375022	4814
AADAC	0.000000	16581	0.000000	17237
AADACL2	0.000000	16580	0.000000	17236
AADACL3	0.000000	16579	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.524581	1698	0.989020	8171
AAED1	0.125919	8555	1.233757	6104
AAGAB	0.235073	5133	1.783774	2038
AAK1	0.131519	8275	0.738581	10019
AAMDC	0.024648	12905	1.199901	6374
AAMP	0.227402	5344	1.775614	2086
AANAT	0.049143	11772	0.049143	14065
AAR2	0.122804	8669	1.166846	6660
AARD	0.129330	8350	0.143783	13022
AARS	-0.021594	16778	1.590483	3133
AARS2	0.026175	12818	1.236992	6067
AARSD1	0.140887	7940	1.505388	3740
AASDH	0.041262	12233	1.106445	7183
AASDHPPT	0.112654	9046	1.629254	2875
AASS	0.098433	9617	1.150951	6784
AATF	-0.008247	16677	1.460613	4128
AATK	0.228078	5288	0.245771	12463
ABAT	0.047728	11822	0.453616	11586
ABCA1	0.022474	13026	1.313023	5343
ABCA10	0.068186	11113	0.068186	13923
ABCA12	0.178977	6709	0.178977	12843
ABCA13	0.036436	12378	0.036436	14311
ABCA2	0.621805	1226	1.233276	6108
ABCA3	0.509801	1781	1.237755	6055
ABCA4	0.494629	1875	0.494629	11372
ABCA5	0.068186	11112	0.737193	10038
ABCA6	0.114857	8979	0.574031	10976
ABCA7	0.099588	9563	0.676135	10414
ABCA8	0.000000	16578	0.763428	9892
ABCA9	0.000000	16577	0.053738	14031
ABCB1	0.544890	1582	1.142563	6854
ABCB10	0.167196	7058	0.928738	8668
ABCB11	0.000000	16576	0.000000	17234
ABCB4	0.574181	1435	0.723174	10146
ABCB5	0.254916	4718	0.254916	12432
ABCB6	0.070480	10694	0.404834	11804
ABCB7	0.067162	11134	1.316599	5312
ABCB8	0.153578	7510	1.178113	6577
ABCB9	0.331654	3433	0.800708	9637
ABCC1	0.386741	2747	1.643711	2796
ABCC10	0.200545	6058	0.818314	9502
ABCC11	0.000000	16575	0.000000	17233
ABCC12	0.000000	16574	0.000000	17232
ABCC2	0.000000	16573	0.000000	17231
ABCC3	0.669687	1052	1.482016	3939
ABCC4	0.136426	8087	0.982859	8215
ABCC5	0.477089	1988	1.465890	4089
ABCC6	-	19006	-	19006
ABCC8	0.068186	11111	0.068186	13922
ABCC9	0.000000	16572	0.068186	13921
ABCD1	0.211719	5757	1.164942	6669
ABCD2	0.033495	12459	0.194878	12733
ABCD3	0.202716	5996	1.367356	4879
ABCD4	0.168244	7028	1.212393	6260
ABCE1	0.345624	3227	1.864689	1690
ABCF1	0.066682	11146	1.852860	1730
ABCF2	0.176374	6793	1.603616	3047
ABCF3	-0.050564	16921	1.424214	4412
ABCG1	0.000000	16571	0.543876	11135
ABCG2	0.068186	11110	0.105951	13332
ABCG4	0.061354	11344	0.076999	13512
ABCG5	0.000000	16570	0.000000	17230
ABCG8	0.000000	16569	0.000000	17229
ABHD1	0.000000	16568	0.041284	14264
ABHD10	0.218075	5582	1.383097	4750
ABHD11	0.181184	6615	1.116896	7076
ABHD12	0.249382	4849	1.768268	2123
ABHD12B	0.000000	16567	0.000000	17228
ABHD13	-0.072503	16998	0.954711	8470
ABHD14A	0.353340	3122	1.460403	4129
ABHD14B	0.164793	7129	1.922250	1480
ABHD15	0.162158	7232	0.502721	11340
ABHD16A	0.000000	16566	1.214758	6244
ABHD16B	-	19005	-	19005
ABHD17A	0.081742	10194	0.948902	8529
ABHD17B	0.081732	10196	1.040094	7760
ABHD17C	0.147137	7719	0.812245	9555
ABHD18	0.195516	6212	0.786940	9717
ABHD2	0.398305	2633	1.812849	1902
ABHD3	-0.099087	17072	0.851275	9253
ABHD4	0.249313	4850	1.589802	3142
ABHD5	0.139715	7982	0.904716	8860
ABHD6	0.064161	11245	0.745503	10001
ABHD8	0.135649	8118	1.045375	7709
ABI1	0.027592	12788	1.383097	4749
ABI2	0.486375	1930	1.686325	2541
ABI3	0.107542	9236	0.303822	12226
ABI3BP	0.046422	11851	0.427341	11709
ABL1	0.273569	4339	1.275081	5707
ABL2	1.304428	157	1.972495	1310
ABLIM1	1.352970	131	1.822597	1853
ABLIM2	0.033457	12605	0.142227	13033
ABLIM3	0.274809	4320	1.059563	7594
ABO	0.161433	7254	0.161433	12927
ABR	1.749356	41	1.812095	1905
ABRA	0.000000	16565	0.000000	17227
ABRACL	0.454023	2171	1.950561	1378
ABT1	0.109476	9158	1.306342	5393
ABTB1	0.127105	8512	1.018700	7947
ABTB2	0.002607	13781	0.763428	9891
ACAA1	0.051841	11692	1.431667	4354
ACAA2	0.546703	1574	1.504311	3746
ACACA	0.532575	1648	1.675902	2603
ACACB	0.057011	11496	0.264476	12396
ACAD10	0.264715	4519	1.254293	5900
ACAD11	0.181692	6603	0.834421	9381
ACAD8	0.034842	12430	1.243593	5994
ACAD9	0.106826	9264	1.457743	4146
ACADL	0.100970	9492	0.121981	13223
ACADM	0.147696	7701	1.521792	3631
ACADS	0.023961	13000	0.870211	9096
ACADSB	0.091507	9841	0.800717	9636
ACADVL	0.076698	10384	1.988648	1258
ACAN	0.011265	13655	0.061564	13969
ACAP1	0.015003	13167	0.127105	13197
ACAP2	0.041935	11963	1.437595	4310
ACAP3	0.103933	9375	0.802393	9608
ACAT1	0.038554	12307	1.708421	2423
ACAT2	0.981195	391	2.414345	415
ACBD3	0.019786	13081	1.873727	1648
ACBD4	0.045884	11869	0.721330	10151
ACBD5	0.212089	5745	0.845098	9307
ACBD6	0.197169	6174	1.431939	4352
ACBD7	0.676368	1020	0.913686	8781
ACCS	0.027266	12794	0.363178	11970
ACCSL	-	19004	-	19004
ACD	0.081270	10211	0.992970	8144
ACE	0.041284	12195	0.088524	13426
ACE2	0.000000	16564	0.000000	17226
ACER1	0.000000	16563	0.000000	17225
ACER2	0.011641	13649	0.307496	12214
ACER3	-0.034018	16835	1.084576	7373
ACHE	0.012475	13636	0.315506	12155
ACIN1	0.342423	3281	1.737846	2260
ACKR1	0.000000	16562	0.000000	17224
ACKR2	0.068186	11109	0.127105	13196
ACKR3	1.098175	296	2.442272	380
ACKR4	0.000000	16561	0.068186	13920
ACLY	0.800575	677	2.095274	964
ACMSD	0.000000	16560	0.000000	17223
ACO1	0.336636	3358	1.860578	1701
