gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	2113	1.851746	3810
A1CF	0.089905	15817	0.089905	15847
A2M	1.596265	666	2.579521	767
A2ML1	0.146128	15387	0.146128	15549
A3GALT2	-	19008	-	19008
A4GALT	1.039124	2318	1.703549	5092
A4GNT	0.000000	17239	0.000000	17239
AAAS	0.551794	6916	1.857655	3758
AACS	0.409212	9873	1.459875	7574
AADAC	0.741939	4476	0.741939	13031
AADACL2	0.387390	10411	0.387390	14388
AADACL3	0.000000	17238	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.362861	11045	0.932474	12049
AAED1	0.369624	10902	1.498962	7173
AAGAB	0.222312	14319	1.771013	4484
AAK1	0.895975	3179	1.356408	8654
AAMDC	0.501409	7822	1.685204	5265
AAMP	0.324415	12075	2.081378	2350
AANAT	0.045574	16126	0.045574	16127
AAR2	0.412821	9796	1.523136	6930
AARD	0.189667	14884	0.204120	15252
AARS	0.356888	11199	1.968965	2984
AARS2	0.266172	13350	1.476989	7395
AARSD1	0.861848	3439	1.577450	6370
AASDH	0.119103	15540	1.199387	10084
AASDHPPT	0.570556	6629	1.742424	4726
AASS	0.530638	7272	1.583765	6302
AATF	0.388894	10329	1.857755	3757
AATK	0.624772	5807	0.642465	13477
ABAT	0.665581	5304	0.966142	11825
ABCA1	0.768836	4212	2.162236	1976
ABCA10	1.213783	1546	1.213783	9971
ABCA12	0.045323	16130	0.045323	16131
ABCA13	1.460748	926	1.460748	7568
ABCA2	0.465135	8578	1.244030	9694
ABCA3	0.912124	3093	1.640079	5720
ABCA4	1.382427	1085	1.382427	8417
ABCA5	0.437345	9212	1.378580	8468
ABCA6	1.198932	1607	1.658107	5522
ABCA7	0.591927	6276	1.427486	7941
ABCA8	1.393400	1063	2.251249	1629
ABCA9	1.305366	1285	1.607241	6080
ABCB1	0.631196	5736	1.123198	10732
ABCB10	0.390227	10294	1.149493	10517
ABCB11	0.079181	16025	0.079181	16044
ABCB4	0.737498	4510	0.886491	12321
ABCB5	0.089905	15816	0.089905	15846
ABCB6	0.412317	9801	0.741939	13030
ABCB7	0.284970	12974	1.534407	6820
ABCB8	0.295504	12761	1.450963	7660
ABCB9	0.429417	9378	0.892807	12276
ABCC1	0.607156	6029	1.864126	3703
ABCC10	0.413567	9759	0.879669	12362
ABCC11	0.000000	17237	0.000000	17237
ABCC12	0.140517	15427	0.140517	15562
ABCC2	0.140517	15426	0.140517	15561
ABCC3	1.153292	1805	1.965621	3004
ABCC4	0.855845	3499	1.558469	6593
ABCC5	0.347059	11406	1.335859	8870
ABCC6	-	19006	-	19006
ABCC8	0.332438	11825	0.332438	14620
ABCC9	1.195529	1617	1.558469	6592
ABCD1	0.562447	6737	1.515671	7012
ABCD2	0.892848	3201	1.054230	11234
ABCD3	0.746975	4407	1.323871	8976
ABCD4	0.411419	9818	1.352954	8707
ABCE1	0.435949	9245	1.955014	3083
ABCF1	0.322902	12106	2.172836	1929
ABCF2	0.479526	8260	1.897675	3463
ABCF3	0.158122	15171	1.632899	5789
ABCG1	0.690622	5015	1.823543	4046
ABCG2	0.504710	7739	0.619659	13556
ABCG4	0.141332	15415	0.156977	15396
ABCG5	0.057612	16086	0.057612	16094
ABCG8	0.000000	17236	0.000000	17236
ABHD1	0.389535	10314	0.448706	14169
ABHD10	0.201746	14677	1.413797	8097
ABHD11	0.310618	12370	1.280578	9375
ABHD12	0.480614	8248	1.999500	2800
ABHD12B	0.146128	15386	0.146128	15548
ABHD13	0.310774	12365	1.352954	8706
ABHD14A	0.398530	10105	1.412629	8118
ABHD14B	0.603815	6083	2.361272	1291
ABHD15	0.481604	8214	0.822168	12667
ABHD16A	0.143226	15405	1.433928	7858
ABHD16B	-	19005	-	19005
ABHD17A	0.359640	11134	1.238145	9747
ABHD17B	0.326201	12042	1.264093	9505
ABHD17C	0.441195	9121	1.482588	7355
ABHD18	0.550770	6937	1.207365	10015
ABHD2	0.583569	6395	2.114311	2182
ABHD3	0.358842	11153	1.309204	9095
ABHD4	0.571497	6613	1.911986	3351
ABHD5	0.276263	13150	1.473142	7429
ABHD6	0.334603	11764	0.949878	11927
ABHD8	0.370852	10868	1.280578	9374
ABI1	0.261331	13462	1.652424	5580
ABI2	0.378971	10647	1.830525	3977
ABI3	1.416858	1014	1.613138	6008
ABI3BP	1.870276	358	2.546617	828
ABL1	0.939411	2916	1.678154	5334
ABL2	0.923943	3022	1.592010	6221
ABLIM1	1.915479	318	2.070555	2403
