gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.485194	1468	1.476194	3878
A1CF	0.000000	16277	0.000000	17239
A2M	0.000000	16276	0.158291	12195
A2ML1	0.000000	16275	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.753599	616	1.418024	4300
A4GNT	0.000000	16274	0.000000	17237
AAAS	0.222295	4677	1.616265	2908
AACS	0.152369	6576	1.203033	6038
AADAC	0.000000	16273	0.000000	17236
AADACL2	0.000000	16272	0.000000	17235
AADACL3	0.000000	16271	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.202362	5142	0.764176	9331
AAED1	0.156893	6463	1.295638	5232
AAGAB	0.073098	9411	1.621799	2874
AAK1	0.177596	5838	0.828467	8858
AAMDC	0.232845	4446	1.416641	4323
AAMP	0.140598	6912	1.791829	2013
AANAT	0.000000	16270	0.000000	17233
AAR2	0.185683	5569	1.221111	5877
AARD	0.321430	2872	0.335883	11351
AARS	0.062951	9718	1.600239	3007
AARS2	-0.105307	16947	1.105510	6820
AARSD1	0.171385	6000	1.584218	3100
AASDH	0.024609	11348	1.077368	7032
AASDHPPT	0.162282	6272	1.678882	2563
AASS	0.043471	10627	0.959182	7957
AATF	0.057221	10190	1.526081	3508
AATK	0.000000	16269	0.000000	17232
ABAT	0.008229	11857	0.417067	11006
ABCA1	0.058697	10134	1.119622	6707
ABCA10	0.000000	16268	0.000000	17231
ABCA12	0.000000	16267	0.000000	17230
ABCA13	0.681049	744	0.681049	9777
ABCA2	0.109610	7896	0.813820	8985
ABCA3	0.000000	16266	0.240727	11774
ABCA4	0.061926	9904	0.061926	13045
ABCA5	0.103804	8363	0.706812	9642
ABCA6	0.000000	16265	0.190146	11951
ABCA7	0.286830	3410	1.122389	6691
ABCA8	0.260910	3855	1.201707	6046
ABCA9	0.000000	16264	0.169878	12143
ABCB1	0.000000	16263	0.184691	12088
ABCB10	0.117618	7612	0.942008	8090
ABCB11	0.000000	16262	0.000000	17229
ABCB4	0.016406	11691	0.132647	12313
ABCB5	0.000000	16261	0.000000	17228
ABCB6	0.259064	3901	0.689991	9738
ABCB7	0.125339	7385	1.374777	4619
ABCB8	0.122500	7467	1.294466	5257
ABCB9	0.212238	4901	0.681292	9776
ABCC1	0.586289	1012	1.843259	1804
ABCC10	0.108161	7942	0.743510	9466
ABCC11	0.000000	16260	0.000000	17227
ABCC12	0.034601	10940	0.034601	13371
ABCC2	0.000000	16259	0.000000	17226
ABCC3	0.833387	480	1.645715	2730
ABCC4	0.249476	4094	1.140508	6541
ABCC5	0.075203	9334	0.715699	9609
ABCC6	-	19006	-	19006
ABCC8	0.000000	16258	0.000000	17225
ABCC9	0.032303	11022	0.272571	11585
ABCD1	0.232335	4456	1.185559	6172
ABCD2	0.093890	8687	0.255273	11725
ABCD3	0.256471	3951	1.421110	4281
ABCD4	0.131907	7167	1.079293	6995
ABCE1	0.283709	3457	1.802774	1957
ABCF1	0.087955	8879	1.646110	2729
ABCF2	0.160020	6356	1.587262	3082
ABCF3	0.040881	10685	1.515659	3576
ABCG1	0.000000	16257	0.000000	17224
ABCG2	0.103804	8362	0.103804	12715
ABCG4	0.000762	12005	0.016406	13684
ABCG5	0.000000	16256	0.000000	17223
ABCG8	0.000000	16255	0.000000	17222
ABHD1	0.045099	10574	0.104271	12456
ABHD10	0.184320	5668	1.454997	4038
ABHD11	0.154732	6516	1.077368	7031
ABHD12	0.180569	5768	1.699455	2442
ABHD12B	0.000000	16254	0.000000	17221
ABHD13	0.003682	11946	1.030896	7397
ABHD14A	0.264593	3802	1.381761	4576
ABHD14B	0.281261	3494	2.038718	1138
ABHD15	0.074410	9384	0.414973	11081
ABHD16A	0.029105	11116	1.238954	5714
ABHD16B	-	19005	-	19005
ABHD17A	0.311567	3037	1.150767	6448
ABHD17B	0.068986	9535	0.959976	7954
ABHD17C	0.058556	10137	0.716511	9608
ABHD18	0.170239	6024	0.853698	8707
ABHD2	0.073349	9405	1.753487	2176
ABHD3	-0.300055	17179	0.650308	9994
ABHD4	0.289094	3364	1.629583	2822
ABHD5	0.295142	3279	1.440549	4137
ABHD6	0.103804	8361	0.564666	10422
ABHD8	0.190978	5432	1.100704	6847
ABI1	0.038513	10747	1.390496	4502
ABI2	0.285540	3430	1.569159	3186
ABI3	0.000000	16253	0.184691	12087
ABI3BP	0.438271	1750	1.114611	6746
ABL1	0.430047	1815	1.431558	4201
ABL2	0.223882	4640	0.891949	8451
ABLIM1	0.062507	9733	0.237050	11788
ABLIM2	0.000000	16252	0.068360	12903
ABLIM3	0.071117	9470	1.227485	5824
ABO	0.000000	16251	0.000000	17220
ABR	0.180154	5779	1.241524	5701
ABRA	0.000000	16250	0.000000	17219
ABRACL	0.245241	4206	1.707059	2405
ABT1	0.114888	7695	1.311754	5140
ABTB1	0.075103	9367	1.192185	6106
ABTB2	-0.178302	17083	0.345819	11322
ACAA1	0.144677	6789	1.498077	3696
ACAA2	0.435837	1770	1.728616	2299
ACACA	0.216508	4814	1.359835	4757
ACACB	0.058697	10133	0.298059	11532
ACAD10	0.219604	4736	1.209182	5983
ACAD11	0.222798	4665	0.885939	8485
ACAD8	0.016255	11695	1.225006	5831
ACAD9	0.103804	8360	1.442637	4129
ACADL	0.000000	16249	0.000000	17218
ACADM	0.104615	8046	1.478711	3865
ACADS	0.171463	5996	1.059098	7159
ACADSB	0.096264	8602	1.105510	6819
ACADVL	0.198113	5235	1.868228	1702
ACAN	0.357350	2442	0.433532	10961
ACAP1	0.000000	16248	0.103804	12714
ACAP2	0.002449	11974	1.540856	3384
ACAP3	0.154032	6534	0.813820	8984
ACAT1	0.254018	4017	1.894593	1602
ACAT2	0.878138	400	2.311288	580
ACBD3	0.029615	11102	1.883556	1646
ACBD4	0.283750	3455	0.807018	9010
ACBD5	0.108242	7939	0.721811	9588
ACBD6	0.334391	2700	1.439296	4143
ACBD7	0.484492	1475	0.721811	9587
ACCS	0.221322	4705	0.595496	10273
ACCSL	-	19004	-	19004
ACD	0.240035	4286	1.156852	6421
ACE	0.058697	10132	0.290489	11543
ACE2	0.000000	16247	0.000000	17217
ACER1	0.000000	16246	0.000000	17216
ACER2	-0.029643	16560	0.016406	13683
ACER3	-0.264896	17160	0.853698	8706
ACHE	0.000000	16245	0.184691	12086
ACIN1	0.535908	1197	1.709767	2390
ACKR1	0.000000	16244	0.000000	17215
ACKR2	0.078605	9222	0.311255	11503
ACKR3	0.285465	3432	1.629562	2823
ACKR4	0.000000	16243	0.000000	17214
ACLY	0.720493	673	2.015192	1222
ACMSD	0.000000	16242	0.000000	17213
ACO1	0.434324	1784	1.958265	1379
ACO2	0.021295	11415	1.782690	2047
ACOD1	0.000000	16241	0.000000	17212
ACOT1	0.000000	16240	0.000000	17211
ACOT11	0.087385	8896	0.178414	12125
ACOT12	0.058697	10131	0.058697	13201
ACOT13	0.496950	1405	1.693199	2479
ACOT2	0.173062	5953	1.212352	5941
ACOT4	-0.104587	16942	0.034601	13370
ACOT6	-	19003	-	19003
ACOT7	0.846792	446	1.490099	3784
ACOT8	0.053526	10287	1.454296	4043
ACOT9	0.067459	9579	1.616525	2897
ACOX1	0.130362	7210	1.438773	4148
ACOX2	0.465831	1584	0.843141	8752
ACOX3	0.096252	8603	0.980003	7824
ACOXL	0.000000	16239	0.000000	17210
ACP1	0.134178	7096	1.885644	1636
ACP2	0.132682	7139	1.685545	2521
ACP5	0.000000	16238	0.024609	13526
ACP6	0.441124	1727	1.114611	6745
ACP7	-	19002	-	19002
ACPP	0.000000	16237	0.061926	13044
ACPT	-	19001	-	19001
