gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.373964	10095	1.364964	8436
A1CF	0.167317	14610	0.167317	15329
A2M	2.021830	284	3.072132	210
A2ML1	1.475671	879	1.475671	7259
A3GALT2	-	19008	-	19008
A4GALT	0.809429	3704	1.504878	6909
A4GNT	0.000000	17235	0.000000	17239
AAAS	0.591843	6009	1.985813	2634
AACS	0.429316	8862	1.479980	7208
AADAC	1.269746	1364	1.269746	9424
AADACL2	0.045323	15985	0.045323	16024
AADACL3	0.000000	17234	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.428647	8879	0.998259	11655
AAED1	0.244523	13210	1.462879	7390
AAGAB	0.101412	15543	1.650113	5444
AAK1	0.581785	6172	1.477121	7236
AAMDC	0.299078	11889	1.482874	7183
AAMP	0.351681	10645	2.156446	1772
AANAT	0.000000	17233	0.000000	17237
AAR2	0.361808	10407	1.413212	7908
AARD	0.466990	8092	0.481443	14250
AARS	0.263542	12726	1.875619	3424
AARS2	0.305916	11686	1.516733	6787
AARSD1	0.475807	7936	1.610259	5807
AASDH	0.400298	9527	1.480582	7205
AASDHPPT	0.231742	13453	1.748343	4485
AASS	0.698280	4727	1.760347	4389
AATF	0.115923	15395	1.584783	6082
AATK	0.725912	4462	0.725912	13259
ABAT	0.823474	3584	0.823474	12771
ABCA1	0.404006	9452	1.797406	4077
ABCA10	1.254790	1410	1.254790	9567
ABCA12	0.809560	3701	0.809560	12824
ABCA13	2.091913	239	2.091913	2078
ABCA2	0.355920	10545	1.134814	10620
ABCA3	2.558637	101	2.558637	707
ABCA4	0.217484	13773	0.217484	15209
ABCA5	0.535766	6885	1.568202	6265
ABCA6	1.366057	1125	1.825231	3823
ABCA7	0.356869	10522	1.192428	10131
ABCA8	1.155640	1744	1.993304	2596
ABCA9	0.961998	2689	1.263873	9473
ABCB1	0.802089	3764	1.117271	10736
ABCB10	0.358899	10475	1.219060	9891
ABCB11	0.029384	16118	0.029384	16141
ABCB4	0.218363	13746	0.367356	14632
ABCB5	0.110590	15460	0.110590	15717
ABCB6	0.573815	6295	0.952507	11930
ABCB7	0.170188	14545	1.419625	7850
ABCB8	0.461026	8201	1.463044	7389
ABCB9	0.368653	10213	0.808166	12828
ABCC1	0.500994	7465	1.757964	4413
ABCC10	0.497186	7520	1.051536	11279
ABCC11	0.000000	17232	0.000000	17236
ABCC12	0.000000	17231	0.000000	17235
ABCC2	0.507856	7347	0.507856	14157
ABCC3	0.707893	4628	1.520221	6752
ABCC4	0.951794	2745	1.412461	7928
ABCC5	0.473298	7977	1.462098	7405
ABCC6	-	19006	-	19006
ABCC8	0.522444	7118	0.522444	14135
ABCC9	1.016366	2361	1.379306	8286
ABCD1	0.235705	13375	1.188928	10176
ABCD2	0.364957	10341	0.526339	14092
ABCD3	0.439247	8637	1.291147	9201
ABCD4	0.405159	9431	1.348110	8615
ABCE1	0.089354	15630	1.608419	5830
ABCF1	0.209477	13935	2.059412	2240
ABCF2	0.413557	9246	1.840799	3697
ABCF3	0.111576	15440	1.586354	6073
ABCG1	0.619204	5647	1.752125	4451
ABCG2	0.602987	5839	0.710963	13338
ABCG4	0.123852	15304	0.123852	15648
ABCG5	0.000000	17230	0.000000	17234
ABCG8	0.000000	17229	0.000000	17233
ABHD1	0.163545	14665	0.222716	15193
ABHD10	0.169470	14558	1.439491	7666
ABHD11	0.671499	5018	1.641460	5509
ABHD12	0.381328	9946	1.900214	3226
ABHD12B	0.562293	6475	0.562293	13986
ABHD13	0.289045	12112	1.331225	8790
ABHD14A	0.229446	13492	1.254548	9576
ABHD14B	0.300876	11852	2.058333	2247
ABHD15	0.473319	7974	0.813883	12797
ABHD16A	0.273016	12503	1.563718	6313
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	12990	1.181983	10222
ABHD17B	0.353469	10608	1.287578	9224
ABHD17C	0.781102	3913	1.822495	3850
ABHD18	0.412948	9262	1.264818	9470
ABHD2	0.690287	4821	2.100715	2027
ABHD3	0.448098	8458	1.398461	8088
ABHD4	0.384878	9875	1.725367	4733
ABHD5	0.366839	10303	1.563718	6312
ABHD6	0.866817	3281	1.114277	10777
ABHD8	0.311736	11561	1.189746	10167
ABI1	0.547415	6688	2.062958	2222
ABI2	0.416444	9177	1.867998	3478
ABI3	0.793705	3822	1.298853	9112
ABI3BP	1.391687	1056	2.348246	1128
ABL1	0.491496	7612	1.282635	9289
ABL2	0.338488	10965	1.034227	11391
ABLIM1	1.364641	1130	1.999479	2559
ABLIM2	0.864511	3294	0.883661	12406
ABLIM3	0.764691	4095	1.767013	4323
ABO	1.220898	1514	1.346744	8625
ABR	0.694657	4765	1.560947	6335
ABRA	1.314499	1244	1.314499	8969
ABRACL	0.516936	7204	2.013475	2463
ABT1	0.444542	8538	1.641408	5510
ABTB1	0.274243	12470	1.462098	7404
ABTB2	0.455279	8322	1.214345	9923
ACAA1	0.362193	10399	1.798933	4060
ACAA2	0.757336	4164	1.403939	8019
ACACA	0.378721	10004	1.522048	6730
ACACB	1.150142	1769	1.150142	10482
ACAD10	0.262633	12743	1.252211	9586
ACAD11	0.522031	7128	0.915400	12191
ACAD8	0.167460	14588	1.376212	8312
ACAD9	0.156462	14737	1.556600	6368
ACADL	1.458638	915	1.458638	7445
ACADM	0.227095	13524	1.601191	5907
ACADS	0.350411	10670	1.238046	9730
ACADSB	0.260967	12847	1.270213	9410
ACADVL	0.328347	11206	2.134783	1876
ACAN	2.244762	170	2.295061	1284
ACAP1	0.799056	3787	0.911158	12208
ACAP2	0.584520	6128	1.820070	3876
ACAP3	0.193282	14204	0.885780	12368
ACAT1	0.307776	11652	1.979912	2679
ACAT2	0.665317	5089	2.098467	2038
ACBD3	0.298867	11893	2.152808	1786
ACBD4	0.313634	11530	0.947924	11972
ACBD5	0.319501	11383	0.844477	12642
ACBD6	0.418669	9140	1.426400	7773
ACBD7	0.542999	6755	0.780317	12966
ACCS	1.117466	1907	1.368659	8403
ACCSL	-	19004	-	19004
ACD	0.827108	3551	1.743925	4529
ACE	1.493750	830	1.940267	2953
ACE2	0.424882	9011	0.424882	14466
ACER1	0.029384	16117	0.029384	16140
ACER2	0.278959	12378	0.595496	13832
ACER3	0.358527	10481	1.477121	7235
ACHE	0.783413	3899	1.175222	10290
ACIN1	0.442375	8571	2.271772	1350
ACKR1	2.070998	246	2.070998	2175
ACKR2	0.905831	3054	0.905831	12236
ACKR3	0.823928	3572	2.168026	1716
ACKR4	1.014951	2370	1.119586	10714
ACLY	0.907986	3038	2.202685	1571
ACMSD	0.056905	15900	0.056905	15958
ACO1	0.247371	13148	1.771312	4289
ACO2	0.222716	13682	1.933639	2991
ACOD1	0.086360	15666	0.086360	15795
