gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	4718	1.259491	5205
A1CF	0.000000	15504	0.000000	17239
A2M	0.442541	2471	1.267134	5142
A2ML1	0.000000	15503	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1230	1.325067	4744
A4GNT	0.000000	15502	0.000000	17237
AAAS	0.534829	1720	1.928799	1528
AACS	0.500850	1973	1.551514	3267
AADAC	0.000000	15501	0.000000	17236
AADACL2	0.000000	15500	0.000000	17235
AADACL3	0.000000	15499	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.051902	9654	0.569851	10257
AAED1	0.203379	5809	1.421734	4115
AAGAB	-0.336672	17014	1.212030	5573
AAK1	0.203694	5803	0.954964	7629
AAMDC	0.350926	3516	1.534721	3359
AAMP	0.305879	4150	2.023220	1239
AANAT	0.000000	15498	0.000000	17233
AAR2	0.455966	2341	1.431177	4046
AARD	0.037449	9991	0.051902	13606
AARS	0.089731	8240	1.701808	2467
AARS2	0.229072	5356	1.439889	3980
AARSD1	0.093310	8147	1.483335	3681
AASDH	0.000000	15497	0.774436	8896
AASDHPPT	-0.003664	15550	1.141666	6098
AASS	-0.050518	16076	0.721526	9275
AATF	0.026591	10255	1.495451	3602
AATK	0.000000	15496	0.000000	17232
ABAT	0.170483	6437	0.860699	8293
ABCA1	0.000000	15495	1.093256	6488
ABCA10	0.021590	10639	0.021590	13838
ABCA12	0.000000	15494	0.000000	17231
ABCA13	0.000000	15493	0.000000	17230
ABCA2	0.106801	7759	0.885696	8104
ABCA3	0.819256	701	1.547210	3289
ABCA4	0.273839	4636	0.273839	11903
ABCA5	0.051902	9653	0.481583	10758
ABCA6	0.000000	15492	0.168587	12495
ABCA7	0.246870	5077	1.082429	6574
ABCA8	0.000000	15491	0.021590	13837
ABCA9	0.000000	15490	0.000000	17229
ABCB1	0.327000	3852	0.924673	7835
ABCB10	0.063635	9087	0.791309	8787
ABCB11	0.000000	15489	0.000000	17228
ABCB4	0.179684	6269	0.328676	11611
ABCB5	0.000000	15488	0.000000	17227
ABCB6	0.179580	6273	0.558273	10326
ABCB7	0.000000	15487	0.771223	8920
ABCB8	0.366739	3302	1.538706	3338
ABCB9	0.338489	3676	0.801880	8724
ABCC1	0.353474	3484	1.403356	4252
ABCC10	0.399310	2943	1.066852	6704
ABCC11	0.000000	15486	0.000000	17226
ABCC12	0.000000	15485	0.000000	17225
ABCC2	0.000000	15484	0.000000	17224
ABCC3	0.918155	516	1.730483	2322
ABCC4	0.325073	3877	1.095509	6478
ABCC5	0.064205	9079	0.842426	8436
ABCC6	-	19006	-	19006
ABCC8	0.000000	15483	0.000000	17223
ABCC9	0.000000	15482	0.017046	13933
ABCD1	0.279373	4543	1.232597	5401
ABCD2	0.000000	15481	0.000000	17222
ABCD3	-0.151913	16607	0.870257	8212
ABCD4	0.267405	4735	1.325067	4743
ABCE1	-0.257071	16878	1.261994	5184
ABCF1	0.085070	8553	1.869505	1736
ABCF2	0.313733	4023	1.740975	2280
ABCF3	0.019682	10674	1.494459	3607
ABCG1	0.000000	15480	0.829114	8515
ABCG2	0.172626	6404	0.237052	12119
ABCG4	0.350769	3518	0.366414	11396
ABCG5	0.000000	15479	0.000000	17221
ABCG8	0.000000	15478	0.000000	17220
ABHD1	0.220183	5512	0.279354	11881
ABHD10	-0.019806	15764	0.989440	7352
ABHD11	0.545355	1669	1.515315	3486
ABHD12	0.400402	2928	1.919288	1562
ABHD12B	0.150515	6850	0.150515	12622
ABHD13	-0.195709	16733	0.846471	8403
ABHD14A	0.299672	4238	1.416840	4151
ABHD14B	0.327104	3845	2.084561	1067
ABHD15	0.438924	2505	0.779488	8854
ABHD16A	0.144056	6967	1.434758	4014
ABHD16B	-	19005	-	19005
ABHD17A	0.247322	5057	1.173922	5860
ABHD17B	0.065415	9050	1.066058	6708
ABHD17C	0.062967	9098	1.104359	6411
ABHD18	0.085159	8547	0.750325	9088
ABHD2	0.004782	11121	1.444802	3939
ABHD3	0.020913	10654	0.971276	7503
ABHD4	0.433210	2557	1.773699	2126
ABHD5	0.000000	15477	0.952871	7651
ABHD6	0.408679	2832	0.773216	8905
ABHD8	0.492937	2039	1.317182	4803
ABI1	-0.050076	16071	1.256229	5226
ABI2	0.180306	6259	1.520216	3450
ABI3	1.068476	326	1.314047	4826
ABI3BP	0.021590	10638	0.409815	11160
ABL1	0.177441	6307	1.146910	6055
ABL2	0.530302	1760	1.198369	5680
ABLIM1	0.278606	4567	0.698829	9446
ABLIM2	0.088046	8497	0.293597	11802
ABLIM3	0.263342	4796	1.583722	3046
ABO	0.275647	4611	0.401493	11199
ABR	0.654657	1124	1.515800	3479
ABRA	0.000000	15476	0.000000	17219
ABRACL	0.650065	1140	1.974010	1386
ABT1	0.332998	3758	1.529864	3387
ABTB1	0.008874	11034	1.196730	5690
ABTB2	0.166256	6528	0.927077	7815
ACAA1	0.203007	5814	1.685023	2553
ACAA2	0.328624	3818	1.218974	5515
ACACA	0.108423	7736	1.251750	5254
ACACB	0.101208	7953	0.139947	12760
ACAD10	0.255945	4912	1.245522	5289
ACAD11	0.017046	10860	0.385371	11302
ACAD8	0.044845	9775	1.253597	5237
ACAD9	0.175379	6346	1.575517	3106
ACADL	0.000000	15475	0.000000	17218
ACADM	-0.013798	15672	0.946240	7686
ACADS	0.287515	4427	1.175150	5845
ACADSB	0.000000	15474	0.386932	11277
ACADVL	0.212421	5655	2.085943	1059
ACAN	0.076483	8789	0.152665	12550
ACAP1	0.038413	9970	0.150515	12621
ACAP2	0.001359	11186	1.331436	4704
ACAP3	0.249706	5016	0.948165	7682
ACAT1	0.000000	15473	1.385476	4367
ACAT2	0.192161	6026	1.625311	2840
ACBD3	-0.413515	17098	1.440427	3975
ACBD4	0.272504	4660	0.981349	7417
ACBD5	-0.040439	15986	0.577250	10211
ACBD6	0.313064	4036	1.349723	4603
ACBD7	0.314594	4010	0.551912	10380
ACCS	0.284361	4470	0.703993	9407
ACCSL	-	19004	-	19004
ACD	0.443116	2464	1.359933	4532
ACE	1.212897	246	1.659414	2675
ACE2	0.000000	15472	0.000000	17217
ACER1	0.000000	15471	0.000000	17216
ACER2	0.481216	2129	0.797753	8742
ACER3	-0.222119	16799	0.896475	8038
ACHE	0.031063	10169	0.422871	11083
ACIN1	0.254233	4935	1.839849	1854
ACKR1	0.021590	10637	0.021590	13836
ACKR2	0.174255	6365	0.291185	11818
ACKR3	0.096171	8053	1.440269	3976
ACKR4	0.000000	15470	0.017046	13932
ACLY	1.036146	366	2.330845	599
ACMSD	0.051902	9652	0.051902	13605
ACO1	0.087777	8502	1.611718	2908
ACO2	0.198212	5923	1.959608	1440
ACOD1	0.000000	15469	0.000000	17215
ACOT1	0.307232	4131	0.358869	11470
ACOT11	0.118720	7542	0.364699	11402
ACOT12	0.021590	10636	0.021590	13835
ACOT13	0.048792	9705	1.240933	5325
ACOT2	0.156403	6716	1.195693	5702
ACOT4	0.170359	6445	0.309547	11704
ACOT6	-	19003	-	19003
ACOT7	0.769043	807	1.908830	1585
ACOT8	0.256218	4904	1.656987	2686
ACOT9	0.099125	8008	1.648191	2738
ACOX1	-0.036865	15950	1.320347	4785
ACOX2	0.108849	7727	0.139947	12759
ACOX3	0.133086	7240	1.110632	6351
ACOXL	0.000000	15468	0.000000	17214
ACP1	-0.032124	15899	1.689685	2526
ACP2	0.245808	5084	1.798671	2023
ACP5	0.626135	1245	0.723045	9262
ACP6	0.307691	4125	0.981179	7420
ACP7	-	19002	-	19002
ACPP	0.088046	8496	0.093760	13035
ACPT	-	19001	-	19001
ACR	0.000000	15467	0.000000	17213
ACRBP	0.264968	4769	0.511550	10592
ACRC	0.000000	15466	0.000000	17212
ACRV1	0.000000	15465	0.000000	17211
ACSBG1	0.088046	8495	0.088046	13269
ACSBG2	0.000000	15464	0.000000	17210
ACSF2	0.373066	3228	1.155678	5990
ACSF3	0.194056	5991	1.043656	6885
ACSL1	0.139947	7103	0.995169	7300
ACSL3	0.071879	8898	1.775320	2114
ACSL4	0.051902	9651	1.276082	5091
ACSL5	0.342090	3638	1.219999	5508
ACSL6	0.000000	15463	0.000000	17209
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15462	0.000000	17208
ACSM2B	0.000000	15461	0.000000	17207
ACSM3	0.109349	7718	0.181806	12457
ACSM4	-	18999	-	18999
ACSM5	0.150515	6849	0.150515	12620
ACSM6	0.000000	15460	0.000000	17206
ACSS1	0.359309	3398	0.999179	7265
ACSS2	0.394038	3003	1.234457	5383
ACSS3	0.000000	15459	0.277704	11886
ACTA1	0.082603	8650	0.082603	13309
ACTA2	0.720228	936	1.768087	2158
ACTB	0.731450	906	4.150286	2
ACTBL2	0.507562	1920	0.507562	10613
ACTC1	0.082603	8649	0.088046	13268
ACTG1	0.684448	1045	4.163873	1
ACTG2	0.000000	15458	0.368123	11379
ACTL10	0.176539	6331	0.293597	11801
ACTL6A	0.067288	9000	1.420844	4124
ACTL6B	0.000000	15457	0.000000	17205
ACTL7A	0.000000	15456	0.000000	17204
ACTL7B	0.000000	15455	0.000000	17203
ACTL8	0.000000	15454	0.000000	17202
ACTL9	0.000000	15453	0.000000	17201
ACTN1	0.635876	1199	2.791546	178
ACTN2	0.000000	15452	0.139947	12758
ACTN3	0.000000	15451	0.000000	17200
ACTN4	0.618947	1274	2.349318	563
