gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	11226	1.171086	9729
A1CF	0.000000	17063	0.000000	17239
A2M	0.965574	2518	1.993172	2028
A2ML1	1.267641	1378	1.267641	8754
A3GALT2	-	19008	-	19008
A4GALT	0.239554	12492	0.935003	11629
A4GNT	0.000000	17062	0.000000	17238
AAAS	0.467822	7813	1.291369	8502
AACS	0.392373	9237	1.208441	9355
AADAC	0.426511	8566	0.426511	13943
AADACL2	0.000000	17061	0.000000	17237
AADACL3	0.000000	17060	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.467415	7818	1.037028	10881
AAED1	0.036838	15423	1.104146	10325
AAGAB	0.142999	14227	1.691700	4324
AAK1	0.906829	2832	1.431042	6978
AAMDC	0.557695	6252	1.442837	6841
AAMP	0.555515	6292	1.921166	2482
AANAT	0.240549	12482	0.240549	14752
AAR2	0.331363	10603	1.212986	9306
AARD	0.489338	7391	0.503791	13762
AARS	0.459294	7940	2.060414	1668
AARS2	0.265580	11765	1.476397	6502
AARSD1	0.730782	4197	1.671913	4526
AASDH	0.493631	7333	1.573915	5456
AASDHPPT	0.945577	2622	2.089481	1546
AASS	0.759577	3905	1.821645	3188
AATF	0.055189	15217	1.524049	5984
AATK	2.287802	125	2.287802	885
ABAT	1.751818	501	1.957176	2255
ABCA1	0.442608	8245	1.836007	3076
ABCA10	0.841359	3249	0.841359	12206
ABCA12	0.000000	17059	0.000000	17235
ABCA13	0.238046	12748	0.238046	14938
ABCA2	1.928502	331	2.386877	654
ABCA3	1.089876	1964	1.817830	3218
ABCA4	0.240549	12481	0.240549	14751
ABCA5	0.736208	4127	1.615003	5024
ABCA6	0.860351	3127	1.319526	8185
ABCA7	0.697342	4506	1.252939	8886
ABCA8	1.231979	1488	2.044882	1746
ABCA9	0.833316	3332	1.109916	10260
ABCB1	1.275706	1345	1.873379	2793
ABCB10	0.230602	12844	0.736397	12765
ABCB11	0.043445	15388	0.043445	15771
ABCB4	0.245459	12136	0.394452	14132
ABCB5	0.240549	12480	0.240549	14750
ABCB6	0.379306	9583	0.810233	12368
ABCB7	0.332853	10566	1.582291	5371
ABCB8	0.313508	10920	1.485474	6396
ABCB9	0.790807	3639	1.036629	10889
ABCC1	0.521312	6790	1.177825	9666
ABCC10	0.359807	9977	1.027350	10959
ABCC11	0.018968	15714	0.018968	15989
ABCC12	0.536558	6561	0.536558	13528
ABCC2	0.000000	17058	0.000000	17234
ABCC3	0.040445	15406	0.238046	14937
ABCC4	0.343603	10280	1.083861	10507
ABCC5	0.853809	3166	1.842609	3020
ABCC6	-	19006	-	19006
ABCC8	1.094471	1940	1.094471	10408
ABCC9	0.751784	3978	0.879096	12012
ABCD1	0.000000	17057	0.836324	12253
ABCD2	1.437189	986	1.598572	5203
ABCD3	0.394678	9116	1.349037	7848
ABCD4	0.316361	10867	1.454387	6734
ABCE1	0.409996	8852	1.929061	2419
ABCF1	0.625084	5310	2.146089	1329
ABCF2	0.161776	14029	1.565376	5547
ABCF3	0.237335	12759	1.712112	4144
ABCG1	0.695163	4525	1.828084	3133
ABCG2	1.077368	2014	1.143327	9958
ABCG4	0.782315	3720	0.797960	12405
ABCG5	0.000000	17056	0.000000	17233
ABCG8	0.000000	17055	0.000000	17232
ABHD1	0.394320	9211	0.453491	13850
ABHD10	0.454744	8032	1.725422	4000
ABHD11	0.208427	13202	1.015779	11073
ABHD12	0.359463	9981	1.878349	2753
ABHD12B	1.176381	1660	1.176381	9678
ABHD13	0.247204	12106	1.289384	8512
ABHD14A	0.570985	6043	1.688153	4342
ABHD14B	-0.363882	17231	1.393575	7392
ABHD15	0.018968	15713	0.292256	14424
ABHD16A	0.272267	11659	1.529430	5929
ABHD16B	-	19005	-	19005
ABHD17A	0.469425	7785	1.396025	7361
ABHD17B	0.643303	5081	1.643946	4787
ABHD17C	0.775131	3775	1.153069	9887
ABHD18	0.695430	4520	1.001389	11139
ABHD2	0.539912	6518	2.010512	1923
ABHD3	0.259956	11870	1.210319	9332
ABHD4	0.339953	10359	1.621903	4982
ABHD5	0.582357	5907	1.779236	3500
ABHD6	0.798527	3570	1.426349	7019
ABHD8	0.629224	5254	1.538951	5818
ABI1	0.472600	7725	1.881784	2730
ABI2	0.889574	2953	2.262759	969
ABI3	0.693359	4534	1.198507	9433
ABI3BP	0.509510	7022	1.176091	9684
ABL1	0.267666	11732	1.241875	8985
ABL2	0.728413	4220	1.228216	9142
