gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	3953	1.642860	4770
A1CF	0.000000	17224	0.000000	17239
A2M	1.163694	1131	2.213996	1197
A2ML1	0.673942	3706	0.673942	12775
A3GALT2	-	19008	-	19008
A4GALT	0.641141	4085	1.305566	8394
A4GNT	0.000000	17223	0.000000	17238
AAAS	0.285094	11416	1.679064	4388
AACS	0.301910	10987	1.122216	10063
AADAC	0.741939	3098	0.741939	12519
AADACL2	0.117271	14728	0.117271	15083
AADACL3	0.025306	16135	0.025306	16178
AADACL4	-	19007	-	19007
AADAT	0.459771	6969	1.029384	10795
AAED1	0.369624	9086	1.437909	6962
AAGAB	0.163864	13987	1.712566	4050
AAK1	0.984219	1715	1.879555	2767
AAMDC	0.480847	6512	1.664642	4535
AAMP	0.225551	12800	2.030316	1883
AANAT	0.000000	17222	0.000000	17237
AAR2	0.106326	14799	1.217484	9243
AARD	0.192373	13524	0.206826	14660
AARS	0.181015	13716	1.793092	3381
AARS2	0.259005	12029	1.469822	6593
AARSD1	0.335380	9957	1.503109	6244
AASDH	0.251750	12243	1.332034	8074
AASDHPPT	0.570556	4963	1.736715	3833
AASS	0.193436	13488	1.254790	8886
AATF	0.311385	10717	1.780245	3471
AATK	0.818631	2556	0.836324	11988
ABAT	1.118265	1247	1.296226	8481
ABCA1	0.528287	5610	1.921686	2498
ABCA10	0.666518	3796	0.666518	12824
ABCA12	0.117271	14727	0.117271	15082
ABCA13	0.879669	2206	0.879669	11769
ABCA2	0.912187	2028	1.691081	4287
ABCA3	1.183555	1075	1.717421	3998
ABCA4	0.344392	9717	0.344392	14071
ABCA5	0.311618	10712	1.303628	8424
ABCA6	0.572638	4934	1.031812	10767
ABCA7	1.019233	1580	1.854792	2935
ABCA8	0.664832	3819	1.605628	5168
ABCA9	0.893748	2133	1.195623	9461
ABCB1	0.216575	13013	0.814248	12125
ABCB10	0.227265	12769	1.087426	10366
ABCB11	0.000000	17221	0.000000	17236
ABCB4	0.179387	13745	0.328380	14217
ABCB5	0.000000	17220	0.000000	17235
ABCB6	0.405449	8161	0.767156	12343
ABCB7	0.257879	12055	1.507316	6199
ABCB8	0.241174	12497	1.329194	8145
ABCB9	0.382171	8739	0.741939	12518
ABCC1	0.463893	6887	1.684486	4340
ABCC10	0.409095	8080	0.958086	11255
ABCC11	0.025306	16134	0.025306	16177
ABCC12	0.000000	17219	0.000000	17234
ABCC2	0.000000	17218	0.000000	17233
ABCC3	0.251005	12259	1.063333	10500
ABCC4	0.203370	13296	1.029384	10794
ABCC5	0.462218	6923	1.451018	6796
ABCC6	-	19006	-	19006
ABCC8	0.767156	2898	0.767156	12342
ABCC9	1.178015	1091	1.540955	5822
ABCD1	0.398380	8323	1.351603	7888
ABCD2	0.400911	8277	0.562293	13211
ABCD3	0.777075	2840	1.620760	5000
ABCD4	0.513809	5839	1.492900	6348
ABCE1	0.435949	7466	1.955014	2281
ABCF1	0.099163	14872	1.879612	2766
ABCF2	0.268152	11837	1.695394	4233
ABCF3	0.068048	15429	1.542825	5803
ABCG1	0.502060	6103	1.634981	4850
ABCG2	0.444045	7295	0.541579	13296
ABCG4	0.234776	12626	0.250420	14477
ABCG5	0.000000	17217	0.000000	17232
ABCG8	0.025306	16133	0.025306	16176
ABHD1	0.285221	11414	0.344392	14070
ABHD10	0.314985	10614	1.538448	5850
ABHD11	0.478436	6579	1.448397	6845
ABHD12	0.382027	8742	1.900913	2621
ABHD12B	0.075547	15408	0.075547	15566
ABHD13	0.365659	9178	1.392873	7464
ABHD14A	0.597289	4623	1.651859	4665
ABHD14B	0.316371	10586	2.073828	1696
ABHD15	0.301901	10988	0.642465	12986
ABHD16A	0.326508	10317	1.617210	5058
ABHD16B	-	19005	-	19005
ABHD17A	0.271842	11760	1.089905	10349
ABHD17B	0.946156	1876	1.782616	3461
ABHD17C	0.441195	7347	1.482588	6467
ABHD18	0.639510	4109	1.318063	8238
ABHD2	0.193818	13481	1.792532	3401
ABHD3	0.649521	3977	1.599883	5214
ABHD4	0.179863	13738	1.520353	6038
ABHD5	0.412460	8007	1.410102	7251
ABHD6	0.257977	12054	0.949878	11328
ABHD8	0.370852	9043	1.280578	8637
ABI1	0.507353	5998	1.787248	3429
ABI2	0.420074	7806	1.704665	4132
ABI3	0.809141	2628	1.314289	8266
ABI3BP	1.116192	1254	1.964495	2208
ABL1	0.545116	5334	1.513750	6134
ABL2	0.557759	5160	1.225826	9176
ABLIM1	1.367019	718	2.256742	1060
ABLIM2	0.605305	4522	0.822822	12102
ABLIM3	0.337868	9885	1.513750	6133
ABO	1.319447	792	1.445293	6873
ABR	0.642465	4071	1.466126	6663
ABRA	1.269046	888	1.269046	8749
ABRACL	0.613603	4395	1.886491	2718
ABT1	0.133750	14503	1.330617	8100
ABTB1	0.494380	6227	1.682235	4362
ABTB2	0.679616	3647	1.440437	6924
ACAA1	0.307543	10797	1.664642	4534
ACAA2	0.514002	5838	1.721151	3962
ACACA	0.272240	11737	1.157759	9767
ACACB	1.068557	1410	1.068557	10475
ACAD10	0.265936	11875	1.255514	8871
ACAD11	0.525075	5663	0.861534	11874
ACAD8	0.306194	10837	1.514946	6096
ACAD9	0.217484	13000	1.509606	6181
ACADL	1.234770	965	1.234770	9077
ACADM	0.251525	12247	1.625621	4947
ACADS	0.381411	8785	1.269046	8748
ACADSB	0.317295	10555	1.326541	8164
ACADVL	0.685496	3600	2.225955	1166
ACAN	0.342120	9783	0.418301	13803
ACAP1	1.788047	245	1.900149	2627
ACAP2	1.244936	945	1.717171	4002
ACAP3	0.208414	13150	0.906874	11592
ACAT1	0.381857	8774	1.978591	2127
ACAT2	0.511925	5916	1.945074	2336
ACBD3	0.067537	15433	1.921478	2502
ACBD4	0.411196	8039	1.028164	10805
ACBD5	0.318248	10522	0.889302	11724
ACBD6	0.502378	6097	1.249932	8959
ACBD7	1.054051	1460	1.291369	8524
ACCS	0.792672	2742	1.021189	10843
ACCSL	-	19004	-	19004
ACD	0.360083	9308	1.230960	9099
ACE	1.153474	1149	1.599992	5212
ACE2	0.926857	1961	0.926857	11488
ACER1	0.000000	17216	0.000000	17231
ACER2	0.650074	3972	0.966611	11210
ACER3	0.028773	15736	1.147367	9852
ACHE	0.662421	3850	1.054230	10565
ACIN1	0.328380	10279	2.145321	1425
ACKR1	1.500785	507	1.500785	6265
ACKR2	0.640481	4094	0.640481	12992
ACKR3	0.764975	2921	2.109072	1558
ACKR4	0.537830	5444	0.642465	12985
ACLY	0.483307	6458	1.778006	3486
ACMSD	0.025306	16132	0.025306	16175
ACO1	0.284134	11436	1.808076	3287
ACO2	0.131867	14521	1.893262	2670
ACOD1	0.025306	16131	0.025306	16174
ACOT1	0.025306	16130	0.025306	16173
ACOT11	1.363663	723	1.454692	6771
ACOT12	0.000000	17215	0.000000	17230
ACOT13	0.361338	9284	1.583426	5394
ACOT2	0.137803	14442	1.128076	10022
ACOT4	0.067638	15432	0.206826	14659
ACOT6	-	19003	-	19003
ACOT7	0.634382	4158	1.717338	4000
ACOT8	0.155895	14123	1.556664	5677
ACOT9	0.175046	13847	1.724112	3943
ACOX1	0.333673	10005	1.451633	6793
ACOX2	1.016954	1589	1.156549	9787
ACOX3	0.370427	9062	1.071145	10455
ACOXL	0.096910	14960	0.096910	15192
ACP1	0.185310	13634	1.992642	2061
ACP2	0.485615	6407	1.695394	4232
ACP5	0.827926	2482	0.868644	11823
ACP6	0.618804	4344	1.001734	11026
ACP7	-	19002	-	19002
ACPP	0.637710	4125	0.866878	11828
ACPT	-	19001	-	19001
ACR	0.000000	17214	0.000000	17229
ACRBP	0.489815	6325	0.736397	12548
ACRC	0.000000	17213	0.000000	17228
ACRV1	0.000000	17212	0.000000	17227
ACSBG1	0.495544	6209	0.495544	13539
ACSBG2	0.000000	17211	0.000000	17226
ACSF2	1.087635	1353	1.713742	4042
ACSF3	1.173186	1106	1.459543	6730
ACSL1	0.527129	5631	1.417306	7158
ACSL3	0.280358	11530	2.012247	1956
ACSL4	0.168893	13932	1.582177	5420
ACSL5	0.496289	6193	1.374198	7634
ACSL6	0.264818	11901	0.264818	14398
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17210	0.000000	17225
ACSM2B	0.000000	17209	0.000000	17224
ACSM3	0.262451	11962	0.264818	14397
ACSM4	-	18999	-	18999
