gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	53	3.183790	192
A1CF	2.101919	282	2.101919	1925
A2M	2.206353	240	3.256655	167
A2ML1	0.000000	17202	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.340755	9943	1.005181	11093
A4GNT	0.060698	15473	0.060698	15714
AAAS	0.446754	7455	1.820039	3536
AACS	0.521760	6244	1.572424	5756
AADAC	1.956168	358	1.956168	2633
AADACL2	0.000000	17201	0.000000	17238
AADACL3	0.000000	17200	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	1.013472	2172	1.226084	9278
AAED1	0.175369	13709	1.360398	7929
AAGAB	0.023754	15630	1.572455	5755
AAK1	0.332551	10109	1.227887	9262
AAMDC	0.357779	9537	1.541575	6077
AAMP	0.238253	12413	2.001647	2402
AANAT	0.000000	17199	0.000000	17236
AAR2	0.431217	7723	1.552452	5953
AARD	0.452415	7354	0.466868	13832
AARS	0.341782	9908	1.953859	2640
AARS2	0.266172	11754	1.476989	6698
AARSD1	0.248554	12196	1.572296	5758
AASDH	0.081376	15159	1.123667	10138
AASDHPPT	0.212778	12886	1.567943	5797
AASS	0.857829	2951	1.850956	3313
AATF	0.236405	12463	1.705265	4513
AATK	0.367356	9335	0.367356	14357
ABAT	1.966422	354	2.695586	527
ABCA1	1.417970	996	2.290881	1295
ABCA10	0.791715	3408	0.791715	12390
ABCA12	0.000000	17198	0.000000	17235
ABCA13	0.951823	2452	0.951823	11470
ABCA2	0.225609	12659	0.898176	11751
ABCA3	0.620680	4898	1.348634	8024
ABCA4	0.190106	13488	0.190106	15033
ABCA5	1.222196	1465	1.787704	3779
ABCA6	1.258738	1356	1.717912	4384
ABCA7	0.763013	3602	1.598572	5491
ABCA8	0.731487	3836	1.672283	4799
ABCA9	0.580650	5363	0.882525	11901
ABCB1	1.320513	1199	1.918186	2843
ABCB10	1.141486	1718	2.001647	2401
ABCB11	1.753506	509	1.753506	4055
ABCB4	2.095754	285	2.244747	1424
ABCB5	0.262451	11916	0.262451	14712
ABCB6	1.217134	1479	1.595827	5524
ABCB7	0.316174	10585	1.565612	5840
ABCB8	0.448495	7421	1.502154	6445
ABCB9	0.256766	12028	0.721234	12678
ABCC1	0.336044	10047	1.593014	5544
ABCC10	0.394065	8507	0.947601	11489
ABCC11	0.000000	17197	0.000000	17234
ABCC12	0.000000	17196	0.000000	17233
ABCC2	1.933487	376	1.933487	2748
ABCC3	1.402242	1030	2.214571	1511
ABCC4	0.849526	3006	1.258398	8996
ABCC5	0.367356	9334	1.064458	10621
ABCC6	-	19006	-	19006
ABCC8	0.196348	13217	0.196348	14849
ABCC9	0.854874	2968	1.154820	9841
ABCD1	0.562293	5675	1.296117	8580
ABCD2	0.888611	2769	1.049993	10751
ABCD3	0.815718	3220	1.617525	5312
ABCD4	0.531209	6123	1.319730	8355
ABCE1	0.179471	13643	1.698535	4575
ABCF1	0.123470	14396	1.973405	2547
ABCF2	0.341506	9919	1.768748	3940
ABCF3	0.147333	14104	1.622110	5280
ABCG1	0.213432	12873	1.346353	8081
ABCG2	0.594393	5215	0.697229	12873
ABCG4	0.255314	12060	0.270958	14593
ABCG5	1.401056	1031	1.401056	7494
