gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.368322	5567	1.143434	7973
A1CF	0.000000	16232	0.000000	17239
A2M	0.951864	1319	2.002166	1118
A2ML1	0.093678	11582	0.093678	14723
A3GALT2	-	19008	-	19008
A4GALT	0.074744	11928	0.770193	11037
A4GNT	0.000000	16231	0.000000	17238
AAAS	0.681334	2437	1.322933	6180
AACS	0.110696	11034	0.970802	9545
AADAC	0.000000	16230	0.000000	17237
AADACL2	0.000000	16229	0.000000	17236
AADACL3	0.000000	16228	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.461530	4312	1.031143	9010
AAED1	0.037969	13231	0.854958	10438
AAGAB	0.314875	6499	1.863576	1702
AAK1	1.032145	1126	1.927481	1411
AAMDC	0.206681	8753	1.016128	9159
AAMP	0.250092	7749	1.812256	1980
AANAT	2.596552	35	2.596552	165
AAR2	0.048933	12909	0.928605	9888
AARD	0.000000	16227	0.000000	17234
AARS	0.400255	5049	1.814168	1972
AARS2	0.101316	11333	1.312134	6284
AARSD1	0.230248	8201	1.502218	4349
AASDH	0.536959	3513	1.617243	3331
AASDHPPT	0.267582	7408	1.784183	2144
AASS	0.391477	5166	1.384813	5510
AATF	-0.038690	16522	1.430170	5052
AATK	1.320543	614	1.338236	6026
ABAT	1.964475	133	1.964475	1264
ABCA1	0.021972	13673	1.087180	8514
ABCA10	0.786403	1920	0.786403	10924
ABCA12	0.283755	7083	0.283755	13548
ABCA13	0.458881	4338	0.458881	12753
ABCA2	0.513955	3747	1.267429	6707
ABCA3	0.816985	1780	1.544939	3963
ABCA4	0.300404	6767	0.300404	13460
ABCA5	1.064611	1041	2.097047	820
ABCA6	0.621262	2806	1.080436	8583
ABCA7	1.545931	366	2.189133	615
ABCA8	0.722191	2218	1.662987	2986
ABCA9	0.482149	4063	0.784024	10939
ABCB1	0.833086	1714	1.430759	5044
ABCB10	0.001868	13932	0.631635	11843
ABCB11	0.000000	16226	0.000000	17233
ABCB4	0.313245	6537	0.462238	12728
ABCB5	0.042368	13158	0.042368	15303
ABCB6	0.259086	7561	0.472636	12681
ABCB7	0.246993	7827	1.496430	4407
ABCB8	0.188180	9175	1.360147	5779
ABCB9	0.233879	8119	0.702932	11445
ABCC1	0.138393	10376	1.056219	8793
ABCC10	0.357301	5744	1.024844	9069
ABCC11	0.054784	12819	0.054784	15194
ABCC12	0.029968	13541	0.029968	15445
ABCC2	0.000000	16225	0.000000	17232
ABCC3	0.068942	12315	0.372289	13143
ABCC4	0.052536	12853	0.759600	11111
ABCC5	0.478467	4110	1.467267	4670
ABCC6	-	19006	-	19006
ABCC8	1.662763	278	1.662763	2990
ABCC9	0.266181	7428	0.536125	12358
ABCD1	0.062507	12654	0.723463	11330
ABCD2	0.801997	1844	0.963379	9608
ABCD3	0.561502	3292	1.428347	5075
ABCD4	0.537262	3510	1.361879	5758
ABCE1	0.106244	11187	1.625309	3276
ABCF1	0.152844	9968	2.002778	1113
ABCF2	0.013856	13783	1.441098	4923
ABCF3	0.214806	8502	1.689584	2785
ABCG1	0.253000	7690	1.385921	5498
ABCG2	0.770604	1987	0.840092	10549
ABCG4	0.660204	2552	0.675849	11597
ABCG5	0.000000	16224	0.000000	17231
