gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.437595	2356	1.428596	4781
A1CF	0.000000	16524	0.000000	17239
A2M	0.000000	16523	0.718210	10020
A2ML1	0.000000	16522	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.114818	8454	0.810267	9469
A4GNT	0.000000	16521	0.000000	17237
AAAS	0.313952	3887	1.707922	2718
AACS	0.303873	4027	1.354537	5396
AADAC	0.052379	10859	0.052379	13572
AADACL2	0.000000	16520	0.000000	17236
AADACL3	0.000000	16519	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.205639	5987	0.577565	10678
AAED1	0.067948	10132	1.175650	6850
AAGAB	0.205522	5988	1.754223	2462
AAK1	0.239208	5230	1.063226	7760
AAMDC	0.256842	4867	1.440637	4695
AAMP	0.135362	7861	1.924140	1728
AANAT	0.000000	16518	0.000000	17234
AAR2	0.181636	6600	1.192131	6725
AARD	0.173031	6798	0.187484	12372
AARS	0.076523	9787	1.688600	2847
AARS2	0.061035	10365	1.271852	6074
AARSD1	0.448101	2264	1.562892	3707
AASDH	0.028452	12325	1.104030	7443
AASDHPPT	0.225823	5540	1.742424	2528
AASS	0.334983	3540	1.397050	5031
AATF	0.061749	10341	1.530609	3945
AATK	0.000000	16517	0.012475	14562
ABAT	0.069925	10075	0.799089	9531
ABCA1	0.000000	16516	1.392565	5069
ABCA10	0.200977	6113	0.200977	12293
ABCA12	0.019795	12802	0.019795	14444
ABCA13	0.029318	12117	0.029318	14116
ABCA2	0.062681	10312	0.690241	10152
ABCA3	0.598129	1403	1.326083	5605
ABCA4	0.062507	10318	0.062507	13337
ABCA5	0.094922	9125	1.075794	7664
ABCA6	0.548558	1650	1.007732	8183
ABCA7	0.040187	11320	0.611469	10516
ABCA8	0.356540	3249	1.297336	5856
ABCA9	0.074765	9871	0.285251	11917
ABCB1	0.394741	2801	0.394741	11453
ABCB10	0.289332	4287	1.149493	7078
ABCB11	0.000000	16515	0.000000	17233
ABCB4	0.000000	16514	0.143412	12608
ABCB5	0.000000	16513	0.000000	17232
ABCB6	0.191331	6347	0.436702	11280
ABCB7	0.070809	10048	1.320246	5659
ABCB8	0.142777	7629	1.273338	6065
ABCB9	0.219022	5694	0.682412	10196
ABCC1	0.228843	5474	1.485813	4320
ABCC10	0.122372	8223	0.720344	10005
ABCC11	0.000000	16512	0.000000	17231
ABCC12	0.000000	16511	0.000000	17230
ABCC2	0.039068	11377	0.039068	13715
ABCC3	0.142396	7639	0.891576	8961
ABCC4	0.355300	3271	1.246331	6261
ABCC5	0.239765	5224	0.959857	8503
ABCC6	-	19006	-	19006
ABCC8	0.000000	16510	0.000000	17229
ABCC9	0.026802	12451	0.119670	12763
ABCD1	0.245529	5090	1.198753	6665
ABCD2	0.029318	12116	0.157355	12515
ABCD3	0.071635	9966	1.236275	6356
ABCD4	0.231551	5405	1.172141	6878
ABCE1	0.293643	4190	1.812707	2175
ABCF1	0.093022	9183	1.942956	1663
ABCF2	0.392523	2826	1.819765	2141
ABCF3	0.017053	12863	1.491830	4275
ABCG1	0.030605	11657	0.905777	8883
ABCG2	0.292249	4215	0.407198	11397
ABCG4	0.071230	10025	0.077750	13150
ABCG5	0.000000	16509	0.000000	17228
ABCG8	0.000000	16508	0.000000	17227
ABHD1	0.026802	12450	0.029968	13783
ABHD10	0.143120	7619	1.413797	4893
ABHD11	0.119336	8302	1.089297	7566
ABHD12	0.000000	16507	1.483735	4345
ABHD12B	0.000000	16506	0.000000	17226
ABHD13	-0.026471	16747	1.015709	8123
ABHD14A	0.228246	5484	1.089462	7564
ABHD14B	-0.048410	16888	1.709047	2709
ABHD15	0.019795	12801	0.314113	11794
ABHD16A	0.014988	12990	1.258563	6169
ABHD16B	-	19005	-	19005
ABHD17A	0.063084	10294	0.982231	8338
ABHD17B	0.063132	10292	0.961755	8488
ABHD17C	0.231377	5410	1.226520	6451
ABHD18	0.159746	7143	0.971504	8420
ABHD2	0.002323	13301	1.412855	4898
ABHD3	-0.265480	17199	0.684882	10179
ABHD4	0.232306	5385	1.526014	3977
ABHD5	0.068849	10107	1.131584	7234
ABHD6	0.028787	12199	0.495892	11041
ABHD8	-0.000145	16526	0.807950	9482
ABI1	-0.038761	16825	1.469729	4446
ABI2	0.283343	4385	1.602889	3427
ABI3	1.025103	396	1.221383	6491
ABI3BP	0.356463	3251	1.032803	7987
ABL1	0.370739	3091	1.312019	5726
ABL2	0.595276	1418	1.263343	6141
ABLIM1	0.736629	952	1.064673	7751
ABLIM2	0.022439	12569	0.290498	11896
ABLIM3	0.236462	5286	1.498211	4224
ABO	0.000000	16505	0.000000	17225
ABR	0.391915	2833	1.441581	4686
ABRA	0.000000	16504	0.000000	17224
ABRACL	0.675468	1130	1.784499	2307
ABT1	0.078366	9714	1.275232	6047
ABTB1	0.000000	16503	0.772917	9696
ABTB2	0.085666	9441	0.846487	9259
ACAA1	0.065924	10208	1.547939	3816
ACAA2	0.428383	2457	1.417643	4869
ACACA	0.385870	2910	1.529197	3954
ACACB	0.052747	10723	0.239709	12120
ACAD10	-0.072666	16987	0.916911	8802
ACAD11	0.189751	6399	0.855188	9197
ACAD8	-0.061632	16945	1.147120	7093
ACAD9	0.113927	8489	1.514064	4075
ACADL	0.000000	16502	0.000000	17223
ACADM	0.104110	8788	1.478206	4384
ACADS	0.015108	12988	0.719519	10013
ACADSB	0.019697	12809	1.009411	8170
ACADVL	0.376024	3032	2.040825	1329
ACAN	0.084928	9468	0.161110	12503
ACAP1	0.002263	13303	0.114364	12809
ACAP2	0.052241	10862	1.611775	3367
ACAP3	0.079943	9653	0.778402	9655
ACAT1	0.101149	8896	1.763277	2398
ACAT2	1.032877	390	2.466027	437
ACBD3	0.098761	8984	1.952702	1626
ACBD4	-0.014274	16671	0.694572	10125
ACBD5	0.016735	12872	0.649416	10348
ACBD6	0.243184	5155	1.465245	4492
ACBD7	0.482943	2017	0.720261	10007
ACCS	0.045586	11121	0.340283	11689
ACCSL	-	19004	-	19004
ACD	0.279509	4455	1.196326	6695
ACE	1.118818	273	1.565336	3684
ACE2	0.000000	16501	0.000000	17222
ACER1	0.028452	12324	0.028452	14248
ACER2	0.191555	6339	0.508092	10995
ACER3	0.125506	8134	1.244100	6285
ACHE	0.000000	16500	0.136758	12648
ACIN1	0.126802	8102	1.967778	1566
ACKR1	0.064375	10246	0.064375	13326
ACKR2	0.000000	16499	0.117259	12792
ACKR3	0.097367	9048	0.948706	8573
ACKR4	0.489641	1973	0.594275	10592
ACLY	0.922809	549	2.217508	859
ACMSD	0.000000	16498	0.000000	17221
ACO1	0.450777	2238	1.974719	1542
ACO2	0.072017	9949	1.833412	2080
ACOD1	0.000000	16497	0.000000	17220
ACOT1	0.142396	7638	0.190051	12346
ACOT11	0.075411	9852	0.321390	11763
ACOT12	0.028452	12323	0.028452	14247
ACOT13	0.338948	3488	1.763338	2397
ACOT2	0.339895	3472	1.111691	7386
ACOT4	-0.061589	16944	0.077599	13168
ACOT6	-	19003	-	19003
ACOT7	0.663174	1172	1.802961	2223
ACOT8	0.061541	10348	1.462311	4518
ACOT9	0.286352	4332	1.835418	2068
ACOX1	0.114228	8469	1.499998	4210
ACOX2	0.438646	2345	0.611456	10517
ACOX3	0.243111	5156	1.212943	6552
ACOXL	0.000000	16496	0.000000	17219
ACP1	0.169289	6896	1.958477	1607
ACP2	0.029318	12115	1.563327	3701
ACP5	0.652965	1203	0.679345	10216
ACP6	0.174097	6776	0.847584	9250
ACP7	-	19002	-	19002
ACPP	0.029318	12114	0.055295	13427
ACPT	-	19001	-	19001
ACR	0.000000	16495	0.000000	17218
ACRBP	0.301651	4052	0.548233	10813
ACRC	0.000000	16494	0.000000	17217
ACRV1	0.000000	16493	0.000000	17216
ACSBG1	0.000000	16492	0.000000	17215
ACSBG2	0.000000	16491	0.000000	17214
ACSF2	0.239160	5231	0.908512	8867
ACSF3	0.032866	11609	0.897959	8920
ACSL1	0.012475	13129	1.017467	8106
ACSL3	0.329522	3634	2.339903	615
ACSL4	0.296887	4123	1.715441	2673
ACSL5	0.104521	8779	0.982430	8337
ACSL6	0.029318	12113	0.029318	14115
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16490	0.000000	17213
ACSM2B	0.000000	16489	0.000000	17212
ACSM3	0.000000	16488	0.055295	13426
ACSM4	-	18999	-	18999
