gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.348972	7917	1.222840	8596
A1CF	0.000000	17165	0.000000	17239
A2M	0.705801	3374	1.756103	3438
A2ML1	0.689685	3498	0.689685	12608
A3GALT2	-	19008	-	19008
A4GALT	0.306780	8794	1.002229	10609
A4GNT	0.000000	17164	0.000000	17238
AAAS	0.391518	7046	1.656284	4252
AACS	0.378404	7326	1.429068	6546
AADAC	0.000000	17163	0.000000	17237
AADACL2	0.000000	17162	0.000000	17236
AADACL3	0.000000	17161	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.459365	5944	1.028978	10418
AAED1	0.318504	8551	1.536859	5403
AAGAB	0.376175	7356	1.924876	2323
AAK1	0.750801	3089	1.441538	6406
AAMDC	0.237986	10464	1.421781	6611
AAMP	0.202811	11458	2.007577	1920
AANAT	0.064458	14694	0.064458	15189
AAR2	0.029986	15085	1.082862	9949
AARD	0.120574	13567	0.120574	14768
AARS	0.375514	7372	1.927576	2315
AARS2	0.111815	13698	1.322633	7602
AARSD1	0.153604	12736	1.566437	5122
AASDH	0.310298	8728	1.390582	6944
AASDHPPT	0.425995	6446	1.874830	2654
AASS	0.203694	11434	1.265761	8196
AATF	0.122250	13368	1.591110	4844
AATK	1.836704	279	1.836704	2892
ABAT	1.663230	434	1.756103	3437
ABCA1	0.259860	9865	1.653259	4284
ABCA10	0.170262	12329	0.170262	14547
ABCA12	0.120034	13577	0.120034	14769
ABCA13	0.262506	9790	0.262506	14125
ABCA2	1.580363	518	1.972434	2089
ABCA3	1.023248	1725	1.751202	3484
ABCA4	0.064458	14693	0.064458	15188
ABCA5	0.487786	5562	1.520221	5562
ABCA6	0.309569	8742	0.768743	12190
ABCA7	0.242571	10364	0.987666	10772
ABCA8	0.670715	3676	1.611511	4660
ABCA9	0.211343	11241	0.513218	13355
ABCB1	0.766315	2985	1.363988	7237
ABCB10	0.300062	8923	1.160223	9204
ABCB11	0.000000	17160	0.000000	17234
ABCB4	0.052787	14840	0.170262	14546
ABCB5	0.000000	17159	0.000000	17233
ABCB6	0.355161	7785	0.766413	12240
ABCB7	0.000000	17158	1.228073	8557
ABCB8	0.444697	6136	1.345374	7392
ABCB9	0.511404	5253	0.980458	10832
ABCC1	0.223572	10837	1.480542	5964
ABCC10	0.318799	8545	0.741939	12384
ABCC11	0.000000	17157	0.000000	17232
ABCC12	0.534026	4991	0.534026	13289
ABCC2	0.022729	15179	0.022729	15385
ABCC3	0.468007	5831	1.280336	8026
ABCC4	0.396148	6978	1.287179	7952
ABCC5	0.624513	4074	1.613313	4637
ABCC6	-	19006	-	19006
ABCC8	1.213252	1158	1.213252	8712
ABCC9	0.472528	5749	0.626340	12920
ABCD1	0.141809	12997	1.095033	9851
ABCD2	1.220455	1133	1.381837	7047
ABCD3	0.215648	11135	1.274395	8083
ABCD4	0.145251	12926	1.302114	7801
ABCE1	0.373989	7398	1.893053	2536
ABCF1	0.160942	12557	1.972214	2091
ABCF2	0.199608	11546	1.601191	4751
ABCF3	0.080075	14199	1.554852	5227
ABCG1	0.365665	7540	1.498586	5789
ABCG2	0.776031	2923	0.890980	11485
ABCG4	0.726295	3235	0.741939	12383
ABCG5	0.064458	14692	0.064458	15187
ABCG8	0.000000	17156	0.000000	17231
ABHD1	0.409176	6767	0.468347	13496
ABHD10	0.381762	7262	1.652440	4297
ABHD11	0.206657	11352	1.112427	9658
ABHD12	0.273786	9520	1.792672	3172
ABHD12B	0.444045	6182	0.444045	13585
ABHD13	0.279487	9389	1.306701	7739
ABHD14A	0.572693	4553	1.548881	5288
ABHD14B	0.012151	15322	1.769609	3330
ABHD15	0.238054	10461	0.578618	13098
ABHD16A	0.000889	15355	1.291591	7909
ABHD16B	-	19005	-	19005
ABHD17A	0.402014	6895	1.133539	9497
ABHD17B	0.458297	5958	1.458940	6215
ABHD17C	0.546525	4855	1.500443	5777
ABHD18	0.448389	6095	0.932495	11174
ABHD2	0.239478	10439	1.909823	2417
ABHD3	-0.016369	17191	0.933993	11170
ABHD4	0.037074	15006	1.305565	7758
ABHD5	0.300483	8911	1.497362	5796
ABHD6	0.687042	3533	1.378943	7088
ABHD8	0.671655	3666	1.581381	4964
ABI1	0.350763	7878	1.670802	4124
ABI2	0.882846	2327	1.967922	2111
ABI3	0.197283	11607	0.702431	12574
ABI3BP	1.488105	647	2.164445	1273
ABL1	0.301469	8889	1.302981	7779
ABL2	0.718472	3280	1.386538	6991
ABLIM1	1.188316	1213	1.749891	3493
ABLIM2	1.086817	1494	1.354876	7307
ABLIM3	0.485263	5584	1.520734	5551
ABO	0.553883	4767	0.553883	13210
ABR	1.153510	1316	2.123623	1432
ABRA	0.064458	14691	0.064458	15186
ABRACL	0.661285	3753	2.157823	1294
ABT1	0.236980	10499	1.433846	6499
ABTB1	0.315117	8623	1.502973	5746
ABTB2	0.242585	10363	0.574031	13144
ACAA1	0.257816	9923	1.739831	3570
ACAA2	0.461329	5917	1.531079	5452
ACACA	0.493205	5459	1.636532	4431
ACACB	0.775372	2927	1.095518	9850
ACAD10	0.105940	13797	1.095518	9849
ACAD11	0.309018	8753	0.924193	11240
ACAD8	0.259891	9860	1.468643	6109
ACAD9	0.175356	12114	1.505150	5718
ACADL	0.416641	6633	0.416641	13685
ACADM	0.659223	3761	1.664392	4181
ACADS	0.064458	14690	0.949878	11050
ACADSB	0.468302	5826	1.454082	6264
ACADVL	0.226696	10762	1.940154	2254
ACAN	1.771756	328	1.822055	2982
ACAP1	0.039727	14971	0.151828	14577
ACAP2	0.416641	6632	1.575966	5015
ACAP3	0.551717	4794	1.250176	8359
ACAT1	0.206549	11355	1.878686	2624
ACAT2	1.073534	1535	2.506684	526
ACBD3	0.189955	11789	2.043896	1748
ACBD4	0.582479	4447	0.994757	10710
ACBD5	0.602149	4273	1.148603	9346
ACBD6	0.247555	10252	1.301929	7803
ACBD7	1.688612	404	1.925931	2320
ACCS	0.094469	13982	0.534026	13288
ACCSL	-	19004	-	19004
ACD	0.304024	8846	1.123742	9562
ACE	0.243110	10350	0.689628	12609
ACE2	0.000000	17155	0.000000	17230
ACER1	0.000000	17154	0.000000	17229
ACER2	0.437096	6265	0.753633	12309
ACER3	0.635340	3955	1.753934	3453
ACHE	0.925828	2126	0.925828	11236
ACIN1	0.269237	9619	1.869173	2694
ACKR1	0.294466	9081	0.294466	14076
ACKR2	0.425361	6455	0.658011	12786
ACKR3	0.659385	3760	2.003482	1944
ACKR4	0.926674	2110	1.031308	10376
ACLY	0.822987	2644	2.117686	1451
ACMSD	0.000000	17153	0.000000	17228
ACO1	0.277579	9444	1.801520	3124
ACO2	0.505212	5315	2.266608	959
ACOD1	0.000000	17152	0.000000	17227
ACOT1	0.308198	8765	0.359835	13877
ACOT11	0.944400	2029	1.035430	10356
ACOT12	0.145705	12920	0.145705	14582
ACOT13	0.397920	6950	1.729508	3654
ACOT2	0.285671	9259	1.213682	8694
ACOT4	0.249978	10198	0.389166	13774
ACOT6	-	19003	-	19003
ACOT7	0.810341	2727	1.631790	4465
ACOT8	0.219262	10952	1.620032	4576
ACOT9	0.388918	7134	1.937984	2267
ACOX1	0.264255	9751	1.478133	6008
ACOX2	0.643737	3895	0.808845	11987
ACOX3	0.176233	12096	1.015779	10530
ACOXL	0.190081	11783	0.190081	14391
ACP1	0.341137	8062	2.047392	1736
ACP2	0.094113	13997	1.646976	4351
ACP5	0.719728	3272	0.892079	11445
ACP6	0.199252	11553	0.872739	11583
ACP7	-	19002	-	19002
ACPP	0.658011	3780	0.658011	12785
ACPT	-	19001	-	19001
ACR	0.000000	17151	0.000000	17226
ACRBP	0.081798	14168	0.328380	13973
ACRC	0.000000	17150	0.000000	17225
ACRV1	0.000000	17149	0.000000	17224
ACSBG1	1.768268	330	1.768268	3337
ACSBG2	0.000000	17148	0.000000	17223
ACSF2	0.362142	7611	0.988249	10724
ACSF3	0.067843	14358	0.932936	11173
ACSL1	0.872739	2375	1.137613	9439
ACSL3	0.399218	6938	2.432632	625
ACSL4	0.456663	5977	1.813283	3027
ACSL5	0.064458	14689	0.754348	12304
ACSL6	1.420781	759	1.420781	6634
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17147	0.000000	17222
ACSM2B	0.000000	17146	0.000000	17221
ACSM3	0.045899	14893	0.118356	14777
ACSM4	-	18999	-	18999
ACSM5	0.444045	6181	0.444045	13584
ACSM6	0.000000	17145	0.000000	17220
ACSS1	0.654615	3797	1.742411	3557
ACSS2	0.385953	7193	1.226371	8563
ACSS3	0.461380	5915	1.035430	10355
ACTA1	0.468347	5823	0.468347	13495
ACTA2	1.540639	576	2.914936	162
ACTB	0.484518	5599	3.961329	5
ACTBL2	0.262603	9787	0.262603	14124
ACTC1	0.426521	6435	0.534026	13287
ACTG1	0.627972	4020	4.020238	4
ACTG2	0.852909	2480	1.582474	4957
ACTL10	0.190081	11782	0.240139	14233
ACTL6A	0.326636	8376	1.842652	2854
ACTL6B	1.633266	463	1.633266	4459
ACTL7A	0.000000	17144	0.000000	17219
ACTL7B	0.000000	17143	0.000000	17218
ACTL8	0.000000	17142	0.000000	17217
ACTL9	0.000000	17141	0.000000	17216
ACTN1	0.611426	4174	2.767096	256
ACTN2	1.196419	1197	1.426023	6576
ACTN3	0.020233	15213	0.020233	15401
ACTN4	0.415691	6656	1.980203	2033
