gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.045229	14215	1.036230	9847
A1CF	0.000000	16767	0.000000	17239
A2M	1.330090	756	2.380392	540
A2ML1	0.000000	16766	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.839365	2196	1.503791	5068
A4GNT	0.000000	16765	0.000000	17237
AAAS	0.086360	13462	1.242790	7777
AACS	0.309930	7685	1.360593	6538
AADAC	0.000000	16764	0.000000	17236
AADACL2	0.000000	16763	0.000000	17235
AADACL3	0.000000	16762	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.192222	10496	0.758912	11955
AAED1	0.233431	9380	1.451786	5583
AAGAB	0.123951	12245	1.672652	3503
AAK1	0.421749	5658	1.257918	7663
AAMDC	0.219657	9819	1.157759	8687
AAMP	0.275731	8365	2.027431	1367
AANAT	1.018284	1485	1.018284	10010
AAR2	0.061054	13877	1.140822	8840
AARD	0.158362	11502	0.158362	14724
AARS	0.465906	5028	1.853820	2168
AARS2	-0.046464	16986	1.164353	8610
AARSD1	0.091366	12967	1.504199	5065
AASDH	0.000000	16761	1.061829	9615
AASDHPPT	0.562635	3999	1.989138	1487
AASS	0.307537	7730	1.329398	6900
AATF	0.035339	14337	1.504199	5064
AATK	1.196090	995	1.213783	8087
ABAT	1.554852	435	1.771881	2708
ABCA1	0.375165	6386	1.768564	2745
ABCA10	0.220108	9804	0.220108	14431
ABCA12	0.000000	16760	0.000000	17233
ABCA13	0.212188	10014	0.212188	14461
ABCA2	0.830468	2241	1.575650	4362
ABCA3	0.877191	2020	1.604982	4122
ABCA4	0.559907	4050	0.559907	13066
ABCA5	0.352276	6813	1.384712	6277
ABCA6	0.423350	5630	0.882525	11107
ABCA7	0.124922	12230	0.826075	11544
ABCA8	0.679236	3094	1.620032	3982
ABCA9	0.688464	3034	0.990339	10269
ABCB1	0.835456	2214	1.433130	5762
ABCB10	0.080480	13538	0.853090	11379
ABCB11	0.000000	16759	0.000000	17232
ABCB4	0.220108	9803	0.290035	14107
ABCB5	0.000000	16758	0.000000	17231
ABCB6	0.235741	9336	0.472756	13449
ABCB7	0.013251	14845	1.262688	7604
ABCB8	-0.086319	17086	1.085647	9378
ABCB9	0.312702	7627	0.781755	11829
ABCC1	0.189878	10567	1.446848	5628
ABCC10	0.033037	14363	0.668386	12479
ABCC11	0.000000	16757	0.000000	17230
ABCC12	0.274158	8489	0.274158	14226
ABCC2	0.000000	16756	0.000000	17229
ABCC3	0.301949	7819	1.114277	9115
ABCC4	0.314173	7605	1.205204	8176
ABCC5	0.341614	6999	1.330414	6893
ABCC6	-	19006	-	19006
ABCC8	0.990339	1583	0.990339	10268
ABCC9	1.063897	1334	1.426836	5814
ABCD1	0.096910	12875	1.004321	10127
ABCD2	1.063927	1333	1.225309	7981
ABCD3	0.256114	8880	1.418798	5900
ABCD4	0.198588	10332	1.355452	6604
ABCE1	0.034211	14350	1.553276	4563
ABCF1	-0.071430	17057	1.764774	2769
ABCF2	0.243468	9157	1.670710	3521
ABCF3	0.087991	13037	1.562769	4472
ABCG1	0.289505	8076	1.422426	5868
ABCG2	0.650720	3317	0.765669	11932
ABCG4	0.569816	3948	0.585461	12921
ABCG5	0.000000	16755	0.000000	17228
ABCG8	0.000000	16754	0.000000	17227
ABHD1	0.027188	14424	0.086360	15183
ABHD10	0.389714	6130	1.660391	3614
ABHD11	0.098385	12779	0.927370	10801
ABHD12	0.379290	6304	1.898176	1931
ABHD12B	0.559907	4049	0.559907	13065
ABHD13	0.317178	7539	1.344392	6711
ABHD14A	0.544442	4160	1.541454	4687
ABHD14B	0.003116	14933	1.760573	2797
ABHD15	0.207211	10141	0.547775	13097
ABHD16A	0.147995	11726	1.257918	7662
ABHD16B	-	19005	-	19005
ABHD17A	0.403814	5943	1.330414	6892
ABHD17B	0.373368	6416	1.189771	8348
ABHD17C	0.350150	6844	0.938520	10700
ABHD18	0.388646	6154	1.094820	9260
ABHD2	0.342342	6985	1.978089	1542
ABHD3	0.053959	14000	1.004321	10126
ABHD4	0.183387	10729	1.523876	4856
ABHD5	0.192821	10483	1.067443	9552
ABHD6	0.527684	4335	1.219585	8027
ABHD8	0.752748	2641	1.662475	3593
ABI1	0.249820	9013	1.734880	3015
ABI2	0.936981	1771	2.022057	1381
ABI3	0.884195	1988	1.389343	6203
ABI3BP	1.576197	410	2.252538	747
ABL1	0.220424	9658	1.221936	7995
ABL2	0.523105	4382	1.191171	8325
ABLIM1	1.066405	1329	1.667360	3546
ABLIM2	1.101403	1226	1.263162	7595
ABLIM3	0.163213	11174	1.473341	5380
ABO	0.655909	3261	0.781755	11828
ABR	0.985321	1593	2.046690	1282
ABRA	0.654177	3298	0.654177	12592
ABRACL	0.096910	12874	1.264346	7561
ABT1	-0.042442	16971	1.154424	8701
ABTB1	0.252266	8960	1.440122	5698
ABTB2	-0.001909	16784	0.758912	11954
ACAA1	0.083360	13499	1.565376	4446
ACAA2	0.323027	7359	1.444825	5636
ACACA	0.370701	6454	1.017451	10021
ACACB	0.644113	3357	0.964260	10480
ACAD10	-0.092501	17095	0.897077	11001
ACAD11	0.368984	6486	0.812913	11593
ACAD8	0.143431	11821	1.352183	6641
ACAD9	0.079582	13552	1.479719	5311
ACADL	0.858085	2100	0.879096	11176
ACADM	0.608728	3622	1.504199	5063
ACADS	0.209275	10095	1.096910	9244
ACADSB	0.588876	3764	1.476542	5349
ACADVL	0.240836	9215	2.027961	1362
ACAN	1.029329	1444	1.105510	9170
ACAP1	0.704802	2927	0.816904	11581
ACAP2	0.404834	5927	1.949780	1663
ACAP3	0.521125	4403	1.219585	8026
ACAT1	0.186384	10658	1.781396	2652
ACAT2	0.001127	14956	1.429591	5803
ACBD3	0.120708	12296	1.974650	1558
ACBD4	0.262583	8733	0.970347	10449
ACBD5	0.591456	3743	1.137354	8882
ACBD6	0.147787	11728	1.382557	6294
ACBD7	1.809372	222	2.046690	1281
ACCS	0.324661	7329	0.744293	12055
ACCSL	-	19004	-	19004
ACD	0.266408	8655	0.768638	11867
