gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.485194	1015	1.476194	3460
A1CF	0.000000	15683	0.000000	17239
A2M	0.000000	15682	0.158291	11937
A2ML1	0.000000	15681	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.753599	402	1.418024	3843
A4GNT	0.000000	15680	0.000000	17237
AAAS	0.024609	10067	1.381746	4093
AACS	0.026933	9756	1.077597	6452
AADAC	0.000000	15679	0.000000	17236
AADACL2	0.000000	15678	0.000000	17235
AADACL3	0.000000	15677	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.098773	6553	0.588977	9808
AAED1	0.156893	4802	1.295638	4726
AAGAB	0.054038	8574	1.602739	2657
AAK1	0.177596	4317	0.828467	8353
AAMDC	0.178145	4304	1.361940	4239
AAMP	0.140598	5225	1.791829	1775
AANAT	0.000000	15676	0.000000	17233
AAR2	0.185683	4124	1.221111	5331
AARD	0.321430	2029	0.335883	11061
AARS	-0.011838	15856	1.600239	2669
AARS2	-0.232906	17079	0.977911	7260
AARSD1	0.036834	9251	1.449667	3635
AASDH	0.024609	10066	0.962283	7375
AASDHPPT	0.145308	5076	1.661909	2343
AASS	0.043471	9049	0.959182	7404
AATF	-0.057750	16395	1.411110	3893
AATK	0.000000	15675	0.000000	17232
ABAT	0.008229	10765	0.417067	10680
ABCA1	0.058697	8408	1.119622	6136
ABCA10	0.000000	15674	0.000000	17231
ABCA12	0.000000	15673	0.000000	17230
ABCA13	0.681049	501	0.681049	9296
ABCA2	0.109610	6212	0.813820	8466
ABCA3	0.000000	15672	0.240727	11482
ABCA4	0.061926	8115	0.061926	12817
ABCA5	0.024609	10065	0.706812	9140
ABCA6	0.000000	15671	0.190146	11758
ABCA7	0.286830	2422	1.122389	6113
ABCA8	0.260910	2763	1.201707	5482
ABCA9	0.000000	15670	0.169878	11854
ABCB1	0.000000	15669	0.000000	17229
ABCB10	-0.015202	15902	0.844960	8245
ABCB11	0.000000	15668	0.000000	17228
ABCB4	0.016406	10529	0.132647	12116
ABCB5	0.000000	15667	0.000000	17227
ABCB6	0.259064	2800	0.689991	9241
ABCB7	0.125339	5686	1.374777	4138
ABCB8	0.064192	7813	1.236159	5206
ABCB9	0.212238	3560	0.681292	9295
ABCC1	0.586289	690	1.843259	1577
ABCC10	0.095708	6649	0.731057	8990
ABCC11	0.000000	15666	0.000000	17226
ABCC12	0.034601	9454	0.034601	13238
ABCC2	0.000000	15665	0.000000	17225
ABCC3	0.833387	308	1.645715	2419
ABCC4	0.065901	7757	0.891661	7915
ABCC5	0.051740	8648	0.715699	9082
ABCC6	-	19006	-	19006
ABCC8	0.000000	15664	0.000000	17224
ABCC9	0.032303	9582	0.272571	11317
