gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.438549	6539	1.429549	6719
A1CF	0.000000	17193	0.000000	17239
A2M	0.705801	3524	1.756103	3581
A2ML1	0.689685	3648	0.689685	12725
A3GALT2	-	19008	-	19008
A4GALT	0.569404	4784	1.233829	8700
A4GNT	0.000000	17192	0.000000	17238
AAAS	0.391518	7389	1.656284	4402
AACS	0.378404	7679	1.429068	6725
AADAC	0.000000	17191	0.000000	17237
AADACL2	0.000000	17190	0.000000	17236
AADACL3	0.000000	17189	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.459365	6225	1.028978	10555
AAED1	0.318504	8966	1.536859	5586
AAGAB	0.376175	7713	1.924876	2445
AAK1	0.750801	3219	1.441538	6585
AAMDC	0.237986	10949	1.421781	6783
AAMP	0.202811	11948	2.007577	2028
AANAT	0.064458	14914	0.064458	15259
AAR2	0.151918	13182	1.221111	8822
AARD	0.159029	13016	0.173481	14498
AARS	0.375514	7729	1.927576	2435
AARS2	0.111815	14023	1.322633	7787
AARSD1	0.153604	13143	1.566437	5290
AASDH	0.310298	9150	1.390582	7127
AASDHPPT	0.425995	6751	1.874830	2788
AASS	0.203694	11928	1.265761	8378
AATF	0.122250	13718	1.591110	5008
AATK	1.836704	281	1.836704	3018
ABAT	1.663230	444	1.756103	3580
ABCA1	0.259860	10327	1.653259	4434
ABCA10	0.170262	12763	0.170262	14617
ABCA12	0.120034	13903	0.120034	14839
ABCA13	0.681049	3738	0.681049	12775
ABCA2	1.580363	532	1.972434	2198
ABCA3	1.023248	1793	1.751202	3624
ABCA4	0.064458	14913	0.064458	15258
ABCA5	0.487786	5820	1.520221	5751
ABCA6	0.309569	9165	0.768743	12297
ABCA7	0.242571	10841	1.038091	10458
ABCA8	0.670715	3826	1.611511	4821
ABCA9	0.211343	11723	0.513218	13437
ABCB1	0.766315	3108	1.363988	7412
ABCB10	0.300062	9360	1.160223	9377
ABCB11	0.000000	17188	0.000000	17234
ABCB4	0.052787	15074	0.170262	14616
ABCB5	0.000000	17187	0.000000	17233
ABCB6	0.355161	8166	0.766413	12346
ABCB7	0.115256	13974	1.364694	7397
ABCB8	0.444697	6420	1.345374	7580
ABCB9	0.511404	5491	0.980458	10972
ABCC1	0.521396	5364	1.778366	3403
ABCC10	0.318799	8959	0.741939	12489
ABCC11	0.000000	17186	0.000000	17232
ABCC12	0.534026	5210	0.534026	13374
ABCC2	0.022729	15338	0.022729	15465
ABCC3	0.788877	2962	1.601205	4905
ABCC4	0.396148	7316	1.287179	8141
ABCC5	0.624513	4248	1.613313	4798
ABCC6	-	19006	-	19006
ABCC8	1.213252	1201	1.213252	8902
ABCC9	0.472528	6015	0.626340	13020
ABCD1	0.141809	13369	1.095033	10008
ABCD2	1.220455	1175	1.381837	7232
ABCD3	0.215648	11620	1.274395	8268
ABCD4	0.145251	13304	1.302114	7989
ABCE1	0.373989	7757	1.893053	2665
ABCF1	0.160942	12967	1.972214	2200
ABCF2	0.199608	12031	1.601191	4911
ABCF3	0.080075	14478	1.554852	5398
ABCG1	0.365665	7911	1.498586	5973
ABCG2	0.776031	3044	0.890980	11607
ABCG4	0.726295	3372	0.741939	12488
ABCG5	0.064458	14912	0.064458	15257
ABCG8	0.000000	17185	0.000000	17231
ABHD1	0.409176	7093	0.468347	13583
ABHD10	0.381762	7609	1.652440	4447
ABHD11	0.206657	11846	1.112427	9816
ABHD12	0.273786	9977	1.792672	3311
ABHD12B	0.444045	6466	0.444045	13665
ABHD13	0.279487	9848	1.306701	7934
ABHD14A	0.572693	4750	1.548881	5466
ABHD14B	0.281261	9809	2.038718	1869
ABHD15	0.238054	10946	0.578618	13187
ABHD16A	0.029105	15271	1.291591	8099
ABHD16B	-	19005	-	19005
ABHD17A	0.402014	7224	1.145057	9525
ABHD17B	0.458297	6237	1.458940	6396
ABHD17C	0.546525	5067	1.500443	5960
ABHD18	0.448389	6374	0.932495	11296
ABHD2	0.239478	10924	1.909823	2542
ABHD3	-0.016369	17211	0.933993	11292
ABHD4	0.271602	10027	1.612091	4807
ABHD5	0.300483	9347	1.497362	5981
ABHD6	0.687042	3681	1.378943	7269
ABHD8	0.671655	3815	1.581381	5125
ABI1	0.350763	8261	1.670802	4271
ABI2	0.882846	2431	1.967922	2221
ABI3	0.197283	12089	0.702431	12688
ABI3BP	1.488105	665	2.164445	1365
ABL1	0.355812	8155	1.357324	7468
ABL2	0.718472	3420	1.386538	7175
ABLIM1	1.188316	1259	1.749891	3632
ABLIM2	1.086817	1557	1.354876	7488
ABLIM3	0.485263	5844	1.520734	5740
ABO	0.553883	4974	0.553883	13300
ABR	1.153510	1368	2.123623	1523
ABRA	0.064458	14911	0.064458	15256
ABRACL	0.661285	3903	2.157823	1390
ABT1	0.236980	10987	1.433846	6682
ABTB1	0.315117	9039	1.502973	5930
ABTB2	0.242585	10840	0.574031	13233
ACAA1	0.257816	10387	1.739831	3717
ACAA2	0.461329	6193	1.581535	5119
ACACA	0.493205	5713	1.636532	4587
ACACB	0.775372	3048	1.095518	10007
ACAD10	0.142841	13348	1.132419	9669
ACAD11	0.309018	9176	0.924193	11365
ACAD8	0.259891	10323	1.468643	6288
ACAD9	0.175356	12557	1.505150	5901
ACADL	0.416641	6944	0.416641	13764
ACADM	0.659223	3911	1.664392	4326
ACADS	0.104271	14142	0.954141	11128
ACADSB	0.468302	6098	1.454082	6446
ACADVL	0.226696	11260	1.940154	2369
ACAN	1.771756	332	1.822055	3109
ACAP1	0.039727	15168	0.151828	14650
ACAP2	0.416641	6943	1.575966	5174
ACAP3	0.551717	5004	1.250176	8550
ACAT1	0.206549	11848	1.878686	2756
ACAT2	1.073534	1601	2.506684	571
ACBD3	0.189955	12251	2.043896	1844
ACBD4	0.582479	4644	0.994757	10852
ACBD5	0.602149	4458	1.148603	9508
ACBD6	0.247555	10720	1.439296	6592
ACBD7	1.688612	413	1.925931	2442
ACCS	0.094469	14291	0.553688	13302
ACCSL	-	19004	-	19004
ACD	0.304024	9279	1.123742	9724
ACE	0.243110	10827	0.689628	12726
ACE2	0.000000	17184	0.000000	17230
ACER1	0.000000	17183	0.000000	17229
ACER2	0.437096	6559	0.753633	12415
ACER3	0.635340	4121	1.753934	3597
ACHE	0.925828	2212	0.925828	11361
ACIN1	0.535908	5172	1.869173	2832
ACKR1	0.294466	9525	0.294466	14162
ACKR2	0.425361	6759	0.658011	12890
ACKR3	0.659385	3910	2.003482	2048
ACKR4	0.926674	2196	1.031308	10519
ACLY	0.822987	2756	2.117686	1542
ACMSD	0.000000	17182	0.000000	17228
ACO1	0.355686	8159	1.879627	2749
ACO2	0.505212	5560	2.266608	1035
ACOD1	0.000000	17181	0.000000	17227
ACOT1	0.308198	9193	0.359835	13964
ACOT11	0.944400	2111	1.035430	10501
ACOT12	0.145705	13297	0.145705	14656
ACOT13	0.496950	5660	1.729508	3801
ACOT2	0.285671	9715	1.213682	8883
ACOT4	0.249978	10661	0.389166	13857
ACOT6	-	19003	-	19003
ACOT7	0.810341	2840	1.631790	4622
ACOT8	0.219262	11444	1.620032	4734
ACOT9	0.388918	7473	1.937984	2387
ACOX1	0.264255	10218	1.478133	6184
ACOX2	0.643737	4056	0.843141	11881
ACOX3	0.176233	12541	1.015779	10665
ACOXL	0.190081	12244	0.190081	14468
ACP1	0.341137	8458	2.047392	1831
ACP2	0.132682	13532	1.685545	4151
ACP5	0.719728	3411	0.892079	11567
ACP6	0.199252	12037	0.872739	11706
ACP7	-	19002	-	19002
ACPP	0.658011	3932	0.658011	12889
ACPT	-	19001	-	19001
ACR	0.000000	17180	0.000000	17226
ACRBP	0.081798	14452	0.328380	14059
ACRC	0.000000	17179	0.000000	17225
ACRV1	0.000000	17178	0.000000	17224
ACSBG1	1.768268	335	1.768268	3481
ACSBG2	0.000000	17177	0.000000	17223
ACSF2	0.432678	6629	1.138548	9600
ACSF3	0.067843	14606	0.932936	11295
ACSL1	0.872739	2480	1.495127	6002
ACSL3	0.399218	7270	2.432632	672
ACSL4	0.456663	6256	1.813283	3160
ACSL5	0.064458	14910	0.754348	12411
ACSL6	1.420781	778	1.420781	6805
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17176	0.000000	17222
ACSM2B	0.000000	17175	0.000000	17221
ACSM3	0.235250	11046	0.307707	14084
ACSM4	-	18999	-	18999
ACSM5	0.444045	6465	0.444045	13664
ACSM6	0.000000	17174	0.000000	17220
ACSS1	0.654615	3949	1.742411	3700
ACSS2	0.385953	7534	1.226371	8749
ACSS3	0.461380	6191	1.035430	10500
ACTA1	0.468347	6095	0.468347	13582
ACTA2	1.540639	593	2.914936	176
ACTB	0.484518	5858	3.961329	5
ACTBL2	0.262603	10252	0.262603	14209
ACTC1	0.541938	5114	0.649443	12899
ACTG1	0.627972	4190	4.020238	4
ACTG2	0.852909	2594	1.582474	5115
ACTL10	0.190081	12243	0.240139	14312
ACTL6A	0.326636	8778	1.842652	2979
ACTL6B	1.633266	475	1.633266	4616
ACTL7A	0.000000	17173	0.000000	17219
ACTL7B	0.000000	17172	0.000000	17218
ACTL8	0.000000	17171	0.000000	17217
ACTL9	0.000000	17170	0.000000	17216
ACTN1	0.611426	4354	2.767096	282
ACTN2	1.196419	1241	1.426023	6750
ACTN3	0.020233	15362	0.020233	15477
ACTN4	0.415691	6969	1.980203	2149
ACTR10	0.204403	11909	1.905526	2579
ACTR1A	0.283104	9775	2.312535	912
ACTR1B	0.294194	9529	1.585009	5085
ACTR2	0.770574	3074	2.004796	2042
ACTR3	0.706165	3521	2.586554	459
ACTR3B	0.706831	3513	1.634981	4598
ACTR3C	0.285948	9710	0.632324	12962
ACTR5	0.025554	15282	0.822822	12023
ACTR6	0.348842	8313	1.396199	7073
ACTR8	0.398592	7276	1.396199	7072
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17169	0.000000	17215
ACTRT3	-	18997	-	18997
ACVR1	0.383122	7589	1.430483	6715
ACVR1B	0.298241	9400	1.315970	7860
ACVR1C	0.556699	4934	0.592177	13162
ACVR2A	0.410139	7075	1.072617	10220
ACVR2B	0.340648	8468	0.741939	12487
ACVRL1	0.294466	9524	0.491362	13505
ACY1	0.275990	9930	1.316308	7839
ACY3	0.822822	2775	0.822822	12022
ACYP1	0.543565	5099	1.386789	7171
ACYP2	0.866349	2516	1.911584	2529
ADA	1.126418	1442	1.800935	3257
ADAD1	0.000000	17168	0.000000	17214
ADAD2	0.000000	17167	0.000000	17213
ADAL	0.259733	10330	0.987666	10917
ADAM10	0.268392	10104	1.747977	3648
ADAM11	1.122871	1450	1.122871	9743
ADAM12	0.720604	3404	0.999100	10799
ADAM15	0.220941	11400	1.900777	2605
ADAM17	0.331987	8638	1.499921	5963
ADAM18	0.000000	17166	0.000000	17212
ADAM19	0.388898	7474	1.399295	7030
ADAM2	0.000000	17165	0.000000	17211
ADAM20	0.000000	17164	0.000000	17210
ADAM21	0.000000	17163	0.000000	17209
ADAM22	1.378116	863	1.826334	3073
ADAM23	1.005082	1855	1.345374	7579
ADAM28	0.620105	4282	0.835550	11906
ADAM29	0.000000	17162	0.000000	17208
ADAM30	0.000000	17161	0.000000	17207
ADAM32	0.120574	13895	0.120574	14838
ADAM33	0.724616	3382	1.205301	8953
ADAM7	0.000000	17160	0.000000	17206
ADAM8	0.971721	1993	1.145703	9521
ADAM9	0.688380	3673	2.371067	792
ADAMDEC1	0.000000	17159	0.000000	17205
ADAMTS1	0.619099	4287	2.423870	691
ADAMTS10	0.514734	5437	1.213252	8901
ADAMTS12	0.459027	6230	0.593701	13119
ADAMTS13	0.000000	17158	0.000000	17204
ADAMTS14	0.357311	8116	0.592177	13161
ADAMTS15	1.385868	847	1.910347	2537
ADAMTS16	0.359835	8072	0.359835	13963
ADAMTS17	0.170262	12762	0.217484	14425
ADAMTS18	0.389166	7465	0.389166	13856
ADAMTS19	0.553883	4973	0.553883	13299
ADAMTS2	1.333602	954	2.074021	1707
ADAMTS20	0.201409	11985	0.201409	14452
ADAMTS3	0.175093	12558	0.451877	13599
ADAMTS4	0.585268	4619	1.186674	9154
ADAMTS5	0.857729	2562	1.577793	5157
ADAMTS6	0.652114	3972	0.894825	11560
ADAMTS7	0.802988	2882	1.393448	7083
ADAMTS8	0.000000	17157	0.000000	17203
ADAMTS9	0.121315	13737	0.574031	13232
ADAMTSL1	1.276157	1051	1.773085	3437
ADAMTSL2	0.622292	4261	0.658011	12888
ADAMTSL3	0.552836	4993	0.592177	13160
ADAMTSL4	0.426701	6737	1.307085	7931
ADAMTSL5	0.380976	7626	0.604547	13103
ADAP1	1.128281	1430	1.776556	3419
ADAP2	0.444045	6464	0.444045	13663
ADAR	0.455023	6276	1.865341	2851
ADARB1	0.185685	12346	1.153510	9459
ADARB2	1.500785	652	1.500785	5958
ADAT1	0.237103	10981	1.200303	9014
ADAT2	0.148051	13253	1.024077	10572
ADAT3	0.259237	10344	1.932632	2411
ADCK1	0.219838	11436	0.778874	12277
ADCK2	0.152621	13163	1.195623	9059
ADCK5	0.197830	12078	0.994757	10851
ADCY1	1.252197	1092	1.332640	7711
ADCY10	0.064458	14909	0.064458	15255
ADCY2	1.392312	832	1.446692	6519
ADCY3	0.306610	9229	1.315970	7859
ADCY4	0.224192	11316	0.626340	13019
ADCY5	1.066899	1626	1.095518	10006
ADCY6	0.216722	11591	1.027141	10560
ADCY7	0.188366	12288	0.686132	12764
ADCY8	0.609594	4391	0.609594	13093
ADCY9	0.533414	5220	1.099346	9960
ADCYAP1	0.863323	2529	0.863323	11757
ADCYAP1R1	1.538951	594	1.538951	5563
ADD1	1.272672	1059	1.979093	2156
ADD2	1.696225	403	1.902003	2597
ADD3	0.951833	2081	1.879894	2747
ADGB	0.000000	17156	0.000000	17202
ADGRA1	1.035430	1750	1.035430	10499
ADGRA2	0.634723	4124	1.619349	4739
ADGRA3	0.324702	8818	1.106871	9895
ADGRB1	0.833147	2707	0.833147	11951
ADGRB2	1.377661	865	1.900258	2613
ADGRB3	1.938495	221	2.179466	1321
ADGRD1	0.222464	11358	0.716003	12623
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	17155	0.000000	17201
ADGRE2	0.020233	15361	0.401570	13788
ADGRE3	0.000000	17154	0.000000	17200
ADGRE5	0.319675	8934	1.415246	6862
ADGRF1	1.063795	1641	1.063795	10265
ADGRF2	0.000000	17153	0.000000	17199
ADGRF3	0.259297	10341	0.468347	13581
ADGRF4	1.180225	1285	1.180225	9198
ADGRF5	0.793694	2932	0.881955	11651
ADGRG1	1.536937	598	1.811441	3179
ADGRG2	0.198901	12046	0.198901	14455
ADGRG3	0.064458	14908	0.064458	15254
ADGRG4	0.000000	17152	0.000000	17198
ADGRG5	0.359835	8071	0.359835	13962
ADGRG6	0.490197	5778	1.146111	9516
ADGRG7	0.000000	17151	0.000000	17197
ADGRL1	0.634067	4131	0.872739	11705
ADGRL2	1.217484	1190	1.217484	8867
ADGRL3	1.196742	1237	1.250176	8549
ADGRL4	0.407068	7125	0.989013	10870
ADGRV1	0.994757	1893	0.994757	10850
ADH1A	0.000000	17150	0.000000	17196
ADH1B	2.006368	175	2.253126	1064
ADH1C	0.232845	11108	0.232845	14321
ADH4	0.018968	15417	0.018968	15521
ADH5	0.385567	7546	1.968472	2217
ADH6	0.016406	15454	0.016406	15556
ADH7	0.354503	8179	0.354503	13972
ADHFE1	0.675805	3773	1.418135	6835
ADI1	0.146126	13287	1.924686	2446
ADIG	0.000000	17149	0.000000	17195
ADIPOQ	0.132647	13536	0.132647	14673
ADIPOR1	0.295843	9456	1.847270	2946
ADIPOR2	0.338153	8516	1.822168	3108
ADIRF	0.526610	5307	2.296324	949
ADK	0.945986	2104	2.228187	1159
ADM	0.818993	2796	2.537951	520
ADM2	0.832194	2717	0.922808	11370
ADM5	0.170262	12761	0.170262	14615
ADNP	0.380807	7630	1.785828	3352
ADNP2	0.189213	12265	0.933993	11291
ADO	0.456778	6255	1.329398	7739
ADORA1	1.400186	820	1.602928	4896
ADORA2A	0.197200	12093	0.416641	13763
ADORA2B	0.475318	5982	0.976358	10988
ADORA3	1.008600	1844	1.008600	10726
ADPGK	0.228839	11207	1.365562	7392
ADPRH	0.071133	14583	0.328380	14058
ADPRHL1	0.248078	10701	0.248078	14303
ADPRHL2	0.119327	13910	1.271061	8310
ADPRM	0.084689	14422	0.986354	10922
ADRA1A	0.574031	4738	0.574031	13231
ADRA1B	0.982206	1947	1.351796	7513
ADRA1D	0.575265	4719	0.659774	12846
ADRA2A	0.491388	5736	0.949878	11177
ADRA2B	0.120574	13894	0.120574	14837
ADRA2C	0.217484	11568	0.257679	14293
ADRB1	1.019703	1812	1.143639	9548
ADRB2	0.755007	3174	1.727661	3820
ADRB3	0.039090	15181	0.039090	15376
ADRM1	0.349451	8293	2.016249	1981
ADSL	0.193243	12178	1.349801	7521
ADSS	0.491593	5732	1.899581	2616
ADSSL1	0.148298	13249	0.416641	13762
ADTRP	0.293666	9544	0.293666	14164
AEBP1	0.548772	5040	2.327030	885
AEBP2	0.685747	3693	1.511750	5833
AEN	0.351203	8251	1.136319	9612
AES	0.359795	8073	2.303693	937
AFAP1	1.120711	1459	1.566365	5291
AFAP1L1	0.235694	11032	1.056130	10311
AFAP1L2	0.859971	2552	1.526116	5696
AFDN	0.248929	10681	1.217484	8866
AFF1	0.495526	5688	1.257815	8452
AFF2	0.630416	4166	0.658011	12887
AFF3	0.807955	2852	0.899821	11545
AFF4	0.315490	9031	1.618362	4755
AFG3L2	0.183318	12410	1.590507	5020
AFM	0.000000	17148	0.000000	17194
AFMID	0.250739	10637	1.702218	4015
AFP	0.042368	15136	0.042368	15349
AFTPH	0.547911	5055	1.041787	10440
AGA	0.292115	9580	1.114538	9807
AGAP1	1.208729	1212	1.433930	6680
AGAP2	0.957607	2052	0.957607	11115
AGAP3	1.341670	940	1.909823	2541
AGAP4	-	18995	-	18995
AGAP5	0.213385	11663	1.072617	10219
AGAP6	-	18994	-	18994
AGAP9	-	18993	-	18993
