gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.297458	11504	1.171086	9906
A1CF	0.000000	17084	0.000000	17239
A2M	0.965574	2678	1.993172	2062
A2ML1	1.267641	1472	1.267641	8918
A3GALT2	-	19008	-	19008
A4GALT	0.239554	12754	0.935003	11783
A4GNT	0.000000	17083	0.000000	17238
AAAS	0.467822	8079	1.291369	8667
AACS	0.392373	9517	1.208441	9522
AADAC	0.426511	8831	0.426511	14038
AADACL2	0.000000	17082	0.000000	17237
AADACL3	0.000000	17081	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.467415	8084	1.037028	11044
AAED1	0.036838	15619	1.104146	10497
AAGAB	0.156564	14227	1.705265	4285
AAK1	0.906829	2995	1.431042	7131
AAMDC	0.557695	6467	1.442837	6983
AAMP	0.555515	6509	1.921166	2527
AANAT	0.240549	12745	0.240549	14857
AAR2	0.331363	10912	1.212986	9484
AARD	0.489338	7622	0.503791	13858
AARS	0.459294	8208	2.060414	1698
AARS2	0.265580	12028	1.476397	6635
AARSD1	0.730782	4371	1.671913	4622
AASDH	0.493631	7561	1.573915	5572
AASDHPPT	0.945577	2772	2.089481	1574
AASS	0.759577	4078	1.821645	3249
AATF	0.055189	15417	1.524049	6107
AATK	2.287802	126	2.287802	907
ABAT	1.751818	522	1.957176	2299
ABCA1	0.442608	8523	1.836007	3131
ABCA10	0.841359	3413	0.841359	12353
ABCA12	0.037981	15611	0.037981	15906
ABCA13	0.238046	12981	0.238046	15022
ABCA2	1.928502	347	2.386877	671
ABCA3	1.089876	2101	1.817830	3276
ABCA4	0.257679	12252	0.257679	14647
ABCA5	0.736208	4307	1.615003	5134
ABCA6	0.860351	3291	1.319526	8363
ABCA7	0.697342	4694	1.252939	9062
ABCA8	1.231979	1591	2.044882	1780
ABCA9	0.833316	3495	1.109916	10430
ABCB1	1.275706	1437	1.873379	2841
ABCB10	0.230602	13078	0.736397	12916
ABCB11	0.043445	15556	0.043445	15880
ABCB4	0.245459	12453	0.394452	14225
ABCB5	0.240549	12744	0.240549	14856
ABCB6	0.379306	9861	0.810233	12527
