gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.651859	5277	1.642860	5531
A1CF	0.000000	17237	0.000000	17239
A2M	1.288887	1426	2.214579	1588
A2ML1	2.180871	289	2.180871	1729
A3GALT2	-	19008	-	19008
A4GALT	0.641141	5440	1.305566	9201
A4GNT	0.000000	17236	0.000000	17238
AAAS	0.285094	12876	1.679064	5123
AACS	0.378404	10453	1.429068	7864
AADAC	1.077368	2135	1.077368	11203
AADACL2	1.089552	2079	1.089552	11120
AADACL3	0.025306	16315	0.025306	16327
AADACL4	-	19007	-	19007
AADAT	0.459771	8559	1.029384	11540
AAED1	0.369624	10721	1.437909	7769
AAGAB	0.376175	10506	1.924876	3066
AAK1	0.984219	2565	1.879555	3388
AAMDC	0.480847	8108	1.664642	5275
AAMP	0.355197	11073	2.030316	2403
AANAT	0.000000	17235	0.000000	17237
AAR2	0.133057	15232	1.217484	10029
AARD	0.192373	14574	0.206826	15173
AARS	0.181015	14695	1.793092	4061
AARS2	0.259005	13400	1.469822	7394
AARSD1	1.500152	966	1.546789	6558
AASDH	0.251750	13563	1.332034	8899
AASDHPPT	0.570556	6431	1.736715	4539
AASS	0.307520	12323	1.369587	8529
AATF	0.311385	12245	1.780245	4155
AATK	0.818631	3637	0.836324	12693
ABAT	1.118265	1957	1.296226	9296
ABCA1	0.528287	7148	1.921686	3087
ABCA10	0.762679	4082	0.762679	13050
ABCA12	1.340444	1306	1.340444	8807
ABCA13	0.879669	3165	0.879669	12462
ABCA2	0.912187	2956	1.691081	4997
ABCA3	1.183555	1716	1.717421	4720
ABCA4	0.344392	11340	0.344392	14637
ABCA5	0.587805	6156	1.620240	5780
ABCA6	0.623611	5642	1.082785	11171
ABCA7	1.019233	2395	1.854792	3590
ABCA8	0.794488	3826	1.700704	4874
ABCA9	0.893748	3074	1.195623	10246
ABCB1	0.337834	11486	0.935507	12161
ABCB10	0.227265	13947	1.087426	11133
ABCB11	0.000000	17234	0.000000	17236
ABCB4	0.857045	3331	1.006038	11702
ABCB5	0.086360	15711	0.086360	15766
ABCB6	0.405449	9804	0.767156	13023
ABCB7	0.257879	13426	1.507316	6987
ABCB8	0.444697	8896	1.329194	8956
ABCB9	0.382171	10358	0.741939	13196
ABCC1	0.463893	8473	1.684486	5064
ABCC10	0.409095	9716	0.958086	11995
ABCC11	0.025306	16314	0.025306	16326
ABCC12	0.000000	17233	0.000000	17235
ABCC2	0.086360	15710	0.086360	15765
ABCC3	0.505944	7574	1.318272	9049
ABCC4	0.203370	14410	1.029384	11539
ABCC5	0.462218	8510	1.451018	7609
ABCC6	-	19006	-	19006
ABCC8	0.767156	4035	0.767156	13022
ABCC9	1.178015	1732	1.540955	6626
ABCD1	0.398380	9966	1.351603	8706
ABCD2	0.421816	9417	0.583199	13827
ABCD3	0.777075	3971	1.620760	5769
ABCD4	0.513809	7385	1.492900	7144
ABCE1	0.435949	9092	1.955014	2845
ABCF1	0.210760	14291	1.954484	2847
ABCF2	0.268152	13252	1.695394	4936
ABCF3	0.084531	15715	1.559308	6427
ABCG1	0.502060	7645	1.634981	5612
ABCG2	0.444045	8907	0.541579	13933
ABCG4	0.234776	13841	0.250420	14981
ABCG5	0.000000	17232	0.000000	17234
ABCG8	0.025306	16313	0.025306	16325
ABHD1	0.498336	7703	0.557507	13914
ABHD10	0.314985	12158	1.538448	6651
ABHD11	0.478436	8161	1.448397	7656
ABHD12	0.382027	10362	1.900913	3229
ABHD12B	0.075547	15872	0.075547	15912
ABHD13	0.365659	10809	1.392873	8274
ABHD14A	0.597289	6028	1.651859	5421
ABHD14B	0.316371	12127	2.073828	2183
ABHD15	0.301901	12504	0.642465	13628
ABHD16A	0.326508	11858	1.617210	5825
ABHD16B	-	19005	-	19005
ABHD17A	0.271842	13184	1.089905	11109
ABHD17B	0.946156	2781	1.782616	4141
ABHD17C	0.441195	8957	1.482588	7265
ABHD18	0.718527	4521	1.318063	9052
ABHD2	0.297209	12600	1.792532	4077
ABHD3	0.649521	5313	1.599883	5978
ABHD4	0.179863	14710	1.520353	6847
ABHD5	0.412460	9646	1.410102	8054
ABHD6	0.257977	13425	0.949878	12059
ABHD8	0.370852	10683	1.280578	9447
ABI1	0.507353	7532	1.787248	4107
ABI2	0.420074	9454	1.704665	4839
