gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.833735	1890	1.643847	4633
A1CF	0.000000	17166	0.000000	17239
A2M	0.309395	9040	1.060765	9444
A2ML1	0.032650	15026	0.032650	15259
A3GALT2	-	19008	-	19008
A4GALT	0.876539	1684	1.540964	5480
A4GNT	0.000000	17165	0.000000	17238
AAAS	0.463685	5487	1.857655	3088
AACS	0.521760	4585	1.572424	5204
AADAC	0.372912	7485	0.372912	12993
AADACL2	0.000000	17164	0.000000	17237
AADACL3	0.000000	17163	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.404825	6627	0.907411	10519
AAED1	0.492698	5018	1.711054	4119
AAGAB	0.218306	11324	1.767007	3707
AAK1	0.351152	8020	1.088136	9268
AAMDC	0.460052	5553	1.643847	4632
AAMP	0.276612	9862	2.081378	1957
AANAT	0.000000	17162	0.000000	17235
AAR2	0.431217	6065	1.552452	5374
AARD	1.643845	238	1.658298	4511
AARS	0.776539	2164	2.388616	984
AARS2	0.254555	10442	1.465372	6169
AARSD1	0.458513	5582	1.603902	4936
AASDH	0.115077	13454	1.195361	8481
AASDHPPT	0.570556	3972	1.736715	3944
AASS	0.463847	5482	1.271587	7871
AATF	0.122250	13295	1.591110	5058
AATK	0.050493	14753	0.068186	14713
ABAT	0.545093	4290	1.243447	8068
ABCA1	0.294526	9429	1.687925	4269
ABCA10	0.294511	9430	0.294511	13280
ABCA12	0.071756	14196	0.071756	14664
ABCA13	0.323153	8719	0.323153	13179
ABCA2	0.458911	5575	1.066542	9407
ABCA3	0.114232	13463	0.564526	12152
ABCA4	0.647970	3129	0.647970	11772
ABCA5	0.156934	12616	0.963478	10130
ABCA6	0.797394	2063	1.256569	7977
ABCA7	0.237745	10834	1.063212	9426
ABCA8	0.627134	3299	1.567930	5245
ABCA9	1.112759	934	1.414634	6596
ABCB1	0.095174	13793	0.692847	11594
ABCB10	0.327378	8584	1.160223	8721
ABCB11	0.000000	17161	0.000000	17234
ABCB4	0.172392	12274	0.321385	13181
ABCB5	0.033457	14993	0.033457	15230
ABCB6	0.872563	1699	1.109579	9136
ABCB7	0.059659	14568	1.254306	7986
ABCB8	0.448495	5772	1.446219	6309
ABCB9	0.393061	7062	0.862115	10738
ABCC1	0.607156	3486	1.864126	3055
ABCC10	0.413567	6443	0.947601	10222
ABCC11	0.000000	17160	0.000000	17233
ABCC12	0.140517	12966	0.140517	14095
ABCC2	0.140517	12965	0.140517	14094
ABCC3	1.153292	850	1.965621	2483
ABCC4	0.773009	2195	1.328133	7373
ABCC5	0.113718	13470	1.102518	9178
ABCC6	-	19006	-	19006
ABCC8	0.196348	11816	0.196348	13733
ABCC9	0.475828	5273	0.838767	10886
ABCD1	0.261584	10235	1.214808	8289
ABCD2	0.000000	17159	0.145017	14051
ABCD3	0.159231	12546	1.323871	7408
ABCD4	0.191279	11937	1.348142	7177
ABCE1	0.435949	5975	1.955014	2537
ABCF1	0.311938	8966	2.019342	2218
ABCF2	0.381679	7297	1.808921	3404
ABCF3	0.138747	12984	1.613525	4875
ABCG1	0.418716	6346	1.551637	5383
ABCG2	0.302252	9233	0.417201	12669
ABCG4	0.255314	10419	0.270958	13376
ABCG5	0.000000	17158	0.000000	17232
ABCG8	0.000000	17157	0.000000	17231
ABHD1	0.044632	14865	0.103804	14328
ABHD10	0.186284	12030	1.394081	6778
ABHD11	0.274274	9912	1.244235	8061
ABHD12	0.480614	5210	1.999500	2322
ABHD12B	0.048420	14795	0.048420	15096
ABHD13	0.152040	12740	1.194220	8487
ABHD14A	0.649781	3107	1.366610	7026
ABHD14B	0.603815	3530	2.361272	1057
ABHD15	0.313586	8937	0.654150	11746
ABHD16A	0.106042	13576	1.379694	6906
ABHD16B	-	19005	-	19005
ABHD17A	0.440010	5916	1.366610	7025
ABHD17B	0.203957	11619	0.984036	10006
ABHD17C	0.541447	4342	1.582840	5117
ABHD18	0.154971	12651	1.006841	9827
ABHD2	0.462816	5499	1.869259	3018
ABHD3	-0.027637	17182	0.922725	10433
ABHD4	0.850822	1799	2.191311	1539
ABHD5	0.520177	4611	1.659726	4492
ABHD6	0.131777	13095	0.784689	11134
ABHD8	0.294081	9443	1.157154	8782
ABI1	0.191068	11943	1.664142	4456
ABI2	0.397568	6783	1.847326	3164
ABI3	0.294484	9432	0.490764	12409
ABI3BP	1.838871	139	2.515211	739
ABL1	0.849463	1807	1.481299	6014
ABL2	0.674426	2903	1.342493	7217
ABLIM1	0.263475	10186	1.153198	8808
ABLIM2	0.330731	8501	0.598791	12040
ABLIM3	1.342619	523	2.157992	1664
ABO	0.168570	12378	0.294416	13284
ABR	0.525264	4529	1.393416	6799
ABRA	0.092346	13859	0.092346	14473
ABRACL	0.458701	5579	1.886491	2914
ABT1	0.219303	11287	1.416169	6574
ABTB1	0.254938	10430	1.442793	6359
ABTB2	0.396334	6806	1.157154	8781
ACAA1	0.337513	8336	1.747489	3872
ACAA2	0.504766	4823	1.797545	3490
ACACA	0.493205	5005	1.636532	4681
ACACB	0.140517	12964	0.394452	12945
ACAD10	0.234434	10919	1.224012	8221
ACAD11	0.568573	3985	1.234010	8161
ACAD8	0.056945	14594	1.265697	7917
ACAD9	0.311754	8973	1.641815	4644
ACADL	0.820349	1960	0.841359	10878
ACADM	0.134686	13053	1.508781	5761
ACADS	0.206465	11568	1.094100	9226
ACADSB	0.206025	11575	1.140922	8888
ACADVL	0.380992	7313	2.300769	1215
ACAN	2.132859	58	2.183158	1569
ACAP1	0.109138	13527	0.221240	13593
ACAP2	0.319870	8784	1.660674	4483
ACAP3	0.158927	12552	0.796892	11057
ACAT1	0.258098	10340	1.878686	2957
ACAT2	1.070860	1039	2.504010	761
ACBD3	0.297674	9361	2.151615	1686
ACBD4	0.237244	10845	0.946089	10234
ACBD5	0.328875	8556	0.895423	10574
ACBD6	0.498941	4918	1.420121	6526
ACBD7	0.370137	7541	0.607455	11920
ACCS	0.424397	6220	0.830589	10925
ACCSL	-	19004	-	19004
ACD	0.471143	5360	1.370883	6968
ACE	0.927261	1489	1.373779	6941
ACE2	0.065167	14443	0.065167	14870
ACER1	0.013798	15396	0.013798	15569
ACER2	0.077914	14064	0.394452	12944
ACER3	0.220923	11252	1.339517	7240
ACHE	0.470587	5372	0.862396	10733
ACIN1	0.507264	4790	1.967782	2474
ACKR1	0.394452	7033	0.394452	12943
ACKR2	0.996074	1244	0.996074	9936
ACKR3	0.839139	1863	2.183237	1568
ACKR4	2.076686	71	2.181321	1577
ACLY	0.881850	1670	2.176549	1590
ACMSD	0.000000	17156	0.000000	17230
ACO1	0.799102	2057	2.323044	1151
ACO2	0.086593	13984	1.840726	3185
ACOD1	0.097118	13764	0.097118	14427
ACOT1	0.703206	2650	0.754843	11283
ACOT11	0.490418	5065	0.736397	11434
ACOT12	0.181844	12115	0.181844	13806
ACOT13	0.463734	5485	1.586218	5092
ACOT2	0.535493	4408	1.293411	7656
ACOT4	0.459603	5564	0.598791	12039
ACOT6	-	19003	-	19003
ACOT7	0.860058	1754	1.717338	4073
ACOT8	0.201567	11661	1.602337	4950
ACOT9	0.208498	11526	1.757564	3796
ACOX1	0.202232	11639	1.582495	5123
ACOX2	0.865722	1728	1.021075	9738
ACOX3	0.409864	6523	1.303516	7588
ACOXL	0.010348	15452	0.010348	15613
