gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.303471	8619	1.294472	7452
A1CF	1.241546	658	1.241546	7993
A2M	1.651913	264	2.702215	294
A2ML1	0.902832	1522	0.902832	11034
A3GALT2	-	19008	-	19008
A4GALT	0.541340	4099	1.236789	8051
A4GNT	0.000000	17191	0.000000	17239
AAAS	0.320146	8184	1.655427	3824
AACS	0.067125	14790	1.112940	9332
AADAC	0.429752	5735	0.429752	13531
AADACL2	0.093422	14464	0.093422	15213
AADACL3	0.000000	17190	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.464213	5154	1.033826	10023
AAED1	0.141101	13242	1.359456	6771
AAGAB	0.274969	9362	1.823670	2603
AAK1	0.261687	9791	1.009560	10202
AAMDC	0.172164	12342	1.355960	6804
AAMP	0.193116	11727	1.844842	2464
AANAT	0.000000	17189	0.000000	17237
AAR2	0.348881	7445	1.470116	5611
AARD	0.951219	1336	0.965672	10537
AARS	0.246400	10213	1.858477	2388
AARS2	0.018352	15765	1.229170	8137
AARSD1	0.222876	10863	1.375617	6573
AASDH	0.208636	11304	1.288920	7525
AASDHPPT	0.525573	4286	1.797683	2777
AASS	0.288012	8998	1.346157	6889
AATF	0.207010	11346	1.675870	3661
AATK	0.549003	4017	0.549003	13040
ABAT	0.265153	9705	0.994317	10318
ABCA1	0.389166	6539	1.626471	4067
ABCA10	0.663701	2916	0.663701	12524
ABCA12	0.828509	1877	0.828509	11532
ABCA13	0.209813	11268	0.209813	14467
ABCA2	0.201564	11512	0.980458	10439
ABCA3	0.211066	11230	0.939020	10750
ABCA4	0.049218	15240	0.049218	15534
ABCA5	0.288541	8986	1.320977	7160
ABCA6	0.729473	2429	1.188647	8558
ABCA7	0.320146	8183	0.895962	11098
ABCA8	0.720259	2489	1.661055	3781
ABCA9	0.936924	1391	1.238799	8020
ABCB1	1.113290	890	1.710963	3377
ABCB10	0.413303	6037	1.273464	7686
ABCB11	0.000000	17188	0.000000	17236
