gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.328585	13787	1.253822	10742
A1CF	0.311754	14115	0.311754	15815
A2M	1.588496	1211	2.618853	672
A2ML1	1.970765	527	1.970765	3010
A3GALT2	-	19008	-	19008
A4GALT	1.046369	3683	1.710794	5434
A4GNT	0.000000	17238	0.000000	17239
AAAS	0.555727	9220	1.867492	3848
AACS	0.437459	11534	1.373871	9412
AADAC	0.519828	9877	0.519828	15191
AADACL2	0.698101	7069	0.698101	14548
AADACL3	0.674861	7397	0.674861	14644
AADACL4	-	19007	-	19007
AADAT	0.506664	10132	1.076276	12355
AAED1	0.252605	15094	1.411788	8994
AAGAB	0.143352	16223	1.692053	5661
AAK1	0.741553	6547	1.636889	6289
AAMDC	0.369238	12999	1.553033	7280
AAMP	0.446085	11360	2.011307	2729
AANAT	0.000000	17237	0.000000	17238
AAR2	0.438348	11507	1.559584	7203
AARD	1.533265	1339	1.547717	7343
AARS	0.307568	14204	1.875212	3773
AARS2	0.136903	16281	1.347720	9733
AARSD1	0.904700	4816	1.824434	4256
AASDH	0.283328	14654	1.363612	9524
AASDHPPT	0.116160	16391	1.632761	6345
AASS	0.634377	7982	1.696444	5606
AATF	0.281340	14684	1.750200	5018
AATK	0.810233	5760	0.810233	14056
ABAT	0.776170	6097	1.216799	11092
ABCA1	0.507295	10121	1.900695	3530
ABCA10	1.022428	3838	1.022428	12729
ABCA12	0.996949	4054	0.996949	12917
ABCA13	0.267172	14908	0.267172	15946
ABCA2	0.375834	12884	1.154728	11685
ABCA3	0.555032	9233	1.249886	10773
ABCA4	0.271842	14813	0.271842	15922
ABCA5	0.723668	6756	1.756103	4947
ABCA6	0.974915	4230	1.434090	8717
ABCA7	0.258912	15006	1.094471	12178
ABCA8	1.133398	3147	2.074195	2335
ABCA9	1.088884	3413	1.390759	9248
ABCB1	0.982567	4159	1.580241	6947
ABCB10	0.227975	15396	1.088136	12268
ABCB11	0.613913	8292	0.613913	14901
ABCB4	0.661240	7587	0.810233	14055
ABCB5	1.584218	1223	1.584218	6887
ABCB6	0.718672	6811	1.100371	12137
ABCB7	0.176091	16003	1.362105	9540
ABCB8	0.479861	10621	1.462397	8333
ABCB9	0.306051	14226	0.696356	14576
ABCC1	0.557456	9194	1.538339	7445
ABCC10	0.314338	14054	0.981881	13017
ABCC11	0.491362	10427	0.491362	15254
ABCC12	0.632177	8017	0.632177	14828
ABCC2	0.209515	15625	0.209515	16110
ABCC3	0.997299	4045	1.809627	4397
ABCC4	0.483169	10571	1.321598	10023
ABCC5	0.461911	11046	1.450711	8533
ABCC6	-	19006	-	19006
ABCC8	1.282169	2324	1.282169	10447
ABCC9	0.987324	4122	1.257918	10709
ABCD1	0.648935	7789	1.481521	8096
ABCD2	1.080911	3463	1.242293	10858
ABCD3	0.533074	9635	1.543199	7389
ABCD4	0.405993	12250	1.437751	8689
ABCE1	0.247868	15155	1.766933	4843
ABCF1	0.258323	15013	2.076094	2325
ABCF2	0.193374	15761	1.601475	6691
ABCF3	0.399066	12390	1.873844	3789
ABCG1	0.410526	12159	1.543447	7386
ABCG2	1.793755	772	1.901731	3516
ABCG4	0.622462	8158	0.638107	14778
ABCG5	0.068186	16612	0.068186	16627
ABCG8	0.068186	16611	0.068186	16626
ABHD1	1.707973	927	1.767144	4839
ABHD10	0.388164	12636	1.551450	7301
ABHD11	0.705396	6968	1.675357	5865
ABHD12	1.511215	1415	1.818490	4301
ABHD12B	0.298853	14409	0.298853	15881
ABHD13	0.355239	13278	1.397419	9171
ABHD14A	0.467644	10925	1.334856	9883
ABHD14B	0.257315	15023	2.014772	2719
ABHD15	0.412253	12112	0.752816	14349
ABHD16A	0.179136	15895	1.469838	8264
ABHD16B	-	19005	-	19005
ABHD17A	0.450677	11269	1.377276	9382
ABHD17B	0.376779	12872	1.176993	11481
ABHD17C	0.487781	10493	1.529174	7562
ABHD18	0.432028	11633	1.232742	10933
ABHD2	1.293056	2275	2.142577	2009
ABHD3	0.647442	7809	1.597805	6732
ABHD4	0.464694	10983	1.805184	4440
ABHD5	0.588095	8692	1.784974	4658
ABHD6	0.688047	7216	1.243286	10849
ABHD8	1.198418	2756	1.361138	9570
ABI1	0.353530	13320	1.679610	5805
ABI2	0.581248	8812	1.847758	4045
ABI3	0.723843	6754	1.109241	12088
ABI3BP	2.026039	472	2.702379	557
ABL1	0.474450	10758	1.475962	8187
ABL2	0.902359	4834	1.570426	7077
ABLIM1	1.253791	2454	2.143514	2004
ABLIM2	1.239800	2514	1.239800	10884
ABLIM3	0.531289	9666	1.712650	5417
ABO	0.912774	4740	1.038620	12609
ABR	0.867190	5199	1.665299	5970
ABRA	1.865992	658	1.865992	3870
ABRACL	0.553553	9262	1.745309	5072
