gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	5779	1.259491	5612
A1CF	0.000000	15780	0.000000	17239
A2M	0.442541	3473	1.267134	5553
A2ML1	0.000000	15779	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1881	1.325067	5135
A4GNT	0.000000	15778	0.000000	17237
AAAS	0.591843	2123	1.985813	1580
AACS	0.500850	2859	1.551514	3658
AADAC	0.419425	3723	0.419425	11544
AADACL2	0.000000	15777	0.000000	17236
AADACL3	0.000000	15776	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.056926	10288	0.580566	10614
AAED1	0.203379	6817	1.421734	4505
AAGAB	-0.336672	17043	1.212030	5963
AAK1	0.203694	6813	0.954964	8021
AAMDC	0.350926	4574	1.534721	3752
AAMP	0.351681	4566	2.156446	1100
AANAT	0.000000	15775	0.000000	17234
AAR2	0.455966	3314	1.431177	4445
AARD	0.037449	11078	0.051902	13974
AARS	0.163645	7640	1.775722	2444
AARS2	0.305916	5203	1.516733	3874
AARSD1	0.216920	6615	1.610259	3268
AASDH	0.000000	15774	0.774436	9318
AASDHPPT	0.094514	9236	1.141666	6507
AASS	-0.050518	16259	0.721526	9689
AATF	0.026591	11317	1.495451	4008
AATK	0.048455	10838	0.048455	14125
ABAT	0.172510	7419	0.860699	8710
ABCA1	0.000000	15773	1.093256	6877
ABCA10	0.021590	11616	0.021590	14272
ABCA12	0.048455	10837	0.048455	14124
ABCA13	0.000000	15772	0.000000	17233
ABCA2	0.115224	8773	0.885696	8515
ABCA3	0.819256	1069	1.547210	3683
ABCA4	0.273839	5696	0.273839	12373
ABCA5	0.051902	10607	0.481583	11189
ABCA6	0.000000	15771	0.168587	12940
ABCA7	0.356869	4487	1.192428	6119
ABCA8	0.000000	15770	0.148333	13132
ABCA9	0.048455	10836	0.048455	14123
ABCB1	0.327000	4911	0.924673	8247
ABCB10	0.209625	6724	0.791309	9203
ABCB11	0.000000	15769	0.000000	17232
ABCB4	0.179684	7298	0.328676	12066
ABCB5	0.000000	15768	0.000000	17231
ABCB6	0.248721	6098	0.627414	10314
ABCB7	0.000000	15767	0.771223	9339
ABCB8	0.461026	3254	1.538706	3733
ABCB9	0.344776	4664	0.808166	9090
ABCC1	0.353474	4546	1.403356	4644
ABCC10	0.497186	2894	1.066852	7091
ABCC11	0.000000	15766	0.000000	17230
ABCC12	0.000000	15765	0.000000	17229
ABCC2	0.000000	15764	0.000000	17228
ABCC3	0.918155	816	1.730483	2656
ABCC4	0.325073	4938	1.095509	6863
ABCC5	0.115224	8772	0.842426	8848
