gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.507240	1835	1.353716	5072
A1CF	0.000000	16267	0.000000	17239
A2M	0.020696	12374	0.224567	12711
A2ML1	1.301008	255	1.301008	5485
A3GALT2	-	19008	-	19008
A4GALT	0.180617	6489	0.876066	8968
A4GNT	0.000000	16266	0.000000	17238
AAAS	0.162598	7108	1.398378	4705
AACS	0.053154	10990	1.058707	7558
AADAC	0.026539	12123	0.026539	14342
AADACL2	0.000000	16265	0.000000	17237
AADACL3	0.000000	16264	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	16263	0.530501	11039
AAED1	0.354897	3114	1.573252	3405
AAGAB	0.291105	4061	1.839806	1910
AAK1	0.156599	7279	1.046901	7665
AAMDC	0.124163	8261	1.300087	5498
AAMP	0.225624	5437	2.030390	1192
AANAT	0.000000	16262	0.000000	17235
AAR2	0.224775	5457	1.077250	7400
AARD	0.025994	12135	0.040447	14135
AARS	0.319285	3587	1.931362	1543
AARS2	-0.110538	17000	1.100279	7200
AARSD1	0.125460	8224	1.340990	5176
AASDH	0.069940	10444	1.041992	7706
AASDHPPT	0.065675	10597	1.582276	3343
AASS	0.029295	11842	1.015487	7921
AATF	0.146507	7580	1.615367	3107
AATK	0.022754	12211	0.040447	14134
ABAT	0.000000	16261	0.355376	11959
ABCA1	0.104758	9309	1.311733	5413
ABCA10	0.030275	11813	0.030275	14190
ABCA12	1.241181	296	1.241181	5992
ABCA13	0.178351	6540	0.178351	12894
ABCA2	0.127616	8161	0.906511	8755
ABCA3	0.179203	6523	0.907157	8749
ABCA4	0.000000	16260	0.000000	17234
ABCA5	0.162577	7109	1.159332	6737
ABCA6	0.008620	12892	0.257107	12478
ABCA7	0.119772	8394	0.803198	9422
ABCA8	0.000000	16259	0.223683	12714
ABCA9	0.000000	16258	0.050377	14054
ABCB1	0.000000	16257	0.135657	13263
ABCB10	0.179299	6518	1.039460	7725
ABCB11	0.000000	16256	0.000000	17233
ABCB4	0.020696	12373	0.054187	14027
ABCB5	0.000000	16255	0.000000	17232
ABCB6	0.286145	4129	0.573067	10813
ABCB7	0.000000	16254	1.191024	6445
ABCB8	0.001923	13044	1.143085	6845
ABCB9	0.248340	4924	0.711730	9996
ABCC1	0.313784	3691	1.570754	3423
ABCC10	0.102330	9369	0.730594	9888
ABCC11	0.000000	16253	0.000000	17231
ABCC12	0.000000	16252	0.000000	17230
ABCC2	0.016114	12660	0.016114	14550
ABCC3	0.769987	921	1.582315	3342
ABCC4	0.054157	10947	0.945189	8452
ABCC5	0.000000	16251	0.977760	8200
ABCC6	-	19006	-	19006
ABCC8	0.000000	16250	0.000000	17229
ABCC9	0.012305	12819	0.106386	13414
ABCD1	0.081609	10045	1.034833	7764
ABCD2	0.000000	16249	0.000000	17228
ABCD3	0.136834	7823	1.301473	5483
ABCD4	0.132115	7975	1.143145	6844
ABCE1	0.292139	4049	1.811204	2031
ABCF1	0.190566	6249	1.895977	1678
ABCF2	0.082176	10031	1.509418	3828
ABCF3	-0.026329	16561	1.448448	4269
ABCG1	0.307736	3782	1.440657	4347
ABCG2	0.026539	12122	0.038667	14141
ABCG4	0.000470	13071	0.016114	14549
ABCG5	0.000000	16248	0.000000	17227
ABCG8	0.000000	16247	0.000000	17226
ABHD1	0.000000	16246	0.017971	14489
ABHD10	0.007310	12924	1.097928	7220
ABHD11	0.111929	8635	0.942000	8473
ABHD12	0.130303	8077	1.493971	3937
ABHD12B	0.000000	16245	0.000000	17225
ABHD13	0.110748	8665	1.137962	6894
ABHD14A	0.142242	7677	0.990124	8109
ABHD14B	0.006225	12945	1.763682	2256
ABHD15	0.026539	12121	0.281812	12314
ABHD16A	0.115297	8533	1.255898	5866
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	16244	0.891050	8875
ABHD17B	0.067089	10539	0.723175	9932
ABHD17C	0.439025	2270	1.480417	4044
ABHD18	0.152215	7430	1.004085	8003
ABHD2	0.479282	1996	1.444732	4314
ABHD3	-0.058697	16775	0.891666	8866
ABHD4	0.246942	4949	1.533243	3671
ABHD5	0.277463	4287	1.474342	4095
ABHD6	0.048455	11208	0.577434	10786
ABHD8	0.001778	13048	0.911504	8706
ABI1	0.242189	5046	1.579565	3364
ABI2	0.166687	6981	1.476581	4078
ABI3	0.000000	16243	0.306921	12213
ABI3BP	1.551463	145	2.227803	755
ABL1	0.198135	6082	1.199646	6365
ABL2	0.531529	1711	1.199596	6366
ABLIM1	0.998837	531	1.888560	1725
ABLIM2	0.000888	13065	0.268947	12437
ABLIM3	0.026539	12120	1.263302	5818
ABO	0.000000	16242	0.000000	17224
ABR	0.016114	12659	0.902909	8786
ABRA	0.000000	16241	0.000000	17223
ABRACL	0.339171	3317	1.835710	1929
ABT1	0.027718	11911	1.224584	6143
ABTB1	0.061804	10720	1.151103	6793
ABTB2	-0.036799	16640	0.724021	9921
ACAA1	0.134426	7905	1.374659	4899
ACAA2	0.201067	6025	1.181975	6523
ACACA	0.258031	4709	1.401358	4680
ACACB	0.030275	11812	0.091714	13863
ACAD10	-0.184973	17154	0.804605	9413
ACAD11	0.281033	4221	0.946470	8440
ACAD8	-0.052714	16733	1.156038	6761
ACAD9	0.016114	12658	1.336079	5217
ACADL	0.000000	16240	0.000000	17222
ACADM	0.026649	11942	1.284425	5638
ACADS	0.038591	11517	0.825719	9283
ACADSB	0.071447	10366	1.008203	7969
ACADVL	0.274209	4347	2.094650	1018
ACAN	0.125792	8207	0.176091	12903
ACAP1	0.000000	16239	0.053280	14037
ACAP2	0.308241	3771	1.631544	3017
ACAP3	0.103199	9344	0.749083	9780
ACAT1	0.184536	6390	1.733378	2419
ACAT2	0.218842	5564	1.628893	3035
ACBD3	0.083117	10006	1.937059	1519
ACBD4	0.117028	8484	0.786872	9527
ACBD5	0.062841	10684	0.599153	10665
ACBD6	0.303424	3883	1.362900	4994
ACBD7	-0.087223	16903	0.150096	13218
ACCS	0.274904	4331	0.694536	10086
ACCSL	-	19004	-	19004
ACD	0.098243	9501	0.923305	8611
ACE	0.307046	3796	0.753564	9745
ACE2	0.026539	12119	0.026539	14341
ACER1	0.026539	12118	0.026539	14340
