gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.282935	3202	1.173575	6232
A1CF	0.000000	16221	0.000000	17239
A2M	0.285479	3176	1.335782	4849
A2ML1	0.000000	16220	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.616750	992	1.281175	5295
A4GNT	0.000000	16219	0.000000	17237
AAAS	0.150992	6265	1.420397	4166
AACS	0.135977	6786	1.186641	6125
AADAC	0.000000	16218	0.000000	17236
AADACL2	0.000000	16217	0.000000	17235
AADACL3	0.000000	16216	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.105237	7987	0.661209	10017
AAED1	0.143599	6555	1.361954	4620
AAGAB	0.082764	9107	1.631465	2751
AAK1	0.150079	6293	0.957186	8023
AAMDC	0.096496	8298	1.280291	5301
AAMP	0.167540	5804	1.739634	2158
AANAT	0.000000	16215	0.000000	17233
AAR2	0.151795	6245	1.273030	5365
AARD	0.113184	7723	0.127636	12549
AARS	0.250905	3768	1.862981	1638
AARS2	-0.174670	17111	1.036147	7407
AARSD1	0.123375	7402	1.536209	3352
AASDH	0.036842	10822	1.117126	6736
AASDHPPT	0.092594	8437	1.609195	2896
AASS	0.012290	11673	0.768377	9359
AATF	-0.018130	16418	1.450730	3932
AATK	0.018968	11547	0.018968	13608
ABAT	0.091053	8491	0.467181	10932
ABCA1	0.000000	16214	0.958021	8011
ABCA10	0.000000	16213	0.000000	17232
ABCA12	0.000000	16212	0.000000	17231
ABCA13	0.000000	16211	0.000000	17230
ABCA2	0.185411	5303	0.885813	8585
ABCA3	0.009932	11720	0.467127	10933
ABCA4	0.000000	16210	0.000000	17229
ABCA5	0.127636	7260	0.554821	10521
ABCA6	0.000000	16209	0.142884	12350
ABCA7	0.003861	11821	0.282623	11680
ABCA8	0.058697	9976	0.650595	10068
ABCA9	0.000000	16208	0.000000	17228
ABCB1	0.000000	16207	0.000000	17227
ABCB10	0.178015	5517	0.990050	7773
ABCB11	0.000000	16206	0.000000	17226
ABCB4	0.125877	7320	0.274869	11744
ABCB5	0.000000	16205	0.000000	17225
ABCB6	0.373594	2145	0.804520	9147
ABCB7	0.018968	11546	1.062069	7185
ABCB8	0.051537	10211	1.175819	6210
ABCB9	0.131331	6950	0.594721	10315
ABCC1	0.762181	683	1.930998	1400
ABCC10	0.023514	11115	0.650456	10069
ABCC11	0.000000	16204	0.000000	17224
ABCC12	0.100343	8165	0.100343	12640
