gene	enrichment	rank(enr)	max	rank(max)
A1BG	3.183790	53	3.183790	189
A1CF	2.101919	254	2.101919	1824
A2M	2.206353	218	3.256655	165
A2ML1	0.000000	17014	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.225673	10950	0.890098	10801
A4GNT	0.060698	14504	0.060698	15312
AAAS	0.426069	6431	1.820039	3246
AACS	0.521760	5031	1.572424	5166
AADAC	1.956168	320	1.956168	2456
AADACL2	0.000000	17013	0.000000	17238
AADACL3	0.000000	17012	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	1.013472	1640	1.226084	8341
AAED1	0.142043	12715	1.360398	7090
AAGAB	0.023754	14861	1.572455	5165
AAK1	0.332551	8573	1.227887	8319
AAMDC	0.357779	8030	1.541575	5440
AAMP	0.238253	10678	2.001647	2251
AANAT	0.000000	17011	0.000000	17236
AAR2	0.431217	6343	1.552452	5318
AARD	0.115583	13222	0.130036	14591
AARS	0.341782	8380	1.953859	2461
AARS2	0.266172	10121	1.476989	5989
AARSD1	0.248554	10479	1.572296	5168
AASDH	0.081376	13826	1.123667	9156
AASDHPPT	0.212778	11211	1.567943	5198
AASS	0.857829	2250	1.850956	3055
AATF	0.037239	14750	1.506099	5740
AATK	0.367356	7842	0.367356	13732
ABAT	1.966422	317	2.695586	510
ABCA1	1.417970	798	2.290881	1241
ABCA10	0.791715	2639	0.791715	11505
ABCA12	0.000000	17010	0.000000	17235
ABCA13	0.951823	1849	0.951823	10500
ABCA2	0.225609	10951	0.862549	11072
ABCA3	0.620680	3864	1.348634	7166
ABCA4	0.190106	11820	0.190106	14385
ABCA5	1.222196	1135	1.787704	3459
ABCA6	1.258738	1059	1.717912	3965
ABCA7	0.730053	2987	1.565612	5244
ABCA8	0.731487	2971	1.672283	4337
ABCA9	0.274158	9930	0.562293	12764
ABCB1	1.320513	940	1.918186	2646
ABCB10	1.141486	1311	2.001647	2250
ABCB11	1.753506	441	1.753506	3687
ABCB4	2.095754	258	2.244747	1362
ABCB5	0.000000	17009	0.000000	17234
ABCB6	1.217134	1145	1.595827	4973
ABCB7	0.316174	8935	1.565612	5243
ABCB8	0.448495	6055	1.502154	5768
ABCB9	0.256766	10297	0.721234	11786
ABCC1	0.336044	8508	1.593014	4991
ABCC10	0.394065	7013	0.947601	10529
ABCC11	0.000000	17008	0.000000	17233
ABCC12	0.000000	17007	0.000000	17232
ABCC2	1.933487	336	1.933487	2562
ABCC3	1.402242	817	2.214571	1447
ABCC4	0.849526	2294	1.127680	9128
ABCC5	0.367356	7841	1.064458	9660
ABCC6	-	19006	-	19006
ABCC8	0.196348	11631	0.196348	14320
ABCC9	0.854874	2266	1.154820	8896
ABCD1	0.562293	4541	1.296117	7642
ABCD2	0.060698	14503	0.155331	14506
ABCD3	0.815718	2469	1.617525	4784
ABCD4	0.531209	4912	1.319730	7462
ABCE1	0.179471	12016	1.698535	4134
ABCF1	0.123470	13027	1.973405	2376
ABCF2	0.341506	8391	1.768748	3595
ABCF3	0.147333	12621	1.622110	4753
ABCG1	0.213432	11196	1.346353	7225
